ANO;GEO_COD;GEO_COD_DSG;NIVEL;N_EDIFICIOS_CLASSICOS;N_EDIFICIOS_CLASSICOS_1OU2;N_EDIFICIOS_CLASSICOS_ISOLADOS ;N_EDIFICIOS_CLASSICOS_GEMIN;N_EDIFICIOS_CLASSICOS_EMBANDA;N_EDIFICIOS_CLASSICOS_3OUMAIS;N_EDIFICIOS_CLASSICOS_OUTROS;N_EDIFICIOS_EXCLUSIV_RESID;N_EDIFICIOS_PRINCIPAL_RESID;N_EDIFICIOS_PRINCIP_NAO_RESID;N_EDIFICIOS_1OU2_PISOS;N_EDIFICIOS_3OU4_PISOS;.N_EDIFICIOS_5OU_MAIS_PISOS;N_EDIFICIOS_CONSTR_ANTES_1919;N_EDIFICIOS_CONSTR_1919A1945;N_EDIFICIOS_CONSTR_1946A1960;N_EDIFICIOS_CONSTR_1961A1970;N_EDIFICIOS_CONSTR_1971A1980;N_EDIFICIOS_CONSTR_1981A1990;N_EDIFICIOS_CONSTR_1991A1995;N_EDIFICIOS_CONSTR_1996A2000;N_EDIFICIOS_CONSTR_2001A2005;N_EDIFICIOS_CONSTR_2006A2011;N_EDIFICIOS_ESTRUT_BETAO;N_EDIFICIOS_ESTRUT_COM_PLACA;N_EDIFICIOS_ESTRUT_SEM_PLACA;N_EDIFICIOS_ESTRUT_ADOBE_PEDRA;N_EDIFICIOS_ESTRUT_OUTRA;N_ALOJAMENTOS;N_ALOJAMENTOS_FAMILIARES;N_ALOJAMENTOS_FAM_CLASSICOS;N_ALOJAMENTOS_FAM_N_CLASSICOS;N_ALOJAMENTOS_COLECTIVOS;N_CLASSICOS_RES_HABITUAL;N_ALOJAMENTOS_RES_HABITUAL;N_ALOJAMENTOS_VAGOS;N_RES_HABITUAL_COM_AGUA;N_RES_HABITUAL_COM_RETRETE;N_RES_HABITUAL_COM_ESGOTOS;N_RES_HABITUAL_COM_BANHO;N_RES_HABITUAL_AREA_50;N_RES_HABITUAL_AREA_50_100;N_RES_HABITUAL_AREA_100_200;N_RES_HABITUAL_AREA_200;N_RES_HABITUAL_1_2_DIV;N_RES_HABITUAL_3_4_DIV;N_RES_HABITUAL_ESTAC_1;N_RES_HABITUAL_ESTAC_2;N_RES_HABITUAL_ESTAC_3;N_RES_HABITUAL_PROP_OCUP;N_RES_HABITUAL_ARREND;N_FAMILIAS_CLASSICAS;N_FAMILIAS_INSTITUCIONAIS;N_FAMILIAS_CLASSICAS_1OU2_PESS;N_FAMILIAS_CLASSICAS_3OU4_PESS;N_FAMILIAS_CLASSICAS_NPES65;N_FAMILIAS_CLASSICAS_NPES14;N_FAMILIAS_CLASSIC_SEM_DESEMP;N_FAMILIAS_CLASSIC_1DESEMPREG;N_FAMILIAS_CLASS_2MAIS_DESEMP;N_NUCLEOS_FAMILIARES;N_NUCLEOS_1FILH_NAO_CASADO;N_NUCLEOS_2FILH_NAO_CASADO;N_NUCLEOS_FILH_INF_6ANOS;N_NUCLEOS_FILH_INF_15ANOS;N_NUCLEOS_FILH_MAIS_15ANOS;N_INDIVIDUOS_PRESENT;N_INDIVIDUOS_PRESENT_H;N_INDIVIDUOS_PRESENT_M;N_INDIVIDUOS_RESIDENT;N_INDIVIDUOS_RESIDENT_H;N_INDIVIDUOS_RESIDENT_M;N_INDIVIDUOS_RESIDENT_0A4;N_INDIVIDUOS_RESIDENT_5A9;N_INDIVIDUOS_RESIDENT_10A13;N_INDIVIDUOS_RESIDENT_14A19;N_INDIVIDUOS_RESIDENT_15A19;N_INDIVIDUOS_RESIDENT_20A24;N_INDIVIDUOS_RESIDENT_20A64;N_INDIVIDUOS_RESIDENT_25A64;N_INDIVIDUOS_RESIDENT_65;N_INDIVIDUOS_RESIDENT_H_0A4;N_INDIVIDUOS_RESIDENT_H_5A9;N_INDIVIDUOS_RESIDENT_H_10A13;N_INDIVIDUOS_RESIDENT_H_14A19;N_INDIVIDUOS_RESIDENT_H_15A19;N_INDIVIDUOS_RESIDENT_H_20A24;N_INDIVIDUOS_RESIDENT_H_20A64;N_INDIVIDUOS_RESIDENT_H_25A64;N_INDIVIDUOS_RESIDENT_H_65;N_INDIVIDUOS_RESIDENT_M_0A4;N_INDIVIDUOS_RESIDENT_M_5A9;N_INDIVIDUOS_RESIDENT_M_10A13;N_INDIVIDUOS_RESIDENT_M_14A19;N_INDIVIDUOS_RESIDENT_M_15A19;N_INDIVIDUOS_RESIDENT_M_20A24;N_INDIVIDUOS_RESIDENT_M_20A64;N_INDIVIDUOS_RESIDENT_M_25A64;N_INDIVIDUOS_RESIDENT_M_65;N_INDIV_RESIDENT_N_LER_ESCRV;N_IND_RESIDENT_FENSINO_1BAS;N_IND_RESIDENT_FENSINO_2BAS;N_IND_RESIDENT_FENSINO_3BAS;N_IND_RESIDENT_FENSINO_SEC;N_IND_RESIDENT_FENSINO_POSSEC;N_IND_RESIDENT_FENSINO_SUP;N_IND_RESIDENT_ENSINCOMP_1BAS;N_IND_RESIDENT_ENSINCOMP_2BAS;N_IND_RESIDENT_ENSINCOMP_3BAS;N_IND_RESIDENT_ENSINCOMP_SEC;N_IND_RESIDENT_ENSINCOMP_POSEC;N_IND_RESIDENT_ENSINCOMP_SUP;N_IND_RESID_DESEMP_PROC_1EMPRG;N_IND_RESID_DESEMP_PROC_EMPRG;N_IND_RESID_EMPREGADOS;N_IND_RESID_PENS_REFORM;N_IND_RESID_SEM_ACT_ECON;N_IND_RESID_EMPREG_SECT_PRIM;N_IND_RESID_EMPREG_SECT_SEQ;N_IND_RESID_EMPREG_SECT_TERC;N_IND_RESID_ESTUD_MUN_RESID;N_IND_RESID_TRAB_MUN_RESID
2011;'1;Continente;2;3353610;3035969;1820486;516785;698698;278222;39419;3121458;207292;24860;2837161;414564;101885;195169;288132;365612;390633;565368;546632;253730;272578;280855;194901;1599434;1098244;449413;178421;28098;5639257;5627555;5621098;6457;11702;3818574;3825031;704054;3795218;3791499;3800597;3744843;375514;1589794;1561429;291837;86278;1464798;1227153;576363;253646;2787428;769768;3869188;4579;2067662;1561048;1322168;1055022;3317385;481877;69926;3077900;1165089;680153;482354;1045429;1182662;9769564;4622125;5147439;10047621;4798798;5248823;456396;495578;427720;636083;531657;547836;6094056;5546220;1937788;232951;253866;218552;324869;271397;275607;2953606;2677999;814954;223445;241712;209168;311214;260260;272229;3140450;2868221;1122834;472919;447944;252148;398953;402148;19148;365049;2552130;1329508;1638624;1355254;83485;1198453;114999;515712;4150252;2257145;3782538;121055;1115357;2913840;1669455;2697144
2011;'11;Norte;3;1209911;1118014;744666;200722;172626;80452;11445;1116665;85088;8158;1025944;156160;27807;71817;87996;112397;133424;206637;216376;100530;104083;103963;72688;597409;399887;162483;40729;9403;1850890;1847784;1846589;1195;3106;1319665;1320860;202431;1309649;1309616;1312169;1286675;115891;495905;591224;116645;26615;451462;535743;255715;104671;952287;269178;1330892;1235;619531;606196;433272;402952;1110498;190183;30211;1133106;444543;274565;175937;399817;471561;3583442;1695397;1888045;3689682;1766260;1923422;163398;185453;166667;253792;212077;213799;2288933;2075134;631439;83422;94577;85491;129570;108207;107325;1109290;1001965;263910;79976;90876;81176;124222;103870;106474;1179643;1073169;367529;167451;168747;98335;158704;152953;6650;128913;1018389;563972;578950;437916;26221;375392;46644;207538;1501883;768566;1376384;43023;533848;925012;631487;1008020
2011;'114;Grande Porto;4;273491;227436;90673;75834;60929;42132;3923;250759;20780;1952;207850;51109;14532;19847;27433;35018;36003;44800;42884;19652;19474;16907;11473;142448;79662;42159;7372;1850;624550;623616;623085;531;934;484280;484811;79376;482106;481895;482857;474600;53772;206412;190858;33238;13477;213987;207531;75456;22407;315868;137292;489471;435;249116;209254;149401;138968;399853;76389;13229;398776;165369;85886;62584;137786;160122;1258991;590650;668341;1287282;610455;676827;59122;63745;55388;82106;68678;70945;813388;742443;213533;30185;32567;28361;41974;35123;35567;389116;353549;88252;28937;31178;27027;40132;33555;35378;424272;388894;125281;36511;59058;33606;52014;51088;2289;51867;325863;175066;207321;176146;11276;182739;17847;86701;532190;261885;458861;6966;127341;397883;210166;296335
2011;'1304;Gondomar;5;36559;31727;14656;9196;7875;4689;143;33964;2433;162;28230;6866;1463;2041;2797;4191;5188;6430;6209;3161;2986;2200;1356;20319;10819;4660;667;94;73473;73436;73416;20;37;61103;61123;8377;60912;60862;60997;59800;6615;28299;22424;3765;1263;29487;29095;9233;3316;41422;15463;61451;28;27993;29461;17640;19228;49273;10381;1797;53350;23109;11498;8251;19058;21731;162264;77373;84891;168027;81007;87020;7642;8652;7729;11139;9317;9439;107695;98256;25170;3951;4416;4002;5699;4750;4721;52081;47360;10858;3691;4236;3727;5440;4567;4718;55614;50896;14312;4967;8690;4891;7631;7279;292;5956;45128;24930;29086;23336;1455;15819;2397;11775;69769;32272;58241;310;16884;52575;25948;29692
2011;'130401;Covelo;6;504;490;373;95;22;13;1;490;13;1;496;8;0;26;31;55;43;76;77;44;62;53;37;376;58;65;2;3;617;616;616;0;1;546;546;21;538;544;542;525;49;229;205;63;16;170;190;139;62;387;76;546;1;202;286;180;152;460;76;10;514;194;131;69;151;231;1607;797;810;1647;819;828;62;71;72;104;93;101;1078;977;260;30;44;42;47;42;47;552;505;104;32;27;30;57;51;54;526;472;156;56;69;39;54;78;2;47;579;241;257;183;25;119;18;78;709;322;626;5;282;422;241;364
2011;'130401001; ;7;260;252;154;84;14;7;1;250;10;0;255;5;0;9;15;29;18;39;33;33;35;31;18;205;20;34;0;1;324;323;323;0;1;291;291;8;287;291;289;275;37;129;100;25;13;92;96;70;35;201;42;291;1;106;150;96;92;244;41;6;277;110;70;38;92;127;880;457;423;892;461;431;32;44;42;62;52;60;578;518;134;20;26;28;31;27;30;302;272;54;12;18;14;31;25;30;276;246;80;42;42;24;33;40;2;25;329;151;116;85;12;47;9;44;385;161;326;3;167;215;151;232
2011;'13040100101; ;8;18;18;13;5;0;0;0;18;0;0;18;0;0;0;0;5;2;6;3;0;0;1;1;14;3;1;0;0;21;21;21;0;0;18;18;0;18;18;18;17;1;7;8;2;1;7;8;3;3;11;2;18;0;6;11;6;5;17;1;0;19;8;3;4;5;6;53;28;25;54;30;24;3;2;1;1;0;3;38;35;9;1;2;0;0;0;2;21;19;6;2;0;1;1;0;1;17;16;3;1;1;1;2;3;0;3;18;11;10;2;2;4;0;1;27;11;19;1;7;19;8;11
2011;'13040100102; ;8;13;13;9;4;0;0;0;13;0;0;13;0;0;0;0;1;4;4;2;1;0;0;1;7;4;2;0;0;14;14;14;0;0;13;13;0;13;13;13;12;3;6;2;2;1;3;6;3;1;12;0;13;0;7;3;8;2;9;4;0;14;3;3;2;2;4;38;19;19;40;21;19;2;2;0;1;1;2;27;25;8;2;2;0;0;0;0;12;12;5;0;0;0;1;1;2;15;13;3;3;2;0;0;1;0;0;16;6;6;3;0;0;0;4;14;12;18;0;6;8;3;11
2011;'13040100103; ;8;24;22;16;6;0;2;0;23;1;0;23;1;0;0;2;5;0;5;7;0;3;1;1;18;2;4;0;0;34;34;34;0;0;34;34;0;34;34;34;31;12;19;3;0;5;15;11;5;2;22;1;34;0;12;19;10;13;27;5;2;33;19;6;7;13;12;99;53;46;101;55;46;7;4;4;5;5;5;69;64;12;4;4;3;3;3;2;36;34;5;3;0;1;2;2;3;33;30;7;9;5;2;3;4;0;0;37;19;12;9;0;1;1;8;46;16;31;0;26;20;13;24
2011;'13040100104; ;8;15;15;9;6;0;0;0;15;0;0;15;0;0;0;3;4;1;2;1;1;0;1;2;9;2;4;0;0;18;18;18;0;0;17;17;0;15;17;15;15;0;11;6;0;0;3;7;4;1;13;0;17;0;5;10;8;8;15;2;0;15;3;9;3;8;8;52;21;31;52;21;31;2;4;4;5;4;1;27;26;10;1;1;1;4;4;1;13;12;1;1;3;3;1;0;0;14;14;9;5;3;2;3;2;0;0;15;11;10;1;0;4;0;2;18;11;21;0;10;8;11;10
