time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,daily walk trips,daily chosen car,CAR COST KM,daily chosen bus,daily chosen railway,emissions per year,enviromental impact on economy,business construction,emission per car petrol,emission per car,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,ticket fare pt 10 km,Mobility space usage,Affordability of public transport for the poorest group,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,3333,3333,0.268,33333,3333,6923.071607879511,0.9988461547320201,1288.3996120902839,0.14281,0.04000000000000001,94,400000,2,0.0,18.489,75,0,40,0,0.0,0,9000,12000,150,0,0,0,0,0,0.025,0.5,23963.444607879504,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,9.236338824702633,892425.0,0.27775,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,615.1323780822528,35.25,0.1991,1449.1304347826087,0.05,0.14464128328280976,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.23974145639212735,139037.28,20,1737.9660000000001,1.4,0.05432322317790855,0.11402016108403816,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,55429.802,4731800.0,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215
2022,2071,2021,1,1,3333,163896,0.268,44707,8224,79558.97602446923,0.9867401706625885,1358.0341673508708,0.14281000000000002,0.04000000000000001,94,400000,2,0.0,18.489,75,0,40,0,0.0,0,9040,12000,150,0,0,0,0,0,0.0262307215,0.5,92972.27488749074,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,409.64857241378104,892425.0,0.6853333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,18567.238463947408,37.909950247875,0.1991,71259.13043478261,0.052461443,0.5338637042466439,2.3,0.19798031697341512,0.7745196830265849,0.7789,0.022,0.027499999999999997,20,80,0.3215468541962271,139037.28,20,1737.9660000000001,1.4,0.05190932342173987,0.11102849509833315,0.01,0.1,0.02,16.3,7.901415531800655,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,10340028.717,0.6,472678796.00000006,93581097.85869223,12998666.89,519.9466756000002,366099031.25130785,52282.60265299928,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3473.725,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215
2023,2071,2021,1,1,3333,172154,0.268,47482,8803,86509.14063925656,0.9855818098934572,1446.244541852611,0.14281000000000002,0.04,94,400000,2,0.0,18.489,75,0,40,0,0.0,0,9080,12000,150,0,0,0,0,0,0.06685528889931398,0.5,96108.48470474462,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,410.1611084566019,892425.0,0.7335833333333334,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01635886294965699,61.1,0.65,0.00113,0.06543545179862796,3.91210447011552,19344.843606752285,99.15708695771384,0.1991,74849.56521739131,0.068275126,0.5260858488873138,2.3,0.19651181229148387,0.7687747392960161,0.7789,0.022,0.0347134484125,20,80,0.34150553002763,139037.28,20,1737.9660000000001,1.4,0.049702786622552876,0.10797052163925905,0.01,0.1,0.02,16.3,7.896004739942148,67729.375,0.001,4731.8,9,62870.83093451195,4731800.0,10340028.717,0.6,496155012.0000002,97500320.58562297,17223251.413665324,688.9300565466131,381431440.0007119,54472.223946501676,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3589.106123401112,777.9901284598114,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.07190486044570091,1035,3389,841,129.51754269980157,-339.7958373693404,3927.747582495062,12830.936815417595,182685.9340695378,22814900.0,0.9999995206342637,1.0451633961542335,0.0284,0.0145,0.00844,265.0849225212048,2.0,1.4131351312963112,18281.718794565848,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.3025405251852449,2.6,0.0672,42047.95322750145,2.3,120938.08835403403,2.876194417828036,0.3262702625926225,80,0.662,80,0.0215
2024,2071,2021,1,1,3333,180909,0.268,49394,9096,92969.3064550949,0.9845051155908175,1540.5036033979434,0.14281000000000002,0.04,94,400000,2,0.0,18.489,75,0,40,0,0.0,0,9120,12000,150,0,0,0,0,0,0.04359670968771587,0.5,98506.64258970224,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,411.6991573258931,892425.0,0.758,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016145261343857933,61.1,0.65,0.00113,0.06458104537543173,3.91210447011552,19837.333295425946,68.98381650497876,0.1991,78656.08695652174,0.022612374,0.5150692234861992,2.3,0.19178720263297933,0.7502915727314294,0.7789,0.022,0.0579212246355912,20,80,0.35525723748335697,139037.28,20,1737.9660000000001,1.4,0.0476864422002461,0.10097390240100901,0.01,0.1,0.02,16.3,7.894987535169613,67729.375,0.001,4731.8,9,66932.83886539267,4731800.0,10340028.717,0.6,521320119.4999998,99982527.39519547,30195499.748612735,1207.8199899445094,391142092.3561916,55859.00220938773,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3828.7188647113603,831.8981241945206,1161.4880379487834,2.40354609929078,0.7340425531914894,1582.3170372055888,0.5964539007092199,-0.07070709736083822,1035,3389,841,139.78182844493605,-355.72374908506936,4111.860540499456,13024.167848608287,191249.327465091,22814900.0,0.9999995286193509,1.0134002324861893,0.0284,0.0145,0.00844,282.2117370015102,2.0,1.4154330631952565,19462.878413897255,0.0103,0.001462,0,0.9821330233517477,74895.59142343924,0.9731995350276215,0.0,1.3117322527810262,2.6,0.0672,44764.620351963684,2.3,126607.05478189024,2.8282838944335285,0.33086612639051316,80,0.662,80,0.0215
2025,2071,2021,1,1,3333,190029,0.268,50966,9436,99754.64757721707,0.9833742254037972,1641.0514842960358,0.14281000000000002,0.039999999999999994,94,400000,2,0.0,18.489,75,0,40,0,0.0,0,9160,12000,150,0,0,0,0,0,0.03327222146128816,0.5,100964.71798328706,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,413.91370217192764,892425.0,0.7863333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016152195980644077,61.1,0.65,0.00113,0.06460878392257631,3.91210447011552,20319.638756280245,54.9424477038722,0.1991,82621.3043478261,0.001935659,0.5053139692704163,2.3,0.18664648376073706,0.7301805434517232,0.7789,0.022,0.08317297278753966,20,80,0.3665635576300112,139037.28,20,1737.9660000000001,1.4,0.045844489550133836,0.09651293156956418,0.01,0.1,0.02,16.3,7.9108699198543375,67729.375,0.001,4731.8,9,71260.10459393,4731800.0,10340028.717,0.6,548702565.5,102413404.48107052,45637223.548784696,1825.4889419513877,400651937.47014475,57217.10319011138,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3995.6498607037074,870.3496892481692,1212.125094744991,2.40354609929078,0.7340425531914894,1651.3008537105675,0.5964539007092199,-0.06938477984463386,1035,3389,841,151.10507567289542,-371.63899450485354,4295.827087018467,13102.52018415085,199805.91102411476,22814900.0,0.9999995374348011,0.975837341956082,0.0284,0.0145,0.00844,300.4569690642585,2.0,1.417884222209482,20721.17028029369,0.0103,0.001462,0,1.024162658043918,75035.37325188417,1.0422846515768567,0.0,1.3215368888379286,2.6,0.0672,47658.691644675484,2.3,132271.51309796397,2.775391193785354,0.3357684444189643,80,0.662,80,0.0215
2026,2071,2021,1,1,3333,198225,0.268,53373,9663,105973.50418347267,0.9823377493027545,1748.600159554444,0.14281000000000002,0.04000000000000001,94,400000,2,0.1,18.489,75,0,40,0,1.8489000000000002,0,9200,12000,150,0,0,0,0,0,0.03675847499837597,0.5,102573.2700516606,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,414.25990585565825,892425.0,0.80525,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016162715499187987,61.1,0.65,0.00113,0.06465086199675195,3.91210447011552,20554.56629986,62.71890173618916,0.1991,86184.78260869566,0.008866088,0.49257008576209366,2.3,0.18101274859281294,0.7081407829178403,0.7789,0.022,0.11084646848934679,20,80,0.38387546131512357,139037.28,20,1737.9660000000001,1.4,0.044179587788601433,0.09314622803034109,0.01,0.1,0.02,16.3,7.91022222222222,67729.375,0.001,4731.8,9,75870.40913181208,4731800.0,10340028.717,0.6,572321386.9999999,103597467.33932097,63439804.58987474,2537.5921835949903,405284115.0708042,57878.62447326156,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4128.6119566088555,901.8078539115739,1252.4551893361313,2.40354609929078,0.7340425531914894,1706.2433014144397,0.5964539007092199,-0.0679197501786395,1035,3389,841,163.1366634634932,-387.32819513574077,4477.1807502249585,13080.639304166943,208240.9651267423,22814900.0,0.9999995472016655,0.9347462379343068,0.0284,0.0145,0.00844,319.89558953511926,2.0,1.4204995299091077,22061.764795525465,0.0103,0.001462,0,1.0652537620656932,75186.47832755707,1.1141940836149633,0.0,1.3319981196364308,2.6,0.0672,50742.059029708566,2.3,137855.5189139034,2.71679000714558,0.34099905981821543,80,0.662,80,0.0215
2027,2071,2021,1,1,3333,206759,0.268,55561,10127,113821.09055167831,0.9810298182413869,1863.012467547864,0.14281000000000002,0.04,94,400000,2,0.0,20.3379,75,0,40,0,0.0,0,9240,12000,150,0,0,0,0,0,0.036742512183861396,0.5,105507.54140356976,66.931875,20,568701.5794350001,8758004.323299,16.3,0.15,0,0.18,0.05,0.77,0.1,415.6773756456115,892425.0,0.8439166666666666,136.48837906440002,6770.09657835237,2047325.685966,80,0.5,16782.52578452171,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0161742133419307,61.1,0.65,0.00113,0.0646968533677228,3.91210447011552,20474.739633818874,64.99611530205227,0.1991,89895.21739130435,0.008788171,0.4874293502224963,2.3,0.17271783718485564,0.6756902229195583,0.7789,0.022,0.15159193989558603,20,80,0.3632838617096077,152941.008,20,1911.7626,1.4,0.042687443344248774,0.08957016400001298,0.01,0.1,0.02,16.3,7.917074468342368,67729.375,0.001,4731.8,9,80783.72414810854,4731800.0,11374031.5887,0.6,597478135.9999999,103195131.41515902,90572869.68143876,3622.914787257551,403710134.9034021,57653.84436555486,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4280.393775243088,937.812283116818,1298.4935320999296,2.40354609929078,0.7340425531914894,1768.9622031506287,0.5964539007092199,-0.06630561294675807,1035,3389,841,175.12309945645055,-402.6101976031204,4653.827552939293,13020.249125699907,216457.09548554855,22814900.0,0.9999995579625803,0.8951140753297206,0.0284,0.0145,0.00844,340.6118058003995,2.0,1.423290409962902,23490.46936554479,0.0103,0.001462,0,1.1048859246702794,75349.61499102056,1.1835503681729889,0.0,1.3431616398516082,2.6,0.0672,54028.07954075302,2.3,143294.59721143314,2.652224517870323,0.3465808199258041,80,0.662,80,0.0215
2028,2071,2021,1,1,3333,214680,0.268,58307,10413,118247.70754759847,0.9802920487420669,1986.4061321463687,0.14281,0.04000000000000001,94,400000,2,0.0,20.3379,75,0,40,0,0.0,0,9280,12000,150,0,0,0,0,0,0.03673545883514161,0.5,104698.6225237404,66.931875,20,568701.5794350001,8758004.323299,16.3,0.15,0,0.18,0.05,0.77,0.1,416.2724041248388,892425.0,0.86775,136.48837906440002,6770.09657835237,2047325.685966,80,0.5,16782.52578452171,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016189826417570802,61.1,0.65,0.00113,0.06475930567028321,3.91210447011552,19864.120316594566,67.37130031288399,0.1991,93339.13043478262,0.008711612,0.4665279362262132,2.3,0.16137876910828078,0.6313306040102457,0.7789,0.022,0.20729062688147357,20,80,0.3812384968719442,152941.008,20,1911.7626,1.4,0.04135087113679621,0.08611238047505719,0.01,0.1,0.02,16.3,7.917340227315078,67729.375,0.001,4731.8,9,86019.26002385808,4731800.0,11374031.5887,0.6,620388529.0000004,100117537.178917,128600727.08648531,5144.029083459413,391670264.73459804,55934.43050674794,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4437.694829411628,975.4694915713188,1346.2034465237764,2.40354609929078,0.7340425531914894,1833.958318452681,0.5964539007092199,-0.06456095540262922,1035,3389,841,187.03428541735374,-417.42288676091334,4825.04949750518,12926.289819832664,224420.90686070605,22814900.0,0.9999995695936307,0.8571197253996501,0.0284,0.0145,0.00844,362.68661539573776,2.0,1.4262665768734804,25012.870027292258,0.0103,0.001462,0,1.14288027460035,75524.73809047701,1.2500404805506125,0.0,1.355066307493922,2.6,0.0672,57529.60106277219,2.3,148566.64034178742,2.5824382161051687,0.35253315374696104,80,0.662,80,0.0215
2029,2071,2021,1,1,3333,221871,0.268,61393,10451,121024.90151226487,0.9798291830812892,2119.0618804584874,0.14281000000000002,0.04,94,400000,2,0.0,20.3379,75,0,40,0,0.0,0,9320,12000,150,0,0,0,0,0,0.036722833434213495,0.5,101891.84507030137,66.931875,20,568701.5794350001,8758004.323299,16.3,0.15,0,0.18,0.05,0.77,0.1,415.9620294961119,892425.0,0.8709166666666667,136.48837906440002,6770.09657835237,2047325.685966,80,0.5,16782.52578452171,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016202322717106747,61.1,0.65,0.00113,0.06480929086842699,3.91210447011552,18570.27809334985,69.82221089346449,0.1991,96465.65217391305,0.008636376,0.4389908278654441,2.3,0.14587641907268395,0.5706837911386917,0.7789,0.022,0.2834397897886243,20,80,0.4014162114061652,152941.008,20,1911.7626,1.4,0.04015428823457891,0.08277167584569538,0.01,0.1,0.02,16.3,7.9228371441062615,67729.375,0.001,4731.8,9,91603.23144196351,4731800.0,11374031.5887,0.6,641614447.0000001,93596417.95366038,181859063.98302445,7274.362559320979,366158965.0633153,52291.16180069206,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4600.739344724832,1014.8399092051063,1395.6568478172765,2.40354609929078,0.7340425531914894,1901.3296187655649,0.5964539007092199,-0.06270115253292552,1035,3389,841,198.84844273410692,-431.7147871910672,4990.251572369861,12804.075895130512,232104.72429627262,22814900.0,0.9999995819923164,0.8209092852423909,0.0284,0.0145,0.00844,386.2305483886219,2.0,1.429441263244524,26636.58954404289,0.0103,0.001462,0,1.179090714757609,75711.77237589436,1.313408750825816,0.0,1.367765052978096,2.6,0.0672,61264.15595129864,2.3,153653.3274841325,2.5080461013170203,0.358882526489048,80,0.662,80,0.0215
2030,2071,2021,1,1,3333,228800,0.268,64324,10916,121232.34783771109,0.9797946086937148,2262.1838612444444,0.14281000000000002,0.04,94,400000,2,0.0,20.3379,75,0,40,0,0.0,0,9360,12000,150,0,0,0,0,0,0.03673889458535617,0.5,96140.08444475931,66.931875,20,568701.5794350001,8758004.323299,16.3,0.15,0,0.18,0.05,0.77,0.1,415.71955867716605,892425.0,0.9096666666666666,136.48837906440002,6770.09657835237,2047325.685966,80,0.5,16782.52578452171,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016228840542678084,61.1,0.65,0.00113,0.06491536217071234,3.91210447011552,16293.7501987132,72.41793928157502,0.1991,99478.26086956523,0.008562427,0.40144204550411705,2.3,0.12468649476964616,0.4877865935513681,0.7789,0.022,0.3875269116789857,20,80,0.4205804632855565,152941.008,20,1911.7626,1.4,0.039083568187185634,0.07954800694483187,0.01,0.1,0.02,16.3,7.8866682692307695,67729.375,0.001,4731.8,9,97562.43839295176,4731800.0,11374031.5887,0.6,658631440.5,82122445.66102777,255237408.0716466,10209.496322865865,321271586.7673256,45880.79530624177,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4769.743800015788,1055.9661168915982,1446.9093217709897,2.40354609929078,0.7340425531914894,1971.1518296590293,0.5964539007092199,-0.0607437128875848,1035,3389,841,209.5234753074647,-445.4455109272266,5148.966927384607,12713.007837641639,239486.8338318422,22814900.0,0.999999595041914,0.7899463107609955,0.0284,0.0145,0.00844,411.35660270363496,2.0,1.4328279618928703,28369.420876112756,0.0103,0.001462,0,1.2134049189853393,75910.62081862846,1.3667561487316744,0.0,1.3813118475714816,2.6,0.0672,65249.66801505933,2.3,158540.28399667956,2.429748515503392,0.3656559237857408,80,0.662,80,0.0215
