time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,business construction,GDPGN,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN,gdp growth rate,business income multiplier,increase amount,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,change to ticket cost,Public Transport Ticket Cost,TCI,Number of Bus Routes,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,increasing railway trips,increaing bus trips,ITRR,daily railway capacity,Daily railway trips,increasing railway lines,increasing bus routes,IRBR,number of trains,MAX CAPACITY RAILWAY,VEHICLES PER LINE,number of bus,VEHICLES PER ROUTE,MAX CAPACITY BUS,daily bus capacity,Daily bus trips,CAR COST KM,Road available,road construction,RCR,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,emissions of greenhouse gases mobility,railway electricity co2 emission,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,railway activity per year,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,DIESEL PETROL RATIO,car diesel co2 emissions,INITIAL RATIO CAR PETROL,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,emissions per year,CO2 CAPTURE PER GREEN AREA,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,co2 capture sea river,CO2 TECHNOLOGIES CAPTURE,emissions of greenhouse gases business,BODY OF WATER M2,GREEN AREA,EpB,Affordability of public transport for the poorest group,daily walk trips,daily chosen bus,daily chosen railway,daily chosen car,construction,Land Use for mobility,Motorization rate number of motorized vehicles per 1000 inhabitants,Railway Daily Occupancy rate,number of mototized private vehicles,Emissions of greenhouse gases,TPC,PRIVATE PARKING CONSTRUCTION,BUS Daily Occupancy rate,PEDESTRIAN SIDEWALK CONSTRUCTION,Mobility space usage
2021,2071,2021,1,1,1288.3996120902839,0.05,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215,0.025,0.0,35.25,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,0.0,0.9,0,94,2,0.0,18.489,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,139037.28,1737.9660000000001,0.268,400000,0,0,0.5,23963.444607879504,66.931875,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,124.08034460400002,6154.633253047608,1861205.16906,0.5,15256.841622292462,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,615.1323780822528,0.1991,0.1991,0.7788999999999999,0.7789,0.022,0.022,0.01,0.1,0.02,16.3,12.8,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,6923.071607879511,0.00113,67729.375,0.001,4731.8,9,55429.802,4731800.0,59937500.0,3.439,0.07329867498259597,3333,33333,3333,3333,40,9000,9.236338824702633,0.11694736842105263,1449.1304347826087,0.14464128328280976,2.3,20,0.23974145639212735,20,0.05432322317790855
2022,2071,2021,1,1,1374.69543288408,0.052461443,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215,0.0262307215,0.01635886294965699,37.909950247875,3497.3676466779916,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,0.0,0.9,0,94,2,0.0,18.489,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,139037.28,1737.9660000000001,0.29,400000,0,0,0.5,134558.18758961672,66.931875,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,124.08034460400002,6154.633253047608,1861205.16906,0.5,15256.841622292462,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,29383.87195662609,0.1991,0.197925196254455,0.774304045015545,0.7789,0.022,0.027770758729999998,0.01,0.1,0.02,16.3,12.8,10340028.717,0.6,748253504.0,148098221.62728363,20779567.528461087,831.1827011384436,579375714.8442552,82740.64583690811,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,121144.88872659519,0.00113,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,59937500.0,3.439,0.07137546113464274,73023,34194,12423,160157,40,9040,400.3137820966454,0.4358947368421053,69633.47826086957,0.7726575750699732,2.3,20,0.24593404013657344,20,0.05190932342173987
2023,2071,2021,1,1,1467.0747825039653,0.068275126,129.52916111121274,-339.7958373693404,3927.747582495062,12830.936821018022,182685.9340695378,22814900.0,0.9999995210707416,1.0451633961542335,0.0284,0.0145,0.00844,265.32651087143637,2.0,1.4131643424969444,18298.380060099058,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.3026573699877781,2.6,0.0672,42086.27413822783,2.3,120938.08835403403,2.873575549995847,0.3263286849938891,80,0.662,80,0.0215,0.034137563,0.016387816046699862,50.631466240663705,3589.1490654750824,778.0872334569038,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.07183938874989618,1035,3389,841,0.0,0.9,0,94,2,0.0,18.489,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,139037.28,1737.9660000000001,0.29,400000,0,0,0.5,139262.88147868364,66.931875,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,124.08034460400002,6154.633253047608,1861205.16906,0.5,15256.841622292462,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,30528.07942439146,0.1991,0.19599521689129035,0.7667537641216778,0.7789,0.022,0.037251018987031745,0.01,0.1,0.02,16.3,12.8,10340028.717,0.6,785045504.0,153865163.82601234,29243744.975187905,1169.7497990075165,601936595.1987997,85962.5651603406,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,129720.8355053643,0.00113,67729.375,0.001,4731.8,9,62928.12902668066,4731800.0,59937500.0,3.439,0.06940095875893962,76651,35818,13025,168032,40,9080,400.3509721580881,0.4570175438596491,73057.39130434784,0.762307630239745,2.3,20,0.2576143606952035,20,0.049702786622552876
2024,2071,2021,1,1,1566.0073190068933,0.022612374,139.80966362058967,-355.72374909548614,4111.860540619865,13024.169328997701,191249.3274706914,22814900.0,0.9999995295198009,1.01340034673193,0.0284,0.0145,0.00844,282.75186081010804,2.0,1.4154983916187793,19500.128331731587,0.0103,0.001462,0,0.9821328710240934,74895.60304185066,0.9731993065361402,0.0,1.3119935664751174,2.6,0.0672,44850.29516298264,2.3,126607.05478559772,2.8228811945499372,0.33099678323755877,80,0.662,80,0.0215,0.011306187,0.01641877952700616,17.341332573814302,3711.7213593344477,806.5930995897185,1125.868167422438,2.40354609929078,0.7340425531914894,1533.7914164885387,0.5964539007092199,-0.07057202986374844,1035,3389,841,0.0,0.9,0,94,2,0.0,18.489,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,139037.28,1737.9660000000001,0.29,400000,0,0,0.5,144664.1120517764,66.931875,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,124.08034460400002,6154.633253047608,1861205.16906,0.5,15256.841622292462,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,31892.080368219886,0.1991,0.19513781047990345,0.7633995006669855,0.7789,0.022,0.04146268885311106,0.01,0.1,0.02,16.3,12.8,10340028.717,0.6,823724992.0000001,160739891.376456,34153853.0438274,1366.1541217530962,628831247.5797167,89803.39046685936,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,139254.87838460132,0.00113,67729.375,0.001,4731.8,9,67060.94133282492,4731800.0,59937500.0,3.439,0.06694825436452113,79888,37449,13626,176311,40,9120,401.24615096227774,0.47810526315789476,76656.95652173914,0.7564163177198409,2.3,20,0.26934502746313793,20,0.04768644219884968
2025,2071,2021,1,1,1672.0043169889211,0.001935659,151.1549388790004,-371.6389972685513,4295.827118964435,13102.52742793866,199805.91250997374,22814900.0,0.999999538819452,0.9758378728441646,0.0284,0.0145,0.00844,301.3590649539614,2.0,1.417993366607611,20783.38378992837,0.0103,0.001462,0,1.0241621271558354,75035.41270547124,1.042283722522712,0.0,1.321973466430444,2.6,0.0672,47801.78271683525,2.3,132271.51408160263,2.7670832877749154,0.33598673321522204,80,0.662,80,0.0215,0.0009678295,0.016451884782068427,1.5012320329586426,3753.7381257602697,817.876341019786,1138.5974434606635,2.40354609929078,0.7340425531914894,1551.132749062353,0.5964539007092199,-0.0691770821943729,1035,3389,841,0.0,0.9,0,94,2,0.1,18.489,75,0,0,1.8489000000000002,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,139037.28,1737.9660000000001,0.29,400000,0,0,0.5,149500.28534770577,66.931875,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,124.08034460400002,6154.633253047608,1861205.16906,0.5,15256.841622292462,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,33141.68421793223,0.1991,0.19505611675033094,0.7630799062623443,0.7789,0.022,0.04186397698732468,0.01,0.1,0.02,16.3,12.8,10340028.717,0.6,856358912.0000001,167038043.91925842,35850589.784858406,1434.0235913943363,653470278.2958833,93322.0904434351,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,148504.16720126945,0.00113,67729.375,0.001,4731.8,9,71474.05685356367,4731800.0,59937500.0,3.439,0.06602465102813586,83917,39518,14293,183296,40,9160,399.2625245236231,0.5015087719298246,79693.91304347827,0.7482275347594788,2.3,20,0.28422592847040734,20,0.045844489209210755
2026,2071,2021,1,1,1785.6249836076624,0.008866088,163.21586806477143,-387.32821130832383,4477.1809371661075,13080.65696105546,208240.97382167942,22814900.0,0.9999995490874029,0.9347474589082949,0.0284,0.0145,0.00844,321.2334211084683,2.0,1.4206614478894293,22154.02904196333,0.0103,0.001462,0,1.065252541091705,75186.56764435025,1.114191946910484,0.0,1.3326457915577177,2.6,0.0672,50954.26679651566,2.3,137855.5246699518,2.7054755830453554,0.3413228957788588,80,0.662,80,0.0215,0.004433044,0.016487272547735635,6.882894754090684,3757.426048501145,821.059261266487,1139.699411655069,2.40354609929078,0.7340425531914894,1552.6339810953116,0.5964539007092199,-0.0676368895761339,1035,3389,841,0.0,0.9,0,94,2,0.0,20.3379,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,152941.008,1911.7626,0.29,400000,0,0,0.5,156310.87820603413,66.931875,568701.5794350001,8758004.323299,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,136.48837906440002,6770.09657835237,2047325.685966,0.5,16782.52578452171,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,34330.6011357934,0.1991,0.1946783054616483,0.761601869031029,0.7789,0.022,0.04371982550732265,0.01,0.1,0.02,16.3,12.8,11374031.5887,0.6,888801280.0,173030327.082544,38858236.87228502,1554.329474891401,676912716.0451709,96669.90497841086,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,160028.40908134604,0.00113,67729.375,0.001,4731.8,9,76187.70587531189,4731800.0,59937500.0,3.439,0.06576869971200958,86661,42693,14990,190240,40,9200,397.5881497229217,0.5259649122807017,82713.04347826088,0.7506249867035583,2.3,20,0.2791468459525257,20,0.044179585943917694
2027,2071,2021,1,1,1907.479365192948,0.008788171,175.24003308898764,-402.6102462397246,4653.828115136599,13020.284732689946,216457.12163426046,22814900.0,0.9999995603572359,0.8951164129571383,0.0284,0.0145,0.00844,342.46709876470663,2.0,1.423515034678,23618.420604462524,0.0103,0.001462,0,1.1048835870428617,75349.78351241502,1.183546277325008,0.0,1.344060138712,2.6,0.0672,54322.367390263804,2.3,143294.61452188043,2.637856584791684,0.34703006935599995,80,0.662,80,0.0215,0.0043940855,0.016525115586485395,6.852650491175159,3774.1419003584606,827.3353773209046,1144.7517492937102,2.40354609929078,0.7340425531914894,1559.5168758494024,0.5964539007092199,-0.06594641461979212,1035,3389,841,0.0,0.9,0,94,2,0.0,20.3379,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,152941.008,1911.7626,0.29,400000,0,0,0.5,160451.9376561816,66.931875,568701.5794350001,8758004.323299,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,136.48837906440002,6770.09657835237,2047325.685966,0.5,16782.52578452171,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,35383.997710220225,0.1991,0.19428721310501582,0.760071874874419,0.7789,0.022,0.04564091202056522,0.01,0.1,0.02,16.3,12.8,11374031.5887,0.6,917917184.0,178339571.540564,41894577.43710898,1675.7830974843594,697683035.0223271,99636.11423153855,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,169205.51111492823,0.00113,67729.375,0.001,4731.8,9,81223.74845874662,4731800.0,59937500.0,3.439,0.06526978234010006,88754,47167,15395,196472,40,9240,395.014532439938,0.5401754385964912,85422.60869565218,0.7412643041945798,2.3,20,0.30839995509902746,20,0.04268743818746922
2028,2071,2021,1,1,2038.232735222542,0.008711612,187.19931861076117,-417.4230004903679,4825.050812119842,12926.353828206597,224420.96800557408,22814900.0,0.9999995725085788,0.8571237336560995,0.0284,0.0145,0.00844,365.15977662791613,2.0,1.426566114979938,25183.432870890767,0.0103,0.001462,0,1.1428762663439005,75525.02354550401,1.250033466101826,0.0,1.3562644599197526,2.6,0.0672,57921.89560304876,2.3,148566.68081969005,2.5649485272003103,0.3531322299598763,80,0.662,80,0.0215,0.004355806,0.016565589763997017,6.822801781051446,3790.789200076026,833.8257836969228,1149.7818863563814,2.40354609929078,0.7340425531914894,1566.3695263405775,0.5964539007092199,-0.06412371318000776,1035,3389,841,0.0,0.9,0,94,2,0.0,20.3379,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,152941.008,1911.7626,0.29,400000,0,0,0.5,164513.94542509876,66.931875,568701.5794350001,8758004.323299,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,136.48837906440002,6770.09657835237,2047325.685966,0.5,16782.52578452171,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,36415.03866858752,0.1991,0.19388249256286502,0.7584885658323233,0.7789,0.022,0.04762894160481172,0.01,0.1,0.02,16.3,12.8,11374031.5887,0.6,946635968.0000001,183536141.02550057,45087269.24088643,1803.4907696354574,718012557.7336131,102539.3733699373,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,178649.59606809213,0.00113,67729.375,0.001,4731.8,9,86605.82564299335,4731800.0,59937500.0,3.439,0.06476172967520971,91334,50889,15746,202619,40,9280,392.9058776233167,0.5524912280701755,88095.21739130435,0.7330596017258629,2.3,20,0.3327361357524203,20,0.04135085987049796
2029,2071,2021,1,1,2178.613184799771,0.008636376,199.07260985634107,-431.7150173193772,4990.254232455165,12804.182386331888,232104.84802117047,22814900.0,0.9999995854149792,0.8209156723217859,0.0284,0.0145,0.00844,389.4193345275382,2.0,1.4298276191324093,26856.50582948539,0.0103,0.001462,0,1.1790843276782141,75712.22286411477,1.313397573436875,0.0,1.3693104765296373,2.6,0.0672,61769.963407816394,2.3,153653.40939001486,2.4875101248735967,0.3596552382648187,80,0.662,80,0.0215,0.004318188,0.01660886511354564,6.79334023298688,3807.3692228663585,840.5034045595642,1154.7901131956637,2.40354609929078,0.7340425531914894,1573.1923281216289,0.5964539007092199,-0.06218775312183992,1035,3389,841,0.0,0.9,0,94,2,0.0,20.3379,75,0,0,0.0,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,152941.008,1911.7626,0.29,400000,0,0,0.5,168046.8704505749,66.931875,568701.5794350001,8758004.323299,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,136.48837906440002,6770.09657835237,2047325.685966,0.5,16782.52578452171,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,37307.31022348798,0.1991,0.19346379071044745,0.7568505604438348,0.7789,0.022,0.04968564884571771,0.01,0.1,0.02,16.3,12.8,11374031.5887,0.6,971930176.0000001,188033296.15483236,48290981.427292615,1931.6392570917048,735605898.417875,105051.87835305675,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,187936.21899817517,0.00113,67729.375,0.001,4731.8,9,92359.52354760026,4731800.0,59937500.0,3.439,0.06424721150094184,94145,54693,16060,208033,40,9320,390.04023917038256,0.5635087719298245,90449.13043478262,0.7240127549392988,2.3,20,0.3576084708425617,20,0.04015426683009187
2030,2071,2021,1,1,2329.4187778360306,0.008562427,209.81810281019847,-445.4459337533739,5148.971814891148,12713.136217456771,239487.06115772782,22814900.0,0.9999995989472273,0.7899535349534614,0.0284,0.0145,0.00844,415.3626453564856,2.0,1.433313527832651,28645.699679757625,0.0103,0.001462,0,1.213395286728718,75911.29547397111,1.3667441084108978,0.0,1.383254111330604,2.6,0.0672,65885.10926344253,2.3,158540.43448641582,2.406316636016944,0.366627055665302,80,0.662,80,0.0215,0.0042812135,0.016655125034060664,6.764255973166303,3823.8832489675424,847.3399699940228,1159.776714004984,2.40354609929078,0.7340425531914894,1579.9856683546157,0.5964539007092199,-0.0601579159004236,1035,3389,841,0.0,0.9,0,94,2,0.1,20.3379,75,0,0,2.03379,0,28500,150,0,0,0,20,190,10,61.1,0.65,80,152941.008,1911.7626,0.29,400000,0,0,0.5,171228.2147063827,66.931875,568701.5794350001,8758004.323299,16.3,0.15,0,0.18,0.05,0.77,0.1,892425.0,136.48837906440002,6770.09657835237,2047325.685966,0.5,16782.52578452171,0.1,1,2.75,1.2,0.2,0.03,0,3.91210447011552,38106.83333189202,0.1991,0.19303074847388943,0.7551564539744474,0.7789,0.022,0.05181279755166317,0.01,0.1,0.02,16.3,12.8,11374031.5887,0.6,994986496.0000001,192062988.04429263,51553033.88388672,2062.121355355469,751370474.0718209,107303.21740219675,0.05,0.6,0.01,1,0.06,0.2,0,2.68,0.2,2.68,2.31,0.5,197270.6009050692,0.00113,67729.375,0.001,4731.8,9,98512.56119868647,4731800.0,59937500.0,3.439,0.06372884782052819,96417,58841,16565,212968,40,9360,386.9765746870922,0.5812280701754386,92594.78260869566,0.7149789799859402,2.3,20,0.38473003917955084,20,0.039083531088284724
