time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Affordability of public transport for the poorest group,change to ticket cost,CAR COST KM,daily walk trips,daily chosen bus,daily chosen railway,Public Transport Ticket Cost,daily chosen car,TCI,emissions per year,enviromental impact on economy,business construction,emission per car petrol,emission per car,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,Mobility space usage,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,0.07329867498259597,0.0,0.268,3333,33333,3333,0.9,3333,0.0,6923.071607879511,0.9988461547320201,1288.3996120902839,0.14281,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9000,12000,150,0,0,0,0,0,0.025,0.5,23963.444607879504,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,9.236338824702633,892425.0,0.27775,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,615.1323780822528,35.25,0.1991,1449.1304347826087,0.05,0.14464128328280976,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.23974145639212735,139037.28,20,1737.9660000000001,0.05432322317790855,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,55429.802,4731800.0,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215
2022,2071,2021,1,1,0.07137546113464274,0.0,0.268,3333,35234,4495,0.9,156183,0.0,79512.91394756465,0.9867478476754059,1358.0447330965649,0.14281000000000002,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9040,12000,150,0,0,0,0,0,0.0262307215,0.5,92926.21281058616,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,390.39229059616474,892425.0,0.3745833333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,18555.25516411586,37.909950247875,0.1991,67905.65217391305,0.052461443,0.5335992074272283,2.3,0.19798031697341512,0.7745196830265849,0.7789,0.022,0.027499999999999997,20,80,0.2534140483760902,139037.28,20,1737.9660000000001,0.05190932342173987,0.01,0.1,0.02,16.3,8.286270592830205,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,10340028.717,0.6,472373728.99999994,93520700.59733409,12990277.547499998,519.6111019,365862750.8551659,52248.85944962625,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3473.725,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215
2023,2071,2021,1,1,0.06940961555492402,0.0,0.268,3333,37073,4810,0.9,164298,0.0,86880.0328196138,0.9855199945300643,1446.1546886238489,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9080,12000,150,0,0,0,0,0,0.06685528889931398,0.5,96479.34054950242,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,391.46425480276287,892425.0,0.4008333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01635886294965699,61.1,0.65,0.00113,0.06543545179862796,3.91210447011552,19441.133147831402,99.15708695771384,0.1991,71433.91304347827,0.068275126,0.5281158674908075,2.3,0.19651181229148387,0.7687747392960161,0.7789,0.022,0.0347134484125,20,80,0.266640716791928,139037.28,20,1737.9660000000001,0.049702786622552876,0.01,0.1,0.02,16.3,8.314738463036676,67729.375,0.001,4731.8,9,62870.86727011138,4731800.0,10340028.717,0.6,498624638.4999999,97985631.36482097,17308980.66577121,692.3592266308484,383330026.4694077,54743.36108009612,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3589.106123401112,777.9901900950547,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.07190481888899397,1035,3389,841,129.51755006762005,-339.7958373693404,3927.747582495062,12830.936815421153,182685.9340695378,22814900.0,0.9999995206345408,1.0451633961542335,0.0284,0.0145,0.00844,265.0850757245173,2.0,1.4131351498206013,18281.72936031154,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.3025405992824055,2.6,0.0672,42047.97752871654,2.3,120938.08835403403,2.8761927555597584,0.3262702996412028,80,0.662,80,0.0215
2024,2071,2021,1,1,0.06491183003328163,0.0,0.268,3333,39016,5076,0.9,172479,0.0,93354.5624554227,0.9844409062574295,1540.3966929444516,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9120,12000,150,0,0,0,0,0,0.04359701731996642,0.5,98892.17178655052,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,392.5345545537617,892425.0,0.423,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01614541515998321,61.1,0.65,0.00113,0.06458166063993284,3.91210447011552,19936.780082453188,68.98430327673002,0.1991,74990.86956521739,0.022612374,0.517085069512726,2.3,0.19178720263297933,0.7502915727314294,0.7789,0.022,0.0579212246355912,20,80,0.28061538603171754,139037.28,20,1737.9660000000001,0.04768644220024521,0.01,0.1,0.02,16.3,8.322371998910011,67729.375,0.001,4731.8,9,66932.5656688722,4731800.0,10340028.717,0.6,523933555.99999994,100483751.07078941,30346873.191200096,1213.874927648004,393102931.7380104,56139.02968150528,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3828.7191080972357,831.8976675332231,1161.4880379487834,2.40354609929078,0.7340425531914894,1582.3170372055888,0.5964539007092199,-0.07070738596374573,1035,3389,841,139.78176907572274,-355.72374908507595,4111.860540499532,13024.16784951458,191249.32746509454,22814900.0,0.9999995286174269,1.0134002325586382,0.0284,0.0145,0.00844,282.2105851115577,2.0,1.4154329239295687,19462.798973210873,0.0103,0.001462,0,0.9821330232551491,74895.59143080706,0.9731995348827236,0.0,1.311731695718275,2.6,0.0672,44764.437638385,2.3,126607.05478189258,2.828295438549829,0.3308658478591375,80,0.662,80,0.0215
2025,2071,2021,1,1,0.06204408214873221,0.0,0.268,3333,40377,5349,0.9,180956,0.0,99920.3054761912,0.9833466157539681,1640.990366726273,0.14281000000000005,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9160,12000,150,0,0,0,0,0,0.03326974114144896,0.5,101131.01278248169,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,394.1706295629388,892425.0,0.44575,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01615095582072448,61.1,0.65,0.00113,0.06460382328289792,3.91210447011552,20362.215223095358,54.93836814437442,0.1991,78676.52173913045,0.001935659,0.5061462509475789,2.3,0.18664644748618955,0.7301804015419039,0.7789,0.022,0.08317315097190656,20,80,0.2904041275836236,139037.28,20,1737.9660000000001,0.045844489549925094,0.01,0.1,0.02,16.3,8.324923738367337,67729.375,0.001,4731.8,9,71259.46769370952,4731800.0,10340028.717,0.6,549852388.5,102627994.95532115,45732955.72097392,1829.3182288389569,401491437.82370496,57336.99223560332,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3995.6489906667466,870.3489217642237,1212.1254520561702,2.40354609929078,0.7340425531914894,1651.301340482319,0.5964539007092199,-0.06938539998965493,1035,3389,841,151.10492720296537,-371.6389945065457,4295.827087038027,13102.520174563673,199805.9110250245,22814900.0,0.9999995374306667,0.9758373412416483,0.0284,0.0145,0.00844,300.45428367513466,2.0,1.4178838974195398,20720.985081043767,0.0103,0.001462,0,1.0241626587583517,75035.37319988279,1.0422846528271155,0.0,1.3215355896781598,2.6,0.0672,47658.265686400664,2.3,132271.51309856624,2.7754159995861967,0.3357677948390799,80,0.662,80,0.0215
2026,2071,2021,1,1,0.059879929083610194,-0.09000000000000001,0.268,3333,42081,5278,0.9,189355,-0.1,106778.28401469257,0.9822036193308846,1748.3415693033432,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9200,12000,150,0,0,0,0,0,0.03675588999878713,0.5,103378.8877313702,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,395.74039057517143,892425.0,0.43983333333333335,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016161422999393566,61.1,0.65,0.00113,0.06464569199757426,3.91210447011552,20759.085721446416,62.71435904184534,0.1991,82328.26086956523,0.008866088,0.4964387658920461,2.3,0.1810131202237323,0.7081422367768213,0.7789,0.022,0.11084464299944641,20,80,0.30265983339144725,139037.28,20,1737.9660000000001,0.04417958779044691,0.01,0.1,0.02,16.3,8.363139605502893,67729.375,0.001,4731.8,9,75869.57128332238,4731800.0,10340028.717,0.6,578014839.5000001,104628269.63351485,64069848.53275983,2562.7939413103936,409316721.33372545,58454.520973669336,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4128.601057794203,901.8046752293234,1252.4525520770408,2.40354609929078,0.7340425531914894,1706.2397086266933,0.5964539007092199,-0.06792050023223661,1035,3389,841,163.1364543143994,-387.32819511956126,4477.180750037937,13080.639264431149,208240.96511804362,22814900.0,0.9999995471966652,0.9347462351384959,0.0284,0.0145,0.00844,319.8920568793761,2.0,1.4204991024132134,22061.521164094906,0.0103,0.001462,0,1.0652537648615041,75186.47812708575,1.1141940885076322,0.0,1.3319964096528543,2.6,0.0672,50741.498677418276,2.3,137855.51890814488,2.7168200092894645,0.3409982048264271,80,0.662,80,0.0215
2027,2071,2021,1,1,0.05182311367770831,0.0,0.268,3333,43973,5608,0.81,197041,0.0,112226.16865791216,0.9812956385570146,1863.4765632532449,0.14281000000000002,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9240,12000,150,0,0,0,0,0,0.03674139133049124,0.5,103914.33450136376,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,396.1574917502865,892425.0,0.4673333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01617365291524562,61.1,0.65,0.00113,0.06469461166098248,3.91210447011552,20615.11755898459,64.99383364587406,0.1991,85670.0,0.008788171,0.48006896836262775,2.3,0.17271892874260802,0.6756944932075207,0.7789,0.022,0.15158657804987122,20,80,0.31626769453487585,139037.28,20,1737.9660000000001,0.04268744335376045,0.01,0.1,0.02,16.3,8.364446993265357,67729.375,0.001,4731.8,9,80782.0091565484,4731800.0,10340028.717,0.6,601570734.9999998,103902652.9121033,91190049.17359586,3647.601966943835,406478032.9143006,58049.12788049128,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4280.373098282757,937.8054800459679,1298.4875603098849,2.40354609929078,0.7340425531914894,1768.9540676685388,0.5964539007092199,-0.06630702059153268,1035,3389,841,175.1226436408258,-402.61019751341024,4653.827551902321,13020.249038888312,216457.09543731727,22814900.0,0.9999995579531961,0.8951140695694613,0.0284,0.0145,0.00844,340.6045748095236,2.0,1.4232895349230879,23489.97067651887,0.0103,0.001462,0,1.1048859304305387,75349.61458140015,1.183550378253443,0.0,1.343158139692352,2.6,0.0672,54026.9325559934,2.3,143294.59717950405,2.652280823661307,0.34657906984617604,80,0.662,80,0.0215
2028,2071,2021,1,1,0.049822452599424916,0.0,0.268,3333,48330,6221,0.81,204081,0.0,116947.95408292422,0.9805086743195126,1986.842847060339,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9280,12000,150,0,0,0,0,0,0.03673003581396145,0.5,103398.96315811785,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,395.73839559135695,892425.0,0.5184166666666666,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016187114906980726,61.1,0.65,0.00113,0.0647484596279229,3.91210447011552,20073.74510295988,67.36097209621782,0.1991,88730.86956521739,0.008711612,0.46073676764881716,2.3,0.16138060762491932,0.6313377964794057,0.7789,0.022,0.20728159589567494,20,80,0.34760461366908213,139037.28,20,1737.9660000000001,0.041350871161471056,0.01,0.1,0.02,16.3,8.41632391060412,67729.375,0.001,4731.8,9,86019.16592480635,4731800.0,10340028.717,0.6,626928306.9999999,101174071.12092194,129950699.9871336,5198.0279994853445,395803535.8919443,56524.70296072857,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4437.664649918762,975.4638213165961,1346.195799901005,2.40354609929078,0.7340425531914894,1833.9479013144128,0.5964539007092199,-0.0645610259893496,1035,3389,841,187.0342592010332,-417.4228865118293,4825.049494625981,12926.28962489283,224420.90672678986,22814900.0,0.99999956959316,0.8571197129853927,0.0284,0.0145,0.00844,362.68621864195757,2.0,1.4262665273834267,25012.84266496259,0.0103,0.001462,0,1.1428802870146073,75524.73722504098,1.250040502275563,0.0,1.3550661095337069,2.6,0.0672,57529.53812941395,2.3,148566.6402531349,2.5824410395739834,0.3525330547668535,80,0.662,80,0.0215
2029,2071,2021,1,1,0.047889762717387034,0.0,0.268,3333,49908,6439,0.81,211614,0.0,119948.36202465203,0.9800086063292247,2119.4835826818075,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9320,12000,150,0,0,0,0,0,0.03673355388987781,0.5,100813.89645471486,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,396.74843915804155,892425.0,0.5365833333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016207682944938906,61.1,0.65,0.00113,0.06483073177975562,3.91210447011552,18826.11759596112,69.84183196273227,0.1991,92006.08695652174,0.008636376,0.43434659463246683,2.3,0.1458812213900737,0.5707025783060191,0.7789,0.022,0.2834162003039072,20,80,0.35895408770942583,139037.28,20,1737.9660000000001,0.04015428829093005,0.01,0.1,0.02,16.3,8.42102460139688,67729.375,0.001,4731.8,9,91604.64056993717,4731800.0,10340028.717,0.6,650432445.4999998,94885879.58127251,184343092.25798813,7373.723690319525,371203473.6607391,53011.56807349016,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4600.699337633707,1014.8306703210102,1395.6416198439736,2.40354609929078,0.7340425531914894,1901.3088734106307,0.5964539007092199,-0.06270018793104645,1035,3389,841,198.84886048724562,-431.7147865852136,4990.251565366714,12804.075686466018,232104.72397054487,22814900.0,0.9999995819987472,0.8209092730110152,0.0284,0.0145,0.00844,386.23648975402415,2.0,1.4294419800702576,26636.999293380974,0.0103,0.001462,0,1.1790907269889848,75711.77148424201,1.3134087722307235,0.0,1.3677679202810302,2.6,0.0672,61265.09837477624,2.3,153653.32726850073,2.508007517241858,0.35888396014051516,80,0.662,80,0.0215
2030,2071,2021,1,1,0.04602407840706485,0.0,0.268,3333,51446,6580,0.81,218734,0.0,120921.7046291126,0.9798463825618146,2262.3715123302604,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9360,12000,150,0,0,0,0,0,0.036747667836544956,0.5,95826.60230659679,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,397.44497773366373,892425.0,0.5483333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01623322716827248,61.1,0.65,0.00113,0.06493290867308991,3.91210447011552,16707.97187400879,72.43519137683164,0.1991,95101.73913043478,0.008562427,0.4001330719694832,2.3,0.12468687519799618,0.4877880818268169,0.7789,0.022,0.387525042975187,20,80,0.37001586912517276,139037.28,20,1737.9660000000001,0.03908356827315516,0.01,0.1,0.02,16.3,8.45930445198277,67729.375,0.001,4731.8,9,97565.27732251582,4731800.0,10340028.717,0.6,675373187.4999998,84210172.34188534,261724023.51022643,10468.960940409059,329438991.647888,47047.182397234894,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4769.749726197642,1055.9689988825444,1446.9084964974686,2.40354609929078,0.7340425531914894,1971.150705373363,0.5964539007092199,-0.06074194524890454,1035,3389,841,209.52435257756542,-445.4455099474098,5148.966916058767,12713.007750610604,239486.83330505897,22814900.0,0.9999995950536983,0.7899463070814442,0.0284,0.0145,0.00844,411.368572601477,2.0,1.4328294083796782,28370.246386308758,0.0103,0.001462,0,1.2134049238914077,75910.62034472925,1.36675615486426,0.0,1.3813176335187127,2.6,0.0672,65251.56668851014,2.3,158540.28364794905,2.4296778099561815,0.3656588167593564,80,0.662,80,0.0215
