time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,business construction,GDPGN,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN,gdp growth rate,business income multiplier,increase amount,average monthly income 90,average monthly income 20,average monthly income 50,income 90 multiplier,income 50 multiplier,average monthly income,income 20 multiplier,labor force income multiplier,IMI50,IMI90,IMI20,change to ticket cost,Public Transport Ticket Cost,TCI,Number of Bus Routes,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,increasing railway trips,increaing bus trips,ITRR,daily railway capacity,Daily railway trips,increasing railway lines,increasing bus routes,IRBR,number of trains,MAX CAPACITY RAILWAY,VEHICLES PER LINE,number of bus,VEHICLES PER ROUTE,MAX CAPACITY BUS,daily bus capacity,Daily bus trips,CAR COST KM,Road available,road construction,RCR,EMISSION PETROL CAR,car electricity co2 emission,railway electricity co2 emission,car petrol co2 emission,EMISSION DIESEL CAR,bus electricity co2 emission,EMISSION ELECTRICITY CAR,bus natural gas co2 emission,EMISSION NATURAL GAS BUS,car diesel co2 emissions,EMISSION DIESEL BUS,EMISSION ELECTRICITY BUS,bus diesel co2 emission,EMISSION ELECTRICITY RAILWAY,emissions of greenhouse gases mobility,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,railway activity per year,bus diesel activity,DIESEL PETROL RATIO,INITIAL RATIO CAR PETROL,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,bus activity per year,car activity per year,car diesel activity,car electricity activity,car petrol activity,emissions per year,CO2 CAPTURE PER GREEN AREA,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,co2 capture sea river,CO2 TECHNOLOGIES CAPTURE,emissions of greenhouse gases business,BODY OF WATER M2,GREEN AREA,EpB,Affordability of public transport for the poorest group,daily walk trips,daily chosen bus,daily chosen railway,daily chosen car,construction,Land Use for mobility,Motorization rate number of motorized vehicles per 1000 inhabitants,Railway Daily Occupancy rate,number of mototized private vehicles,Emissions of greenhouse gases,TPC,PRIVATE PARKING CONSTRUCTION,BUS Daily Occupancy rate,PEDESTRIAN SIDEWALK CONSTRUCTION,Mobility space usage
2011,2061,2011,1,1,1044.6146248568698,0.05,77.44522600574096,164.99573999999998,3619.8044999999997,5302.979963969844,168363.0,22814900.0,0.9999994144703279,1.112979459518361,0.02565,0.02758,0.0083,399.96516,2.0,1.404141372524096,14502.0,0.00732,0.001076,0,0.8493607206421852,73416.0,0.7740410809632776,0.0,1.2665654900963843,2.7,0.0283,33354.6,2.3,117180.64799999999,3.513178032415319,0.3082827450481922,80,0.696,80,0.0215,0.025,0.0,19.6,3237.0,497.1417105646598,744.0,4.128826530612245,0.9489795918367347,784.0,0.7219387755102041,-0.08782945081038297,744,3237,566,0.0,0.5575,0,94.0,2,0,18.489,75,0,0,0.0,0,12000,150,0,0.0,0.0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.268,400000,0,0,120,6.669080225280001,575.614125,1289.3430528,140,180.07160010655502,42.828,7420.4182084678805,932,654.014592,871,348.3,1621.10970225126,645,11747.240360850976,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.3,0.69,0.69,0.01,0.01,16.3,12.8,10340028.717,15571776.0,4671532.8,155717.76,10744525.44,-10850.556639149017,0.00113,67729.375,0.001,4731.8,9,49872.378000000004,4731800.0,59937500.0,3.439,0.06728463793956671,3333,33333,3333,3333,40,9000,9.088876028477804,0.27775,1449.1304347826087,0.0697732896233197,2.3,20,0.11987072819606368,20,0.05345592558935158
2012,2061,2011,1,1,1092.0340222535742,-0.016961553,79.1067775977633,166.80694777989044,3659.540180885351,5330.77750284506,170211.17120396983,22814900.0,0.9999994332368067,1.106665336009296,0.02565,0.02758,0.0083,417.74459224075247,2.0,1.4054073779694192,15146.64946485687,0.00732,0.001076,0,0.8577795519876054,73493.44522600574,0.786669327981408,0.0,1.2716295118776773,2.7,0.0283,34837.2937691708,2.3,118466.975157963,3.40057915930313,0.3108147559388386,80,0.696,80,0.0215,-0.0084807765,0.011113113102621528,-6.815151995400001,3326.8554976892665,511.8323646896001,762.6,4.128826530612245,0.9489795918367347,803.6,0.7219387755102041,-0.08501447898257825,744,3237,566,0.0,0.5575,0,94.0,2,0,18.489,75,0,0,0.0,0,12000,150,0,0.0,0.0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,400000,0,0,120,365.14108511169513,575.614125,73750.8187642313,140,180.07160010655502,42.828,7420.4182084678805,932,37409.83560504487,871,348.3,1621.10970225126,645,121323.00909021356,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.3001284966136364,0.6902955422113636,0.69,0.01,0.009575961175,16.3,12.8,10340028.717,890329024.0,267213111.4646062,8525756.166799642,614590156.3685942,100942.16159985632,0.00113,67729.375,0.001,4731.8,9,52089.327509642775,4731800.0,59937500.0,3.439,0.06535342879359671,31119,30594,21188,190567,40,9040,487.25542985612236,1.7656666666666667,82855.21739130435,0.7127793565607281,2.3,20,0.11002085196143077,20,0.05311049760163544
2013,2061,2011,1,1,1141.7205845763137,-0.040573006,80.78411443478956,168.60823116423524,3699.0581326847523,5357.921514647296,172049.21547370942,22814900.0,0.9999994515328807,1.10041741191258,0.02565,0.02758,0.0083,436.3414947205061,2.0,1.4067282624924469,15820.93889486969,0.00732,0.001076,0,0.8661101174498933,73572.5520036035,0.7991651761748398,0.0,1.2769130499697876,2.7,0.0283,36388.15945820029,2.3,119746.25396970175,3.29080271584652,0.31345652498489385,80,0.696,80,0.0215,-0.020286503,0.011129349622457787,-16.16397820939986,3298.6541167785576,509.6783339695527,756.1325598411,4.128826530612245,0.9489795918367347,796.7848480046,0.7219387755102041,-0.08227006789616301,744,3237,566,0.0,0.5575,0,94.0,2,0,18.489,75,0,0,0.0,0,12000,150,0,0.0,0.0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,400000,0,0,120,331.3493575351034,575.614125,74553.37074211676,140,180.07160010655502,42.828,7420.4182084678805,932,37816.92718803024,871,348.3,1621.10970225126,645,122498.86092350779,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.300422834136522,0.6909725185140005,0.69,0.01,0.008604647349477395,16.3,12.8,10340028.717,899135744.0,270120908.4859303,7736745.996429985,621278089.5176396,104436.89478296465,0.00113,67729.375,0.001,4731.8,9,54408.20885945686,4731800.0,59937500.0,3.439,0.0656296290632559,31283,31142,21556,192452,40,9080,486.81351076253105,1.7963333333333333,83674.78260869566,0.7119989509177777,2.3,20,0.11199154643991885,20,0.05277559665122391
2014,2061,2011,1,1,1193.7929301827621,-0.009226605,82.47813033886274,170.39915334509948,3738.348772366978,5384.423893340647,173876.6870868362,22814900.0,0.9999994693655948,1.0942377183168142,0.02565,0.02758,0.0083,455.79585001872925,2.0,1.4081065954315184,16526.317984725498,0.00732,0.001076,0,0.8743497089109143,73653.33611803829,0.8115245633663715,0.0,1.282426381726074,2.7,0.0283,38010.53136486864,2.3,121018.17421243798,3.183806431190526,0.316213190863037,80,0.696,80,0.0215,-0.0046133025,0.011146289966465626,-3.601240210178372,3231.7491841286414,501.4268312382698,740.7932743974859,4.128826530612245,0.9489795918367347,780.6208697952002,0.7219387755102041,-0.07959516077976315,744,3237,566,0.0,0.5575,0,94.0,2,0,18.489,75,0,0,0.0,0,12000,150,0,0.0,0.0,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,400000,0,0,120,326.76922454577334,575.614125,75273.86911769793,140,180.07160010655502,42.828,7420.4182084678805,932,38182.397378542446,871,348.3,1621.10970225126,645,123580.24935661184,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.3004829793503538,0.6911108525058136,0.69,0.01,0.008406168143832583,16.3,12.8,10340028.717,907643456.0,272731409.8467317,7629803.505785311,627282242.6474829,107944.08190608282,0.00113,67729.375,0.001,4731.8,9,56834.00754947099,4731800.0,59937500.0,3.439,0.06670963322284824,31465,31925,21702,194273,40,9120,486.2504752975096,1.8085,84466.52173913045,0.7107350124223054,2.3,20,0.11480733800316002,20,0.0524509648348968
2015,2061,2011,1,1,1248.3768023551097,0.007922271,84.1897985357042,172.17929813393187,3777.402969264832,5410.297375313137,175693.16136115498,22814900.0,0.9999994867420824,1.088128202270062,0.02565,0.02758,0.0083,476.1498094896533,2.0,1.4095450855594662,17264.31506488953,0.00732,0.001076,0,0.8824957303065839,73735.81424837715,0.8237435954598757,0.0,1.288180342237865,2.7,0.0283,39707.92464924592,2.3,122282.44030736385,3.079547505630871,0.31909017111893256,80,0.696,80,0.0215,0.0039611355,0.011163967086409234,3.07788003894608,3216.853883007318,501.13887837713355,737.3757709327248,4.128826530612245,0.9489795918367347,777.0196295850218,0.7219387755102041,-0.07698868764077178,744,3237,566,0.0,0.5575,0,94.0,2,0,18.489,75,0,0,0.0,0,12000,150,0,9.4,0.1,20,80,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,400000,0,0,120,336.47792653009964,575.614125,75992.2530807108,140,180.07160010655502,42.828,7420.4182084678805,932,38546.79504094027,871,348.3,1621.10970225126,645,124672.73968400685,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,2.3,0.3,0.3004325278790606,0.6909948141218393,0.69,0.01,0.008572657999100106,16.3,12.8,10340028.717,916459520.0,275334250.2924305,7856494.034979443,633268775.67259,111574.54419216195,0.00113,67729.375,0.001,4731.8,9,59371.9795081551,4731800.0,59937500.0,3.439,0.06674796437331511,32347,31824,21951,196160,40,9160,485.89288200157375,1.82925,85286.95652173914,0.7096049653732935,2.3,20,0.11444412606460656,20,0.05213634912727592
2016,2061,2011,1,1,1305.6055797338354,0.017920137,85.92017610520072,173.94827036403046,3816.2120539047496,5435.555494590458,177498.2350653372,22814900.0,0.9999995036695576,1.0820907261859065,0.02565,0.02758,0.0083,497.4478299528826,2.0,1.41104658991215,18036.54205775499,0.00732,0.001076,0,0.8905456984187912,73820.00404691286,0.8358185476281867,0.0,1.2941863596486005,2.7,0.0283,41484.04673283647,2.3,123538.77160547469,2.97798265441853,0.32209317982430025,80,0.696,80,0.0215,0.0089600685,0.01118241572230016,6.989727122910161,3229.6106688565255,505.1047195661053,740.2966162758063,4.128826530612245,0.9489795918367347,780.0975096239679,0.7219387755102041,-0.07444956636046325,744,3237,566,0.0,0.5575,0,103.4,2,0,18.489,75,0,0,0.0,0,12000,150,0,0.0,0.0,20,80,10,67.21000000000001,0.65,160,305882.01600000006,1911.7626000000002,0.29,400000,0,0,120,355.38033002424595,575.614125,76789.97971094275,140,198.07876011721055,42.828,8162.46002931467,932,38951.438983811546,871,348.3,1783.220672476386,645,126816.17261168678,568701.5794350001,8758004.323299002,16.3,0.18,0.05,0.77,892425.0,2047325.6859660002,2.3,0.3,0.3003161466625469,0.6907271373238579,0.69,0.01,0.008956716013595154,16.3,12.8,11374031.588700002,926438912.0000001,278224564.17008245,8297850.238728073,639916497.5911896,116373.66574830619,0.00113,67729.375,0.001,4731.8,9,62027.66813661941,4731800.0,59937500.0,3.439,0.06622389121355705,30322,35543,21012,198296,40,9200,486.2181426319249,1.751,86215.65217391305,0.7144644146180139,2.3,20,0.11619839722777292,20,0.05183150129134227
2017,2061,2011,1,1,1365.6208306811393,0.020194947,87.67040871524542,175.7056962408592,3854.767825692319,5460.212537878266,179291.52677638695,22814900.0,0.9999995201553079,1.0761270675400274,0.02565,0.02758,0.0083,519.7368206918412,2.0,1.4126141232800564,18844.69980753594,0.00732,0.001076,0,0.8984972432799635,73905.92422301805,0.8477458649199452,0.0,1.3004564931202258,2.7,0.0283,43342.80955733266,2.3,124786.90263636531,2.8790681524994515,0.3252282465601129,80,0.696,80,0.0215,0.0100974735,0.011201672515623314,7.947592515239828,3258.5633584540565,511.57685100283294,746.9297246679557,4.128826530612245,0.9489795918367347,787.087236746878,0.7219387755102041,-0.07197670381248629,744,3237,566,0.0,0.5575,0,103.4,2,0,18.489,75,0,0,0.0,0,12000,150,0,0.0,0.0,20,80,10,67.21000000000001,0.65,160,305882.01600000006,1911.7626000000002,0.29,400000,0,0,120,377.55286850415786,575.614125,77624.69342977225,140,198.07876011721055,42.828,8162.46002931467,932,39374.84449336274,871,348.3,1783.220672476386,645,128096.46437854739,568701.5794350001,8758004.323299002,16.3,0.18,0.05,0.77,892425.0,2047325.6859660002,2.3,0.3,0.3001791160525556,0.6904119669208778,0.69,0.01,0.009408917026566668,16.3,12.8,11374031.588700002,936936896.0000001,281248889.2383053,8815561.513592925,646872445.2481021,120433.2120166635,0.00113,67729.375,0.001,4731.8,9,64806.9226381161,4731800.0,59937500.0,3.439,0.0653860704103962,30462,35702,21357,200543,40,9240,486.80392355913114,1.77975,87192.60869565218,0.7144591084792856,2.3,20,0.11671820549266941,20,0.05153617778894907
2018,2061,2011,1,1,1428.5729160267447,0.03506358,89.44173566807443,177.45122364111745,3893.062559473495,5484.283499708992,181072.67718481374,22814900.0,0.9999995362066867,1.070238918855019,0.02565,0.02758,0.0083,543.0663016873461,2.0,1.4142508684224055,19690.58381752524,0.00732,0.001076,0,0.9063481081933079,73993.5946317333,0.8595221622899618,0.0,1.3070034736896223,2.7,0.0283,45288.34278030805,2.3,126026.58332063035,2.782759879997824,0.3285017368448112,80,0.696,80,0.0215,0.01753179,0.011221776131066731,13.938383669309305,3291.4825986885894,518.6566954736691,754.4718277691528,4.128826530612245,0.9489795918367347,795.0348292621179,0.7219387755102041,-0.0695689969999456,744,3237,566,0.0,0.5575,0,103.4,2,0,18.489,75,0,0,0.0,0,12000,150,0,0.0,0.0,20,80,10,67.21000000000001,0.65,160,305882.01600000006,1911.7626000000002,0.29,400000,0,0,120,414.5414044184807,575.614125,78295.27464501279,140,198.07876011721055,42.828,8162.46002931467,932,39714.99438515142,871,348.3,1783.220672476386,645,129144.18402149093,568701.5794350001,8758004.323299002,16.3,0.18,0.05,0.77,892425.0,2047325.6859660002,2.3,0.3,0.29992918399583257,0.6898371231904148,0.69,0.01,0.010233692813752625,16.3,12.8,11374031.588700002,945818368.0000001,283678531.3225101,9679214.635716837,652460622.0417732,124389.92676996022,0.00113,67729.375,0.001,4731.8,9,67715.91774846929,4731800.0,59937500.0,3.439,0.06449352778421459,30911,35899,21670,202444,40,9280,486.57998437199865,1.8058333333333334,88019.13043478262,0.7132173999375873,2.3,20,0.11736224466364178,20,0.05125013969130345
2019,2061,2011,1,1,1494.6216451672205,0.028493157,91.23549529139194,179.18452236171655,3931.0890109968423,5507.784037962127,182841.34934869036,22814900.0,0.9999995518311053,1.064427887970339,0.02565,0.02758,0.0083,567.4885741108268,2.0,1.4159601870694432,20576.09043186464,0.00732,0.001076,0,0.9140961493728812,74083.03636740138,0.8711442240593218,0.0,1.313840748277773,2.7,0.0283,47325.007993288666,2.3,127257.57914668848,2.689013368254166,0.3319203741388865,80,0.696,80,0.0215,0.0142465785,0.011242767387517364,11.525100382424794,3349.205161761626,529.645636160967,767.6990694145178,4.128826530612245,0.9489795918367347,808.9732129314273,0.7219387755102041,-0.06722533420635415,744,3237,566,0.0,0.5575,0,103.4,2,0,18.489,75,0,0,0.0,0,12000,150,0,0.0,0.0,20,80,10,67.21000000000001,0.65,160,305882.01600000006,1911.7626000000002,0.29,400000,0,0,120,448.67025534895396,575.614125,79048.02719811698,140,198.07876011721055,42.828,8162.46002931467,932,40096.82539034919,871,348.3,1783.220672476386,645,130312.89643072337,568701.5794350001,8758004.323299002,16.3,0.18,0.05,0.77,892425.0,2047325.6859660002,2.3,0.3,0.2997082823170204,0.689329049329147,0.69,0.01,0.010962668353832689,16.3,12.8,11374031.588700002,955615552.0000001,286405895.64535135,10476096.370340757,658733559.9843081,128603.89642590586,0.00113,67729.375,0.001,4731.8,9,70761.17499518249,4731800.0,59937500.0,3.439,0.0631554339661057,31126,36238,21866,204541,40,9320,486.8596730570727,1.8221666666666667,88930.86956521739,0.7127102096703968,2.3,20,0.11847051511521355,20,0.05097315258938585
2020,2061,2011,1,1,1563.9369910765001,0.024889588,93.05313071007782,180.90528432005704,3968.840421307373,5530.730430018842,184597.22889801738,22814900.0,0.9999995670360257,1.0586954985935264,0.02565,0.02758,0.0083,593.0589042105621,2.0,1.417745631785568,21503.22350292103,0.00732,0.001076,0,0.9217393352086315,74174.27186269277,0.8826090028129472,0.0,1.3209825271422715,2.7,0.0283,49457.41405671837,2.3,128479.67131302008,2.5977838462334084,0.33549126357113573,80,0.696,80,0.0215,0.012444794,0.01126468939916559,10.210932486538345,3396.93786298485,539.0626160172781,778.6361544713086,4.128826530612245,0.9489795918367347,820.498313313852,0.7219387755102041,-0.06494459615583521,744,3237,566,0.0,0.5575,0,103.4,2,0,18.489,75,0,0,0.0,0,12000,150,0,10.340000000000002,0.1,20,80,10,67.21000000000001,0.65,160,305882.01600000006,1911.7626000000002,0.29,400000,0,0,120,481.11323362804154,575.614125,79743.50588687937,140,198.07876011721055,42.828,8162.46002931467,932,40449.6044353736,871,348.3,1783.220672476386,645,131393.59714278925,568701.5794350001,8758004.323299002,16.3,0.18,0.05,0.77,892425.0,2047325.6859660002,2.3,0.3,0.2995015729998177,0.6888536178995808,0.69,0.01,0.011644809100601523,16.3,12.8,11374031.588700002,964688576.0000001,288925745.96695423,11233614.309051124,664529215.7239947,132873.0077693347,0.00113,67729.375,0.001,4731.8,9,73949.58562654543,4731800.0,59937500.0,3.439,0.06205216055814907,31455,36623,22028,206483,40,9360,486.80268890141235,1.8356666666666666,89775.21739130435,0.7117853172941128,2.3,20,0.11972917034782454,20,0.050704986504272104
