time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,business construction,GDPGN,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN,gdp growth rate,business income multiplier,increase amount,average monthly income 90,average monthly income 20,average monthly income 50,income 90 multiplier,income 50 multiplier,average monthly income,income 20 multiplier,labor force income multiplier,IMI50,IMI90,IMI20,change to ticket cost,Public Transport Ticket Cost,TCI,Number of Bus Routes,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,increasing railway trips,increaing bus trips,ITRR,daily railway capacity,Daily railway trips,increasing railway lines,increasing bus routes,IRBR,number of trains,MAX CAPACITY RAILWAY,VEHICLES PER LINE,number of bus,VEHICLES PER ROUTE,MAX CAPACITY BUS,daily bus capacity,Daily bus trips,CAR COST KM,Road available,road construction,RCR,EMISSION PETROL CAR,car electricity co2 emission,railway electricity co2 emission,car petrol co2 emission,EMISSION DIESEL CAR,bus electricity co2 emission,EMISSION ELECTRICITY CAR,EMISSION NATURAL GAS BUS,car diesel co2 emissions,EMISSION DIESEL BUS,EMISSION ELECTRICITY BUS,EMISSION ELECTRICITY RAILWAY,bus diesel co2 emission,bus natural gas co2 emission,emissions of greenhouse gases mobility,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,railway activity per year,bus diesel activity,DIESEL PETROL RATIO,INITIAL RATIO CAR PETROL,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,bus activity per year,car activity per year,car diesel activity,car electricity activity,car petrol activity,emissions per year,CO2 CAPTURE PER GREEN AREA,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,co2 capture sea river,CO2 TECHNOLOGIES CAPTURE,emissions of greenhouse gases business,BODY OF WATER M2,GREEN AREA,EpB,Motorization rate number of motorized vehicles per 1000 inhabitants,Affordability of public transport for the poorest group,daily walk trips,daily chosen bus,daily chosen railway,daily chosen car,construction,Land Use for mobility,Railway Daily Occupancy rate,number of mototized private vehicles,Emissions of greenhouse gases,TPC,PRIVATE PARKING CONSTRUCTION,BUS Daily Occupancy rate,PEDESTRIAN SIDEWALK CONSTRUCTION,Mobility space usage
2011,2061,2011,1,1,1044.6146248568698,0.05,77.44522600574096,164.99573999999998,3619.8044999999997,5302.979963969844,168363.0,22814900.0,0.9999994144703279,1.112979459518361,0.02565,0.02758,0.0083,399.96516,2.0,1.404141372524096,14502.0,0.00732,0.001076,0,0.8493607206421852,73416.0,0.7740410809632776,0.0,1.2665654900963843,2.7,0.0283,33354.6,2.3,117180.64799999999,3.513178032415319,0.3082827450481922,80,0.696,80,0.0215,0.025,0.0,19.6,3237.0,516.9139035215533,744.0,4.128826530612245,0.9489795918367347,784.0,0.7219387755102041,-0.06260981693679432,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,37800,150,0,0,0,20,252,10,61.1,0.65,160,278074.56,1737.9660000000001,0.268,400000,0,0,120,0.6669080225280001,575.614125,1193.7476457341982,140,180.07160010655502,42.828,932,785.1630046701022,871,348.3,645,1621.10970225126,7420.4182084678805,11776.791194252524,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,1.773778920308483,0.389,0.3601584800741428,0.6388415199258571,0.69,0.001,0.001,16.3,12.8,10340028.717,15571776.0,5608307.176215015,15571.776,9947897.047784984,-10821.00580574747,0.00113,67729.375,0.001,4731.8,9,49872.378000000004,4731800.0,59937500.0,3.439,9.088876028477804,0.06471096980003223,3333,33333,3333,3333,40,9000,0.08817460317460317,1449.1304347826087,0.06994880819569932,2.3,20,0.11987072819606368,20,0.05345592558935158
2012,2061,2011,1,1,1092.0340222535742,-0.016961553,79.1067775977633,166.80694777989044,3659.540180885351,5330.77750284506,170211.17120396983,22814900.0,0.9999994332368067,1.106665336009296,0.02565,0.02758,0.0083,417.74459224075247,2.0,1.4054073779694192,15146.64946485687,0.00732,0.001076,0,0.8577795519876054,73493.44522600574,0.786669327981408,0.0,1.2716295118776773,2.7,0.0283,34837.2937691708,2.3,118466.975157963,3.40057915930313,0.3108147559388386,80,0.696,80,0.0215,-0.0084807765,0.011113113102621528,-6.815151995400001,3326.8554976892665,530.5907882298668,762.6,4.128826530612245,0.9489795918367347,803.6,0.7219387755102041,-0.06167149299419275,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,37800,150,0,0,0,20,252,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,400000,0,0,120,36.42941789861888,575.614125,68098.0812535136,140,180.07160010655502,42.828,932,44790.114795487345,871,348.3,645,1621.10970225126,7420.4182084678805,122721.83910272525,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,1.773778920308483,0.389,0.3601737674794185,0.6388686364030814,0.69,0.001,0.0009575961175,16.3,12.8,10340028.717,888264000.0,319929391.39633816,850598.15771502,567484010.4459467,102340.99161236802,0.00113,67729.375,0.001,4731.8,9,52089.327509642775,4731800.0,59937500.0,3.439,486.12639753888874,0.06304293391823554,31234,30814,21295,190125,40,9040,0.5633597883597884,82663.04347826088,0.7209975598820333,2.3,20,0.11081200667907197,20,0.05311049760163544
2013,2061,2011,1,1,1141.7205845763137,-0.040573006,80.78411443478956,168.60823116423524,3699.0581326847523,5357.921514647296,172049.21547370942,22814900.0,0.9999994515328807,1.10041741191258,0.02565,0.02758,0.0083,436.3414947205061,2.0,1.4067282624924469,15820.93889486969,0.00732,0.001076,0,0.8661101174498933,73572.5520036035,0.7991651761748398,0.0,1.2769130499697876,2.7,0.0283,36388.15945820029,2.3,119746.25396970175,3.29080271584652,0.31345652498489385,80,0.696,80,0.0215,-0.020286503,0.011129349622457787,-16.16397820939986,3298.6541167785576,526.8198680653809,756.1325598411,4.128826530612245,0.9489795918367347,796.7848480046,0.7219387755102041,-0.060756689298721,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,37800,150,0,0,0,20,252,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,400000,0,0,120,33.15232517274789,575.614125,68974.4362638837,140,180.07160010655502,42.828,932,45366.51931076217,871,348.3,645,1621.10970225126,7420.4182084678805,124171.32153564431,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,1.773778920308483,0.389,0.36020878518823485,0.6389307500768174,0.69,0.001,0.0008604647349477394,16.3,12.8,10340028.717,899607616.0,324046566.50544405,774080.6288584077,574786968.8656975,106109.35539510117,0.00113,67729.375,0.001,4731.8,9,54408.20885945686,4731800.0,59937500.0,3.439,487.0687461227002,0.06349418848388742,31513,31064,21303,192553,40,9080,0.5635714285714286,83718.69565217392,0.7217197776447795,2.3,20,0.11171104613093696,20,0.05277559665122391
2014,2061,2011,1,1,1193.7929301827621,-0.009226605,82.47813033886274,170.39915334509948,3738.348772366978,5384.423893340647,173876.6870868362,22814900.0,0.9999994693655948,1.0942377183168142,0.02565,0.02758,0.0083,455.79585001872925,2.0,1.4081065954315184,16526.317984725498,0.00732,0.001076,0,0.8743497089109143,73653.33611803829,0.8115245633663715,0.0,1.282426381726074,2.7,0.0283,38010.53136486864,2.3,121018.17421243798,3.183806431190526,0.316213190863037,80,0.696,80,0.0215,-0.0046133025,0.011146289966465626,-3.601240210178372,3231.7491841286414,516.8285646713548,740.7932743974859,4.128826530612245,0.9489795918367347,780.6208697952002,0.7219387755102041,-0.059865053593254385,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,37800,150,0,0,0,20,252,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,400000,0,0,120,32.68011827451441,575.614125,69598.74624248988,140,180.07160010655502,42.828,932,45777.14638123188,871,348.3,645,1621.10970225126,7420.4182084678805,125205.78637782196,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,1.773778920308483,0.389,0.3602159407406904,0.6389434424449263,0.69,0.001,0.0008406168143832582,16.3,12.8,10340028.717,907732224.0,326979617.00879914,763054.9704519102,579989552.020749,109569.61892729295,0.00113,67729.375,0.001,4731.8,9,56834.00754947099,4731800.0,59937500.0,3.439,486.29798522942525,0.06472165489009002,31759,31430,21884,194292,40,9120,0.578941798941799,84474.78260869566,0.7200838046522742,2.3,20,0.11302723988846733,20,0.0524509648348968
2015,2061,2011,1,1,1248.3768023551097,0.007922271,84.1897985357042,172.17929813393187,3777.402969264832,5410.297375313137,175693.16136115498,22814900.0,0.9999994867420824,1.088128202270062,0.02565,0.02758,0.0083,476.1498094896533,2.0,1.4095450855594662,17264.31506488953,0.00732,0.001076,0,0.8824957303065839,73735.81424837715,0.8237435954598757,0.0,1.288180342237865,2.7,0.0283,39707.92464924592,2.3,122282.44030736385,3.079547505630871,0.31909017111893256,80,0.696,80,0.0215,0.0039611355,0.011163967086409234,3.07788003894608,3216.853883007318,515.1193717595459,737.3757709327248,4.128826530612245,0.9489795918367347,777.0196295850218,0.7219387755102041,-0.058996229213590594,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,37800,150,0,0,0,20,252,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,400000,0,0,120,33.645734264389255,575.614125,70262.42665959524,140,180.07160010655502,42.828,932,46213.66854929417,871,348.3,645,1621.10970225126,7420.4182084678805,126306.95457897948,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,1.773778920308483,0.389,0.36020993846509275,0.6389327957349973,0.69,0.001,0.0008572657999100104,16.3,12.8,10340028.717,916403456.0,330097632.49495834,785601.341748138,585520222.1632936,113208.75908713457,0.00113,67729.375,0.001,4731.8,9,59371.9795081551,4731800.0,59937500.0,3.439,485.8631859606811,0.06493640471283658,32246,31935,21953,196148,40,9160,0.5807671957671958,85281.73913043478,0.7189064935734341,2.3,20,0.11484329958123461,20,0.05213634912727592
2016,2061,2011,1,1,1305.6055797338354,0.017920137,85.92017610520072,173.94827036403046,3816.2120539047496,5435.555494590458,177498.2350653372,22814900.0,0.9999995036695576,1.0820907261859065,0.02565,0.02758,0.0083,497.4478299528826,2.0,1.41104658991215,18036.54205775499,0.00732,0.001076,0,0.8905456984187912,73820.00404691286,0.8358185476281867,0.0,1.2941863596486005,2.7,0.0283,41484.04673283647,2.3,123538.77160547469,2.97798265441853,0.32209317982430025,80,0.696,80,0.0215,0.0089600685,0.01118241572230016,6.989727122910161,3229.6106688565255,517.8200834522275,740.2966162758063,4.128826530612245,0.9489795918367347,780.0975096239679,0.7219387755102041,-0.058149855453487755,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,37800,150,0,0,0,20,252,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,400000,0,0,120,35.62316112238743,575.614125,71199.27793714694,140,180.07160010655502,42.828,932,46829.86324223458,871,348.3,645,1621.10970225126,7420.4182084678805,127861.97797632958,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,1.773778920308483,0.389,0.3601960924439956,0.638908235954645,0.69,0.001,0.0008956716013595153,16.3,12.8,10340028.717,928658112.0000001,334499023.1588184,831772.6982905442,593327316.1428912,117419.471112949,0.00113,67729.375,0.001,4731.8,9,62027.66813661941,4731800.0,59937500.0,3.439,487.3472340792661,0.06459772625463645,32141,32186,22075,198771,40,9200,0.583994708994709,86422.17391304349,0.7203563344123591,2.3,20,0.11574593519090708,20,0.05183150129134227
2017,2061,2011,1,1,1365.6208306811393,0.020194947,87.67040871524542,175.7056962408592,3854.767825692319,5460.212537878266,179291.52677638695,22814900.0,0.9999995201553079,1.0761270675400274,0.02565,0.02758,0.0083,519.7368206918412,2.0,1.4126141232800564,18844.69980753594,0.00732,0.001076,0,0.8984972432799635,73905.92422301805,0.8477458649199452,0.0,1.3004564931202258,2.7,0.0283,43342.80955733266,2.3,124786.90263636531,2.8790681524994515,0.3252282465601129,80,0.696,80,0.0215,0.0100974735,0.011201672515623314,7.947592515239828,3258.5633584540565,523.1085730538825,746.9297246679557,4.128826530612245,0.9489795918367347,787.087236746878,0.7219387755102041,-0.05732556793749543,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,37800,150,0,0,0,20,252,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,400000,0,0,120,37.7219638933815,575.614125,71767.35458760761,140,180.07160010655502,42.828,932,47203.50399566559,871,348.3,645,1621.10970225126,7420.4182084678805,128805.79418299226,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,1.773778920308483,0.389,0.3601797897383379,0.6388793185590055,0.69,0.001,0.0009408917026566666,16.3,12.8,10340028.717,936109952.0000001,337167885.68332565,880778.0866111305,598061288.2300634,121142.54182110836,0.00113,67729.375,0.001,4731.8,9,64806.9226381161,4731800.0,59937500.0,3.439,486.3406193348176,0.06394466029245233,32667,32476,22555,200366,40,9240,0.5966931216931217,87115.65217391305,0.7184154014352241,2.3,20,0.11678882095507047,20,0.05153617778894907
2018,2061,2011,1,1,1428.5729160267447,0.03506358,89.44173566807443,177.45122364111745,3893.062559473495,5484.283499708992,181072.67718481374,22814900.0,0.9999995362066867,1.070238918855019,0.02565,0.02758,0.0083,543.0663016873461,2.0,1.4142508684224055,19690.58381752524,0.00732,0.001076,0,0.9063481081933079,73993.5946317333,0.8595221622899618,0.0,1.3070034736896223,2.7,0.0283,45288.34278030805,2.3,126026.58332063035,2.782759879997824,0.3285017368448112,80,0.696,80,0.0215,0.01753179,0.011221776131066731,13.938383669309305,3291.4825986885894,529.0287182661241,754.4718277691528,4.128826530612245,0.9489795918367347,795.0348292621179,0.7219387755102041,-0.056522998999981866,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,37800,150,0,0,0,20,252,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,400000,0,0,120,41.51024699220799,575.614125,72603.80268767405,140,180.07160010655502,42.828,932,47753.66056003295,871,348.3,645,1621.10970225126,7420.4182084678805,130196.18713052488,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,1.773778920308483,0.389,0.3601500550042123,0.6388265757144125,0.69,0.001,0.0010233692813752622,16.3,12.8,10340028.717,947098496.0000001,341097575.4288068,969231.5072431117,605031689.0639503,125441.92987899417,0.00113,67729.375,0.001,4731.8,9,67715.91774846929,4731800.0,59937500.0,3.439,487.2041560390871,0.06322908160757583,33339,32447,22420,202718,40,9280,0.5931216931216932,88138.26086956523,0.7190272389778539,2.3,20,0.11668453237865413,20,0.05125013969130345
2019,2061,2011,1,1,1494.6216451672205,0.028493157,91.23549529139194,179.18452236171655,3931.0890109968423,5507.784037962127,182841.34934869036,22814900.0,0.9999995518311053,1.064427887970339,0.02565,0.02758,0.0083,567.4885741108268,2.0,1.4159601870694432,20576.09043186464,0.00732,0.001076,0,0.9140961493728812,74083.03636740138,0.8711442240593218,0.0,1.313840748277773,2.7,0.0283,47325.007993288666,2.3,127257.57914668848,2.689013368254166,0.3319203741388865,80,0.696,80,0.0215,0.0142465785,0.011242767387517364,11.525100382424794,3349.205161761626,538.9355254654549,767.6990694145178,4.128826530612245,0.9489795918367347,808.9732129314273,0.7219387755102041,-0.05574177806878472,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,37800,150,0,0,0,20,252,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,400000,0,0,120,44.78476753001819,575.614125,73117.07048958278,140,180.07160010655502,42.828,932,48091.251918631395,871,348.3,645,1621.10970225126,7420.4182084678805,131050.32081156988,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,1.773778920308483,0.389,0.3601237740510065,0.6387799591136103,0.69,0.001,0.0010962668353832685,16.3,12.8,10340028.717,953863552.0000001,343508942.2759385,1045688.9775384839,609308920.7465231,129341.32080675235,0.00113,67729.375,0.001,4731.8,9,70761.17499518249,4731800.0,59937500.0,3.439,485.9345350679722,0.062066793557746455,33529,33061,23015,204166,40,9320,0.6088624338624339,88767.82608695653,0.7167433475982962,2.3,20,0.11889257327243456,20,0.05097315258938585
2020,2061,2011,1,1,1563.9369910765001,0.024889588,93.05313071007782,180.90528432005704,3968.840421307373,5530.730430018842,184597.22889801738,22814900.0,0.9999995670360257,1.0586954985935264,0.02565,0.02758,0.0083,593.0589042105621,2.0,1.417745631785568,21503.22350292103,0.00732,0.001076,0,0.9217393352086315,74174.27186269277,0.8826090028129472,0.0,1.3209825271422715,2.7,0.0283,49457.41405671837,2.3,128479.67131302008,2.5977838462334084,0.33549126357113573,80,0.696,80,0.0215,0.012444794,0.01126468939916559,10.210932486538345,3396.93786298485,547.2372933099576,778.6361544713086,4.128826530612245,0.9489795918367347,820.498313313852,0.7219387755102041,-0.05498153205194507,744,3237,566,0.0,0.5575,0,94,2,0,18.489,75,0,0,0.0,0,37800,150,0,0,0,20,252,10,61.1,0.65,160,278074.56,1737.9660000000001,0.29,400000,0,0,120,48.112488381797554,575.614125,73943.58825020645,140,180.07160010655502,42.828,932,48634.87700611406,871,348.3,645,1621.10970225126,7420.4182084678805,132423.791380528,517001.43585,7961822.11209,16.3,0.18,0.05,0.77,892425.0,1861205.16906,1.773778920308483,0.389,0.36009918158108123,0.6387363375088586,0.69,0.001,0.0011644809100601519,16.3,12.8,10340028.717,964711936.0000001,347391978.61510044,1123388.6331791712,616196568.7517204,133903.20200707344,0.00113,67729.375,0.001,4731.8,9,73949.58562654543,4731800.0,59937500.0,3.439,486.7813663334626,0.061125220099087385,33726,33558,22817,206488,40,9360,0.6036243386243386,89777.39130434784,0.7173660849139122,2.3,20,0.12067986370274217,20,0.050704986504272104
