time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,daily walk trips,daily chosen car,CAR COST KM,daily chosen bus,daily chosen railway,emissions per year,enviromental impact on economy,business construction,emission per car petrol,emission per car,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,ticket fare pt 10 km,Mobility space usage,Affordability of public transport for the poorest group,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,3333,3333,0.268,33333,3333,6923.071607879511,0.9988461547320201,1288.3996120902839,0.14281,0.04000000000000001,94.0,400000,2,0,18.489,75,0,40,0,0.0,0,9000,12000,150,0,0,0.0,0,0.0,0.025,0.5,23963.444607879504,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,9.236338824702633,892425.0,0.27775,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,615.1323780822528,35.25,0.1991,1449.1304347826087,0.05,0.14464128328280976,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.23974145639212735,139037.28,20,1737.9660000000001,1.4,0.05432322317790855,0.11402016108403816,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,55429.802,4731800.0,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215
2022,2071,2021,1,1,3333,164293,0.268,44398,8140,79703.64335143079,0.9867160594414282,1358.0009834762038,0.14281000000000005,0.04000000000000001,94.0,400000,2,0,18.489,75,0,40,0,0.0,0,9040,12000,150,0,0,0.0,0,0.0,0.0262307215,0.5,93116.9422144523,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,410.63972292351707,892425.0,0.6783333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,18604.874455880643,37.909950247875,0.1991,71431.73913043478,0.052461443,0.5346944103377729,2.3,0.19798031697341512,0.7745196830265849,0.7789,0.022,0.027499999999999997,20,80,0.3193244286712168,139037.28,20,1737.9660000000001,1.4,0.05190932342173987,0.11102849509833315,0.01,0.1,0.02,16.3,7.898299988435293,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,10340028.717,0.6,473636920.9999999,93770787.74989235,13025015.327499995,521.0006130999999,366841117.92260754,52388.5800505276,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3473.725,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215
2023,2071,2021,1,1,3333,171479,0.268,47669,8747,86094.39871233563,0.9856509335479441,1446.3432891624454,0.14281,0.04,94.0,400000,2,0,18.489,75,0,40,0,0.0,0,9080,12000,150,0,0,0.0,0,0.0,0.06685528889931398,0.5,95693.85689716868,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,408.55464508894136,892425.0,0.7289166666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01635886294965699,61.1,0.65,0.00113,0.06543545179862796,3.91210447011552,19237.189050744946,99.15708695771384,0.1991,74556.08695652174,0.068275126,0.523816228023027,2.3,0.19651181229148387,0.7687747392960161,0.7789,0.022,0.0347134484125,20,80,0.34285049304762005,139037.28,20,1737.9660000000001,1.4,0.049702786622552876,0.1079705485043501,0.01,0.1,0.02,16.3,7.882971675832032,67729.375,0.001,4731.8,9,62870.71681516697,4731800.0,10340028.717,0.6,493393896.50000036,96957728.7747719,17127403.573195126,685.0961429278051,379308764.1520333,54169.08460855188,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3589.106123401112,777.9899348813224,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.07190499096330896,1035,3389,841,129.5175195596681,-339.7958373693404,3927.747582495062,12830.936815406432,182685.9340695378,22814900.0,0.9999995206333936,1.0451633961542335,0.0284,0.0145,0.00844,265.08444135502214,2.0,1.4131350731170078,18281.68561069118,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.3025402924680318,2.6,0.0672,42047.87690458971,2.3,120938.08835403403,2.8761996385323583,0.3262701462340159,80,0.662,80,0.0215
2024,2071,2021,1,1,3333,180294,0.268,49578,9122,92579.08303417025,0.9845701528276383,1540.610724183706,0.14281000000000002,0.04,94.0,400000,2,0,18.489,75,0,40,0,0.0,0,9120,12000,150,0,0,0.0,0,0.0,0.04359574350602419,0.5,98116.19204139356,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,410.3010279421856,892425.0,0.7601666666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016144778253012092,61.1,0.65,0.00113,0.06457911301204837,3.91210447011552,19736.617051780187,68.98228769922699,0.1991,78388.69565217392,0.022612374,0.5130276448125476,2.3,0.19178720263297933,0.7502915727314294,0.7789,0.022,0.0579212246355912,20,80,0.3565806235565023,139037.28,20,1737.9660000000001,1.4,0.04768644220024888,0.10097385631977521,0.01,0.1,0.02,16.3,7.881697671580863,67729.375,0.001,4731.8,9,66933.0659927767,4731800.0,10340028.717,0.6,518673322.0,99474905.50673454,30042193.996050324,1201.687759842013,389156222.4972151,55575.4001348273,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3828.7181003084843,831.8985038461785,1161.4880379487834,2.40354609929078,0.7340425531914894,1582.3170372055888,0.5964539007092199,-0.07070685742683706,1035,3389,841,139.7818778063079,-355.72374908504855,4111.860540499216,13024.16784570402,191249.3274650798,22814900.0,0.9999995286209505,1.0134002322586486,0.0284,0.0145,0.00844,282.2126946482298,2.0,1.415433178946737,19462.944458498605,0.0103,0.001462,0,0.9821330236551353,74895.5914002991,0.973199535482703,0.0,1.3117327157869476,2.6,0.0672,44764.77225454679,2.3,126607.05478188285,2.828274297073482,0.33086635789347385,80,0.662,80,0.0215
2025,2071,2021,1,1,3333,189068,0.268,51825,9277,99214.05955419892,0.9834643234076336,1641.2158286224126,0.14281000000000002,0.039999999999999994,94.0,400000,2,0,18.489,75,0,40,0,0.0,0,9160,12000,150,0,0,0.0,0,0.0,0.033274993974938286,0.5,100423.53773784972,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,411.82254238784316,892425.0,0.7730833333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01615358223746914,61.1,0.65,0.00113,0.06461432894987656,3.91210447011552,20181.08019257347,54.946975087027404,0.1991,82203.47826086957,0.001935659,0.5026054395717787,2.3,0.186646597688336,0.7301809891483924,0.7789,0.022,0.08317241316327163,20,80,0.3727417567432274,139037.28,20,1737.9660000000001,1.4,0.04584448955080271,0.09651291533441293,0.01,0.1,0.02,16.3,7.8968566864831695,67729.375,0.001,4731.8,9,71260.69681634921,4731800.0,10340028.717,0.6,544960658.5,101715052.78302017,45325693.04649058,1813.0277218596232,397919912.67048925,56826.942728472575,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3995.6484505799954,870.349835656127,1212.1239725365137,2.40354609929078,0.7340425531914894,1651.2993249048159,0.5964539007092199,-0.06938420321128407,1035,3389,841,151.1052137394676,-371.6389944994313,4295.82708695579,13102.520189016128,199805.91102119957,22814900.0,0.9999995374386452,0.9758373423289199,0.0284,0.0145,0.00844,300.4594660764942,2.0,1.4178845241769886,20721.342488034083,0.0103,0.001462,0,1.02416265767108,75035.37327810541,1.0422846509243902,0.0,1.3215380967079549,2.6,0.0672,47659.08772247838,2.3,132271.51309603412,2.7753681284513623,0.3357690483539774,80,0.662,80,0.0215
2026,2071,2021,1,1,3333,198263,0.268,53282,9713,106287.05172184289,0.9822854913796929,1748.534335225007,0.14281000000000002,0.04,94.0,400000,2,0,18.489,75,0,40,0,0.0,0,9200,12000,150,0,0,9.4,0,0.1,0.03676109262128636,0.5,102885.66877469826,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,414.33924537602667,892425.0,0.8094166666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01616402431064318,61.1,0.65,0.00113,0.06465609724257272,3.91210447011552,20633.858992778147,62.7234782687273,0.1991,86201.3043478261,0.008866088,0.4940702647583367,2.3,0.1810124309809169,0.7081395403869221,0.7789,0.022,0.11084802863216105,20,80,0.3832209605941658,139037.28,20,1737.9660000000001,1.4,0.044179587788173255,0.09314588309256554,0.01,0.1,0.02,16.3,7.939229205651079,67729.375,0.001,4731.8,9,75871.55794714463,4731800.0,10340028.717,0.6,574530221.0,103997111.97521344,63685542.387449816,2547.421695497993,406847566.63733673,58101.90099147807,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4128.621445447734,901.8111934858501,1252.4573904195445,2.40354609929078,0.7340425531914894,1706.2462999918432,0.5964539007092199,-0.06791872176690583,1035,3389,841,163.1369502916607,-387.32819513949465,4477.1807502683505,13080.63933681164,208240.9651287605,22814900.0,0.9999995472085216,0.9347462402516382,0.0284,0.0145,0.00844,319.90043333341004,2.0,1.4205001158758965,22062.09885058,0.0103,0.001462,0,1.0652537597483618,75186.47849184489,1.1141940795596332,0.0,1.3320004635035867,2.6,0.0672,50742.827356334,2.3,137855.51891523946,2.7167488706762333,0.3410002317517934,80,0.662,80,0.0215
2027,2071,2021,1,1,3333,206982,0.268,55725,10057,113764.03006914705,0.9810393283218088,1863.0520222750592,0.14281000000000002,0.039999999999999994,103.4,400000,2,0,18.489,75,0,40,0,0.0,0,9240,12000,150,0,0,0.0,0,0.0,0.03674614867641251,0.5,105449.57513339723,66.931875,20,568701.5794350001,8758004.323299002,16.3,0.15,0,0.18,0.05,0.77,0.1,416.153527776834,892425.0,0.8380833333333333,136.48837906440002,6770.096578352371,2047325.6859660002,80,0.5,16782.525784521713,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016176031588206255,67.21000000000001,0.65,0.00113,0.06470412635282502,3.91210447011552,20460.186428416644,65.0028264760434,0.1991,89992.17391304349,0.008788171,0.48716155448724463,2.3,0.1727168121230019,0.6756862127704983,0.7789,0.022,0.15159697510649978,20,80,0.36435617058310477,152941.00800000003,20,1911.7626000000002,1.4,0.04268744333742221,0.08956965483673553,0.01,0.1,0.02,16.3,7.902970306596708,67729.375,0.001,4731.8,9,80784.62993574982,4731800.0,11374031.588700002,0.6,597056999.0,103121781.52300633,90512035.01456445,3620.481400582578,403423182.4624292,57612.86468745953,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4280.415321313196,937.8176141586378,1298.4990925529721,2.40354609929078,0.7340425531914894,1768.9697782605706,0.5964539007092199,-0.06630486951390202,1035,3389,841,175.12334008040028,-402.6101976675057,4653.827553683532,13020.249221496513,216457.0955201643,22814900.0,0.9999995579675366,0.8951140817679482,0.0284,0.0145,0.00844,340.6156249108382,2.0,1.4232908725343667,23490.7327524716,0.0103,0.001462,0,1.1048859182320518,75349.61544213655,1.1835503569060908,0.0,1.3431634901374672,2.6,0.0672,54028.685330684675,2.3,143294.59723434877,2.6521947805560804,0.3465817450687336,80,0.662,80,0.0215
2028,2071,2021,1,1,3333,213608,0.268,63480,10457,117169.5783490904,0.9804717369418183,1986.794733249056,0.14281000000000002,0.04000000000000001,103.4,400000,2,0,18.489,75,0,40,0,0.0,0,9280,12000,150,0,0,0.0,0,0.0,0.03673336698291707,0.5,103619.46464280503,66.931875,20,568701.5794350001,8758004.323299002,16.3,0.15,0,0.18,0.05,0.77,0.1,414.22278665986676,892425.0,0.8714166666666666,136.48837906440002,6770.096578352371,2047325.6859660002,80,0.5,16782.525784521713,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016188780491458533,67.21000000000001,0.65,0.00113,0.06475512196583413,3.91210447011552,19599.19017796007,67.36798872640635,0.1991,92873.04347826088,0.008711612,0.461719302503662,2.3,0.16137624512152926,0.6313207299103925,0.7789,0.022,0.20730302496807823,20,80,0.41506199566829055,152941.00800000003,20,1911.7626000000002,1.4,0.04135087111291596,0.08611158468909243,0.01,0.1,0.02,16.3,7.851072057226319,67729.375,0.001,4731.8,9,86020.28870628538,4731800.0,11374031.588700002,0.6,612123906.9999999,98782257.66078016,126895137.57637857,5075.805503055144,386446511.7628411,55188.426344851345,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4437.72748024627,975.4785062112566,1346.2139332641102,2.40354609929078,0.7340425531914894,1833.972604736614,0.5964539007092199,-0.06456018338111943,1035,3389,841,187.03457477372393,-417.4228870019763,4825.04950029166,12926.28997527573,224420.90699030977,22814900.0,0.9999995695987774,0.857119735207408,0.0284,0.0145,0.00844,362.6909526726194,2.0,1.426267102519937,25013.16914983582,0.0103,0.001462,0,1.142880264792592,75524.73878221695,1.2500404633870361,0.0,1.355068410079748,2.6,0.0672,57530.28904462238,2.3,148566.64042758508,2.582407335244777,0.35253420503987404,80,0.662,80,0.0215
2029,2071,2021,1,1,3333,221748,0.268,65387,10738,120396.6119842166,0.9799338980026305,2119.344497111277,0.14281000000000002,0.04,103.4,400000,2,0,18.489,75,0,40,0,0.0,0,9320,12000,150,0,0,0.0,0,0.0,0.03672323073337401,0.5,101261.20537652884,66.931875,20,568701.5794350001,8758004.323299002,16.3,0.15,0,0.18,0.05,0.77,0.1,415.75794757462177,892425.0,0.8948333333333334,136.48837906440002,6770.096578352371,2047325.6859660002,80,0.5,16782.525784521713,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016202521366687005,67.21000000000001,0.65,0.00113,0.06481008546674802,3.91210447011552,18420.289512997148,69.82336931647276,0.1991,96412.17391304349,0.008636376,0.43627377926282646,2.3,0.14587385070148112,0.5706737434022282,0.7789,0.022,0.2834524058962906,20,80,0.42753085555706544,152941.00800000003,20,1911.7626000000002,1.4,0.040154288185789366,0.08277094863878855,0.01,0.1,0.02,16.3,7.863343525082528,67729.375,0.001,4731.8,9,91605.58160768775,4731800.0,11374031.588700002,0.6,636443455.5000001,92840457.60754175,180401428.67842382,7216.057147136954,363201569.2140345,51868.81609945627,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4600.766278432193,1014.8488253599099,1395.664903712217,2.40354609929078,0.7340425531914894,1901.3405934630202,0.5964539007092199,-0.06269954399425176,1035,3389,841,198.84913939487237,-431.714787715623,4990.2515784332745,12804.076126793107,232104.72457829188,22814900.0,0.9999995820030401,0.8209092990887528,0.0284,0.0145,0.00844,386.2404574909777,2.0,1.429442463105081,26637.272930412255,0.0103,0.001462,0,1.1790907009112472,75711.77335699068,1.3134087265946828,0.0,1.3677698524203248,2.6,0.0672,61265.72773994818,2.3,153653.32767082923,2.50798175977007,0.35888492621016244,80,0.662,80,0.0215
2030,2071,2021,1,1,3333,230046,0.268,67116,11162,121436.07905900608,0.9797606534901656,2262.184351952761,0.14281000000000002,0.04,103.4,400000,2,0,18.489,75,0,40,0,0.0,0,9360,12000,150,0,0,0.0,0,0.0,0.03674618766715977,0.5,96340.52765906413,66.931875,20,568701.5794350001,8758004.323299002,16.3,0.15,0,0.18,0.05,0.77,0.1,418.0071538225868,892425.0,0.9301666666666667,136.48837906440002,6770.096578352371,2047325.6859660002,80,0.5,16782.525784521713,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016232487083579886,67.21000000000001,0.65,0.00113,0.06492994833431955,3.91210447011552,16338.691832754243,72.43276089903759,0.1991,100020.00000000001,0.008562427,0.4022790143140698,2.3,0.12468275395875515,0.4877719591083596,0.7789,0.022,0.38754528693288526,20,80,0.43883586800997143,152941.00800000003,20,1911.7626000000002,1.4,0.03908356810442936,0.07954721335069294,0.01,0.1,0.02,16.3,7.865822922372047,67729.375,0.001,4731.8,9,97565.72639994195,4731800.0,11374031.588700002,0.6,660467901.5,82348956.86037983,255961222.3967781,10238.448895871124,322157722.2428421,46007.34431350028,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4769.780347366643,1055.9766516229354,1446.9182279977128,2.40354609929078,0.7340425531914894,1971.163962779493,0.5964539007092199,-0.06074166592692057,1035,3389,841,209.52449412774618,-445.4455118704212,5148.966938287125,12713.008157423448,239486.83433893608,22814900.0,0.9999995950555605,0.789946328947804,0.0284,0.0145,0.00844,411.37046606547204,2.0,1.4328296410966834,28370.376970032554,0.0103,0.001462,0,1.2134048947362612,75910.62249638556,1.3667561184203267,0.0,1.381318564386734,2.6,0.0672,65251.86703107487,2.3,158540.28433237568,2.4296666370768225,0.3656592821933671,80,0.662,80,0.0215
