time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,daily walk trips,daily chosen car,CAR COST KM,daily chosen bus,daily chosen railway,emissions per year,enviromental impact on economy,business construction,emission per car petrol,emission per car,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,ticket fare pt 10 km,Mobility space usage,Affordability of public transport for the poorest group,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,3333,3333,0.268,33333,3333,6923.071607879511,0.9988461547320201,1288.3996120902839,0.14281,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9000,12000,150,0,0,0,0,0,0.025,0.5,23963.444607879504,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,9.236338824702633,892425.0,0.27775,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,615.1323780822528,35.25,0.1991,1449.1304347826087,0.05,0.14464128328280976,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.23974145639212735,139037.28,20,1737.9660000000001,1.4,0.05432322317790855,0.11402016108403816,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,55429.802,4731800.0,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215
2022,2071,2021,1,1,3333,163999,0.268,44703,8136,79508.83570672838,0.986748527382212,1358.0456685657937,0.14281,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9040,12000,150,0,0,0,0,0,0.0262307215,0.5,92922.1345697499,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,409.90572229414084,892425.0,0.678,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,18554.194187581365,37.909950247875,0.1991,71303.91304347827,0.052461443,0.5335757894269451,2.3,0.19798031697341512,0.7745196830265849,0.7789,0.022,0.027499999999999997,20,80,0.32151808493376743,139037.28,20,1737.9660000000001,1.4,0.05190932342173987,0.11102849509833315,0.01,0.1,0.02,16.3,7.890905432350197,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,10340028.717,0.6,472346718.99999994,93515353.14897263,12989534.772499997,519.5813909,365841831.07852733,52245.87189632449,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3473.725,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215
2023,2071,2021,1,1,3333,172263,0.268,46952,8688,86462.33882025378,0.9855896101966244,1446.2569185230195,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9080,12000,150,0,0,0,0,0,0.06685528889931398,0.5,96061.6433330637,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,410.4205225411575,892425.0,0.724,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01635886294965699,61.1,0.65,0.00113,0.06543545179862796,3.91210447011552,19332.681646124107,99.15708695771384,0.1991,74896.95652173914,0.068275126,0.5258294450655335,2.3,0.19651181229148387,0.7687747392960161,0.7789,0.022,0.0347134484125,20,80,0.33769360275172244,139037.28,20,1737.9660000000001,1.4,0.049702786622552876,0.10797051232810022,0.01,0.1,0.02,16.3,7.886047497140996,67729.375,0.001,4731.8,9,62870.87048719007,4731800.0,10340028.717,0.6,495843082.9999998,97439022.85252662,17212423.28241545,688.4969312966181,381191636.86505777,54437.97766069891,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3589.106123401112,777.9901955521082,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.07190481520965157,1035,3389,841,129.51755071995143,-339.7958373693404,3927.747582495062,12830.936815421466,182685.9340695378,22814900.0,0.9999995206345653,1.0451633961542335,0.0284,0.0145,0.00844,265.08508928882117,2.0,1.4131351514607036,18281.73029578077,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.3025406058428146,2.6,0.0672,42047.979680295764,2.3,120938.08835403403,2.8761926083860625,0.32627030292140735,80,0.662,80,0.0215
2024,2071,2021,1,1,3333,180528,0.268,49623,9055,92771.15553004916,0.9845381407449918,1540.5572015617458,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9120,12000,150,0,0,0,0,0,0.04359704455708844,0.5,98308.4101221227,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,410.83299912230484,892425.0,0.7545833333333334,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01614542877854422,61.1,0.65,0.00113,0.06458171511417687,3.91210447011552,19786.199471719658,68.98434637449222,0.1991,78490.4347826087,0.022612374,0.5140327102068638,2.3,0.19178720263297933,0.7502915727314294,0.7789,0.022,0.0579212246355912,20,80,0.35690427775917366,139037.28,20,1737.9660000000001,1.4,0.047686442200245135,0.10097388585703425,0.01,0.1,0.02,16.3,7.891256204023755,67729.375,0.001,4731.8,9,66932.92040792647,4731800.0,10340028.717,0.6,519976335.5000002,99724806.82089257,30117666.133687045,1204.706645347482,390133862.5454205,55715.01691011151,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3828.719129646117,831.8982604961144,1161.4880379487834,2.40354609929078,0.7340425531914894,1582.3170372055888,0.5964539007092199,-0.07070701122032999,1035,3389,841,139.78184616304952,-355.7237490850765,4111.860540499539,13024.167849629579,191249.32746509486,22814900.0,0.9999995286199252,1.0134002325650526,0.0284,0.0145,0.00844,282.21208081271703,2.0,1.4154331047806028,19462.902125014967,0.0103,0.001462,0,0.9821330232465965,74895.59143145938,0.9731995348698947,0.0,1.3117324191224111,2.6,0.0672,44764.67488753442,2.3,126607.0547818928,2.8282804488131994,0.33086620956120555,80,0.662,80,0.0215
2025,2071,2021,1,1,3333,189642,0.268,51326,9436,99643.75143928999,0.9833927080934517,1641.0885799151845,0.14281000000000002,0.039999999999999994,94,400000,2,0,18.489,75,0,40,0,0.0,0,9160,12000,150,0,0,0,0,0,0.033272535075565775,0.5,100853.5571611076,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,413.0715805894068,892425.0,0.7863333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016152352787782886,61.1,0.65,0.00113,0.06460941115113154,3.91210447011552,20291.17632594753,54.942983205498535,0.1991,82453.04347826088,0.001935659,0.5047576252557318,2.3,0.1866464442745163,0.7301803889775026,0.7789,0.022,0.08317316674798117,20,80,0.36915279125138234,139037.28,20,1737.9660000000001,1.4,0.04584448954989864,0.0965128534092761,0.01,0.1,0.02,16.3,7.915911559675602,67729.375,0.001,4731.8,9,71260.36927818238,4731800.0,10340028.717,0.6,547934094.5000002,102269950.43520184,45573413.80875259,1822.9365523501035,400090730.2560458,57136.95718786591,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3995.651401763911,870.3503940950371,1212.1254836917615,2.40354609929078,0.7340425531914894,1651.301383580081,0.5964539007092199,-0.06938452212728831,1035,3389,841,151.1051373734758,-371.6389945067602,4295.827087040506,13102.520188886963,199805.91102513982,22814900.0,0.9999995374365191,0.9758373423021309,0.0284,0.0145,0.00844,300.458085063578,2.0,1.4178843571935646,20721.247245763996,0.0103,0.001462,0,1.024162657697869,75035.37327762244,1.0422846509712709,0.0,1.3215374287742585,2.6,0.0672,47658.868665257185,2.3,132271.51309864258,2.7753808850915322,0.33576871438712924,80,0.662,80,0.0215
2026,2071,2021,1,1,3333,197938,0.268,53439,9796,105836.31718231893,0.9823606138029468,1748.6500553827789,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9200,12000,150,0,0,0,0,0,0.036759803716160805,0.5,102435.69463234188,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,413.6606836469396,892425.0,0.8163333333333334,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016163379858080404,61.1,0.65,0.00113,0.06465351943232162,3.91210447011552,20519.639165050106,62.721208014842986,0.1991,86060.0,0.008866088,0.49190943082296007,2.3,0.18101264286657717,0.7081403693057609,0.7789,0.022,0.11084698782766202,20,80,0.3843501541457083,139037.28,20,1737.9660000000001,1.4,0.04417958778738424,0.09314610859145948,0.01,0.1,0.02,16.3,7.90823540704665,67729.375,0.001,4731.8,9,75870.79754997707,4731800.0,10340028.717,0.6,571349209.4999999,103421430.41132466,63332338.8707908,2533.2935548316323,404595440.2178844,57780.27481751609,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4128.615668055411,901.8090102768062,1252.455971363883,2.40354609929078,0.7340425531914894,1706.2443667855796,0.5964539007092199,-0.06791940246748304,1035,3389,841,163.13676042845913,-387.32819514641204,4477.18075034831,13080.63932148311,208240.96513247953,22814900.0,0.9999995472039835,0.9347462391438051,0.0284,0.0145,0.00844,319.8972272389263,2.0,1.4204997280822822,22061.877740615604,0.0103,0.001462,0,1.065253760856195,75186.47841499592,1.1141940814983413,0.0,1.331998912329129,2.6,0.0672,50742.31880341589,2.3,137855.51891770144,2.7167760986993215,0.3409994561645645,80,0.662,80,0.0215
2027,2071,2021,1,1,3333,206764,0.268,55274,10288,111770.55134221788,0.981371574776297,1863.6746359087504,0.14281000000000002,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9240,12000,150,0,0,0,0,0,0.036743260213063435,0.5,103456.44781625409,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,415.6874187606746,892425.0,0.8573333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016174587356531718,61.1,0.65,0.00113,0.06469834942612687,3.91210447011552,20500.385900485948,64.99756242284326,0.1991,89897.39130434784,0.008788171,0.47795359894869704,2.3,0.1727173927556269,0.6756884842659858,0.7789,0.022,0.15159412297838723,20,80,0.3975480532990864,139037.28,20,1737.9660000000001,1.4,0.04268744333972885,0.08956991640380314,0.01,0.1,0.02,16.3,7.926819949314192,67729.375,0.001,4731.8,9,80784.27852596377,4731800.0,10340028.717,0.6,598228064.9999999,103324391.66004367,90687858.85473262,3627.5143541893053,404215814.4852236,57726.060466634786,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4280.402595311535,937.8148754913135,1298.4960070343527,2.40354609929078,0.7340425531914894,1768.9655748004225,0.5964539007092199,-0.06630515793500324,1035,3389,841,175.1232467813194,-402.6101976457505,4653.82755343206,13020.249164748428,216457.09550846793,22814900.0,0.9999995579656138,0.8951140779167286,0.0284,0.0145,0.00844,340.6141432470122,2.0,1.4232906929141635,23490.630568759458,0.0103,0.001462,0,1.1048859220832714,75349.61517542438,1.183550363645725,0.0,1.3431627716566548,2.6,0.0672,54028.45030814675,2.3,143294.59722660578,2.6522063174001294,0.34658138582832737,80,0.662,80,0.0215
2028,2071,2021,1,1,3333,215868,0.268,57224,10379,116463.84695153275,0.9805893588414112,1987.0758126164753,0.14281000000000002,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9280,12000,150,0,0,0,0,0,0.036736386767917587,0.5,102911.93839130524,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,418.57397985876526,892425.0,0.8649166666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016190290383958795,61.1,0.65,0.00113,0.06476116153583518,3.91210447011552,19954.122443344073,67.3731791271374,0.1991,93855.65217391305,0.008711612,0.4585666273374873,2.3,0.161377930532758,0.6313273234151945,0.7789,0.022,0.20729474605204745,20,80,0.41157306874818034,139037.28,20,1737.9660000000001,1.4,0.04135087112547691,0.08611181113890438,0.01,0.1,0.02,16.3,7.909484499786907,67729.375,0.001,4731.8,9,86022.08356022749,4731800.0,10340028.717,0.6,623202679.0,100571158.6394907,129186641.08226064,5167.465643290427,393444879.2782486,56187.86320972669,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4437.707340461182,975.4759409775055,1346.2069837064398,2.40354609929078,0.7340425531914894,1833.9631372232657,0.5964539007092199,-0.0645588363109044,1035,3389,841,187.03508006423885,-417.4228868751778,4825.049498825979,12926.289894540996,224420.90692213856,22814900.0,0.9999995696077579,0.8571197301066944,0.0284,0.0145,0.00844,362.69852039060737,2.0,1.4262680169251267,25013.691061421196,0.0103,0.001462,0,1.1428802698933056,75524.7384222057,1.250040472313285,0.0,1.3550720677005073,2.6,0.0672,57531.48944126874,2.3,148566.64038245572,2.5823534524361755,0.3525360338502536,80,0.662,80,0.0215
2029,2071,2021,1,1,3333,223349,0.268,59444,10793,119334.84486590243,0.9801108591890163,2119.792584788034,0.14281000000000005,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9320,12000,150,0,0,0,0,0,0.0367366556142172,0.5,100196.70279771017,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,418.7306445736166,892425.0,0.8994166666666666,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0162092338071086,61.1,0.65,0.00113,0.0648369352284344,3.91210447011552,18679.162959726233,69.84873746056908,0.1991,97108.26086956523,0.008636376,0.43168747660500956,2.3,0.1458748808475257,0.5706777734411742,0.7789,0.022,0.28344734571130015,20,80,0.42754000941330267,139037.28,20,1737.9660000000001,1.4,0.04015428821127471,0.08277084449567856,0.01,0.1,0.02,16.3,7.916638982041558,67729.375,0.001,4731.8,9,91608.31706819225,4731800.0,10340028.717,0.6,645383291.0,94145210.67560901,182932180.8003736,7317.287232014945,368305899.5240174,52597.76551102494,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4600.768691501583,1014.8501022529208,1395.6617641295513,2.40354609929078,0.7340425531914894,1901.3363163504032,0.5964539007092199,-0.06269767172132792,1035,3389,841,198.84995010726323,-431.71478744161993,4990.251575266035,12804.076165787821,232104.7244309784,22814900.0,0.9999995820155219,0.8209093020995983,0.0284,0.0145,0.00844,386.25199112788243,2.0,1.4294438579277875,26638.068353647064,0.0103,0.001462,0,1.1790906979004017,75711.77350226993,1.313408721325703,0.0,1.3677754317111501,2.6,0.0672,61267.557213388245,2.3,153653.3275733077,2.5079068688531168,0.35888771585557505,80,0.662,80,0.0215
2030,2071,2021,1,1,3333,231861,0.268,60670,11391,120550.12566681327,0.9799083123888644,2262.626946986662,0.14281,0.039999999999999994,94,400000,2,0,18.489,75,0,40,0,0.0,0,9360,12000,150,0,0,0,0,0,0.03675097752317445,0.5,95450.33749702375,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,421.27673012779985,892425.0,0.94925,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016234882011587227,61.1,0.65,0.00113,0.06493952804634891,3.91210447011552,16622.76647935199,72.44297760662447,0.1991,100809.13043478262,0.008562427,0.3985619410031405,2.3,0.12467641573443515,0.48774716331266477,0.7789,0.022,0.3875764209529001,20,80,0.4363577883571946,139037.28,20,1737.9660000000001,1.4,0.03908356812154507,0.0795459705732178,0.01,0.1,0.02,16.3,7.940342705327763,67729.375,0.001,4731.8,9,97569.96316978952,4731800.0,10340028.717,0.6,671985367.0000001,83780726.983549,260445683.47458112,10417.827338983245,327758956.54187,46807.256583744456,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4769.836103839274,1055.9931495547282,1446.9337097123093,2.40354609929078,0.7340425531914894,1971.1850538109722,0.5964539007092199,-0.06073902832160012,1035,3389,841,209.52580527751957,-445.44551167534905,5148.966936032259,12713.008342939498,239486.83423405857,22814900.0,0.9999995950731445,0.7899463408072354,0.0284,0.0145,0.00844,411.38832973595464,2.0,1.4328318027248585,28371.608947307217,0.0103,0.001462,0,1.2134048789236862,75910.6234523772,1.366756098654608,0.0,1.3813272108994346,2.6,0.0672,65254.700578806594,2.3,158540.28426294678,2.4295611328640048,0.36566360544971727,80,0.662,80,0.0215
