time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,daily walk trips,daily chosen car,CAR COST KM,daily chosen bus,daily chosen railway,emissions per year,enviromental impact on economy,business construction,emission per car petrol,emission per car,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,ticket fare pt 10 km,Mobility space usage,Affordability of public transport for the poorest group,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,3333,3333,0.268,33333,3333,6923.071607879511,0.9988461547320201,1288.3996120902839,0.14281,0.04000000000000001,94,400000,2,0,18.489,75.0,0,40,0.0,0.0,0.0,9000,12000.0,150.0,0,0,0,0,0,0.025,0.5,23963.444607879504,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,9.236338824702633,892425.0,0.27775,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,615.1323780822528,35.25,0.1991,1449.1304347826087,0.05,0.14464128328280976,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.23974145639212735,139037.28,20,1737.9660000000001,1.4,0.05432322317790855,0.11402016108403816,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,55429.802,4731800.0,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215
2022,2071,2021,1,1,3333,163728,0.268,44754,8304,79447.26529237359,0.9867587891179377,1358.0597916228517,0.14281000000000002,0.04,94,400000,2,0,18.489,75.0,0,40,0.0,0.0,0.0,9040,12000.0,150.0,0,0,0,0,0,0.0262307215,0.5,92860.5641553951,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,409.22914348270893,892425.0,0.692,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,18538.176309414583,37.909950247875,0.1991,71186.08695652174,0.052461443,0.5332222409145607,2.3,0.19798031697341512,0.7745196830265849,0.7789,0.022,0.027499999999999997,20,80,0.32188489303012835,139037.28,20,1737.9660000000001,1.4,0.05190932342173987,0.11102849509833315,0.01,0.1,0.02,16.3,7.8971428222417694,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,10340028.717,0.6,471938941.0000001,93434621.13127787,12978320.877500001,519.1328351000001,365525998.99122226,52200.76791593646,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3473.725,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215
2023,2071,2021,1,1,3333,171758,0.268,47505,8588,86416.79022457304,0.9855972016292378,1446.269200829245,0.14281000000000002,0.04,94,400000,2,0,18.489,75.0,0,40,0.0,0.0,0.0,9080,12000.0,150.0,0,0,0,0,0,0.06685528889931398,0.5,96016.04616818974,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,409.2186499475744,892425.0,0.7156666666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01635886294965699,61.1,0.65,0.00113,0.06543545179862796,3.91210447011552,19320.8427331279,99.15708695771384,0.1991,74677.39130434784,0.068275126,0.5255798518765111,2.3,0.19651181229148387,0.7687747392960161,0.7789,0.022,0.0347134484125,20,80,0.34167095328677316,139037.28,20,1737.9660000000001,1.4,0.049702786622552876,0.10797050089436748,0.01,0.1,0.02,16.3,7.904390479628319,67729.375,0.001,4731.8,9,62870.919056383296,4731800.0,10340028.717,0.6,495539439.5000003,97379353.31805119,17201882.769442424,688.075310777697,380958203.4125067,54404.64102934009,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3589.106123401112,777.9902779387962,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.07190475966157121,1035,3389,841,129.51756056839224,-339.7958373693404,3927.747582495062,12830.936815426217,182685.9340695378,22814900.0,0.9999995206349356,1.0451633961542335,0.0284,0.0145,0.00844,265.08529407314853,2.0,1.4131351762218152,18281.74441883783,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.3025407048872606,2.6,0.0672,42048.012163327,2.3,120938.08835403403,2.876190386462848,0.32627035244363034,80,0.662,80,0.0215
2024,2071,2021,1,1,3333,180380,0.268,49783,9224,92671.26789432425,0.9845547886842793,1540.5853753635674,0.14281000000000002,0.04,94,400000,2,0,18.489,75.0,0,40,0.0,0.0,0.0,9120,12000.0,150.0,0,0,0,0,0,0.04359745576401643,0.5,98208.43238260674,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,410.4965387177544,892425.0,0.7686666666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016145634382008212,61.1,0.65,0.00113,0.06458253752803285,3.91210447011552,19760.410335513137,68.98499703422019,0.1991,78426.08695652174,0.022612374,0.5135099489462437,2.3,0.19178720263297933,0.7502915727314294,0.7789,0.022,0.0579212246355912,20,80,0.35805504825756085,139037.28,20,1737.9660000000001,1.4,0.04768644220024395,0.10097386757613916,0.01,0.1,0.02,16.3,7.887437077281292,67729.375,0.001,4731.8,9,66933.01051171751,4731800.0,10340028.717,0.6,519298603.4999998,99594826.49647765,30078411.066272296,1203.136442650892,389625365.93724984,55642.398509498664,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3828.7194549759806,831.8984111078041,1161.4880379487834,2.40354609929078,0.7340425531914894,1582.3170372055888,0.5964539007092199,-0.07070691603606144,1035,3389,841,139.78186574120272,-355.7237490850854,4111.8605404996415,13024.167850882766,191249.3274650996,22814900.0,0.9999995286205597,1.013400232661894,0.0284,0.0145,0.00844,282.21246072111194,2.0,1.4154331507337778,19462.928325593926,0.0103,0.001462,0,0.9821330231174747,74895.59144130783,0.9731995346762121,0.0,1.3117326029351117,2.6,0.0672,44764.73514886603,2.3,126607.05478189595,2.8282766414424576,0.33086630146755586,80,0.662,80,0.0215
2025,2071,2021,1,1,3333,189395,0.268,51287,9210,99483.81938881545,0.9834193634351974,1641.13744844568,0.14281000000000002,0.04000000000000001,94,400000,2,0,18.489,75.0,0,40,0.0,0.0,0.0,9160,12000.0,150.0,0,0,0,0,0,0.033272840435908974,0.5,100693.43942364253,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,412.5341024721893,892425.0,0.7675,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016152505467954485,61.1,0.65,0.00113,0.06461002187181794,3.91210447011552,20250.17886634488,54.94350909675306,0.1991,82345.65217391305,0.001935659,0.5039562588833484,2.3,0.18664639578693018,0.7301801992890001,0.7789,0.022,0.08317340492406966,20,80,0.3688722909424005,139037.28,20,1737.9660000000001,1.4,0.04584448954961004,0.09651278227416302,0.01,0.1,0.02,16.3,7.910222550753717,67729.375,0.001,4731.8,9,71260.55496517292,4731800.0,10340028.717,0.6,546827159.0000001,102063318.34575662,45481476.71898563,1819.2590687594256,399282363.93525785,57021.51439359418,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3995.653228285326,870.3510355901037,1212.1259613036896,2.40354609929078,0.7340425531914894,1651.302034239809,0.5964539007092199,-0.06938434132920185,1035,3389,841,151.105180652336,-371.6389945090997,4295.827087067549,13102.520194291545,199805.91102639763,22814900.0,0.9999995374377245,0.975837342697329,0.0284,0.0145,0.00844,300.4588679834276,2.0,1.4178844519104363,20721.301240236382,0.0103,0.001462,0,1.024162657302671,75035.37330704903,1.0422846502796743,0.0,1.3215378076417457,2.6,0.0672,47658.99285254368,2.3,132271.51309947524,2.7753736531680735,0.3357689038208729,80,0.662,80,0.0215
2026,2071,2021,1,1,3333,198063,0.268,53302,9879,105944.44879458203,0.9823425918675697,1748.6262867607054,0.14281000000000002,0.04,94,400000,2,0,18.489,75.0,0,40,7.5,0.0,0.1,9200,12000.0,150.0,0,0,0,0,0,0.03676047421993468,0.5,102543.47519119941,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,413.92166891132723,892425.0,0.82325,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016163715109967343,61.1,0.65,0.00113,0.06465486043986937,3.91210447011552,20546.99569925906,62.72239530870214,0.1991,86114.34782608696,0.008866088,0.4924270069661685,2.3,0.18101252654130168,0.7081399142291306,0.7789,0.022,0.11084755922956782,20,80,0.38336480690646424,139037.28,20,1737.9660000000001,1.4,0.04417958778597701,0.093145988978827,0.01,0.1,0.02,16.3,7.913786017580261,67729.375,0.001,4731.8,9,75871.14860338261,4731800.0,10340028.717,0.6,572111292.9999998,103559310.60874088,63417140.43672211,2536.6856174688846,405134841.95453686,57857.30677952742,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4128.619086989015,901.8101683272054,1252.45683500237,2.40354609929078,0.7340425531914894,1706.2455433365622,0.5964539007092199,-0.06791908820871885,1035,3389,841,163.1368480713627,-387.3281951587494,4477.180750490919,13080.639335867376,208240.96513911252,22814900.0,0.9999995472060786,0.9347462401399764,0.0284,0.0145,0.00844,319.8987074001302,2.0,1.420499907180658,22061.979820698634,0.0103,0.001462,0,1.0652537598600236,75186.47848770136,1.1141940797550414,0.0,1.331999628722633,2.6,0.0672,50742.55358760685,2.3,137855.5189220925,2.716763528348754,0.34099981436131654,80,0.662,80,0.0215
2027,2071,2021,1,1,3333,206772,0.268,55713,10266,111755.88967602911,0.9813740183873285,1863.6855487775404,0.14281000000000002,0.04,94,400000,2,0,18.489,82.5,0,40,0.0,0.0,0.0,9240,13200.0,165.0,0,0,0,0,0,0.03674433621347687,0.5,103441.52192722549,73.6250625,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,415.70348777513146,981667.5,0.7777272727272727,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016175125356738436,61.1,0.65,0.00113,0.06470050142695374,3.91210447011552,20494.960619127367,64.99955268844272,0.1991,89900.86956521739,0.008788171,0.47788464348681525,2.3,0.1727170823621485,0.6756872699742716,0.7789,0.022,0.1515956476635799,20,80,0.40070547985403626,139037.28,20,1737.9660000000001,1.4,0.0426874433356146,0.08956976007417314,0.01,0.1,0.02,16.3,7.924429806743662,67729.375,0.001,4731.8,9,80784.54274880362,4731800.0,10340028.717,0.6,598070823.0000001,103297047.59448896,90664933.76137528,3626.5973504550116,404108841.6441359,57710.78367519906,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4280.409266860915,937.8165122965518,1298.4977421970557,2.40354609929078,0.7340425531914894,1768.9679386452642,0.5964539007092199,-0.06630494107642765,1035,3389,841,175.12331697071383,-402.61019768455435,4653.827553880599,13020.249198674393,216457.09552933022,22814900.0,0.9999995579670595,0.8951140801614998,0.0284,0.0145,0.00844,340.61525730085856,2.0,1.4232908278990166,23490.70740005921,0.0103,0.001462,0,1.1048859198385002,75349.61533577272,1.1835503597173753,0.0,1.343163311596067,2.6,0.0672,54028.627020136184,2.3,143294.59724041662,2.6521976430571055,0.3465816557980335,80,0.662,80,0.0215
2028,2071,2021,1,1,3333,214694,0.268,58034,10794,116262.69633343029,0.9806228839444283,1987.1508424769286,0.14281000000000002,0.04,94,400000,2,0,18.489,82.5,0,40,0.0,0.0,0.0,9280,13200.0,165.0,0,0,0,0,0,0.036735664720116745,0.5,102710.48985223836,73.6250625,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,416.29952685786355,981667.5,0.8177272727272727,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016189929360058374,61.1,0.65,0.00113,0.0647597174402335,3.91210447011552,19903.013854033285,67.37201486922866,0.1991,93345.21739130435,0.008711612,0.45766899009556755,2.3,0.16137717401911736,0.6313243638547992,0.7789,0.022,0.2072984621260835,20,80,0.4173988443962655,139037.28,20,1737.9660000000001,1.4,0.041350871115471644,0.086111570501551,0.01,0.1,0.02,16.3,7.932403327526621,67729.375,0.001,4731.8,9,86022.38148119193,4731800.0,10340028.717,0.6,621609381.0000001,100313565.24955285,128858668.72444673,5154.3467489778695,392437147.02600056,56043.948966783144,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4437.717214154565,975.4786669288192,1346.210179808785,2.40354609929078,0.7340425531914894,1833.967491333707,0.5964539007092199,-0.06455861274016939,1035,3389,841,187.03516387264742,-417.42288697617755,4825.049499993448,12926.28994612965,224420.90697643947,22814900.0,0.9999995696092484,0.8571197333187817,0.0284,0.0145,0.00844,362.69977652727044,2.0,1.426268169212715,25013.77769153589,0.0103,0.001462,0,1.1428802666812183,75524.73865274343,1.2500404666921323,0.0,1.35507267685086,2.6,0.0672,57531.688690532545,2.3,148566.64041840294,2.5823445096067754,0.3525363384254301,80,0.662,80,0.0215
2029,2071,2021,1,1,3333,223432,0.268,58556,11478,119484.12988480752,0.9800859783525321,2119.7519543674216,0.14281000000000002,0.04,94,400000,2,0,18.489,82.5,0,40,0.0,0.0,0.0,9320,13200.0,165.0,0,0,0,0,0,0.03673675815069801,0.5,100345.43618781472,73.6250625,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,418.8861214291001,981667.5,0.8695454545454545,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016209285075349005,61.1,0.65,0.00113,0.06483714030139602,3.91210447011552,18712.890321638974,69.84904960174482,0.1991,97144.34782608696,0.008636376,0.4323282793514358,2.3,0.1458741511335301,0.5706749187237902,0.7789,0.022,0.28345093014267975,20,80,0.4211532331472537,139037.28,20,1737.9660000000001,1.4,0.04015428819317518,0.08277064709089844,0.01,0.1,0.02,16.3,7.9280268717104105,67729.375,0.001,4731.8,9,91608.86869699281,4731800.0,10340028.717,0.6,646551838.5000001,94315200.60501076,183265720.0082847,7330.628800331388,368970917.8867047,52692.7367834003,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4600.77650764259,1014.8525226310177,1395.6641056170486,2.40354609929078,0.7340425531914894,1901.3395062029356,0.5964539007092199,-0.06269729421145358,1035,3389,841,198.8501136382044,-431.7147876362152,4990.251577515389,12804.076239658156,232104.7245355995,22814900.0,0.9999995820180386,0.8209093064635655,0.0284,0.0145,0.00844,386.2543169835405,2.0,1.4294441397053708,26638.22875748555,0.0103,0.001462,0,1.1790906935364345,75711.77381661607,1.3134087136887604,0.0,1.3677765588214832,2.6,0.0672,61267.92614221676,2.3,153653.32764256687,2.5078917684581428,0.35888827941074164,80,0.662,80,0.0215
2030,2071,2021,1,1,3333,231563,0.268,59777,12607,120335.68202801501,0.9799440529953308,2262.719165976205,0.14281000000000002,0.04000000000000001,94,400000,2,0,18.489,82.5,0,40,0.0,0.0,0.0,9360,13200.0,165.0,0,0,0,0,0,0.03675233973255098,0.5,95235.48995605906,73.6250625,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,420.73571795953114,981667.5,0.9550757575757576,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01623556311627549,61.1,0.65,0.00113,0.06494225246510196,3.91210447011552,16572.847675988818,72.44579147985014,0.1991,100679.56521739131,0.008562427,0.39766482441775614,2.3,0.12467535877967545,0.48774302839522465,0.7789,0.022,0.38758161282509995,20,80,0.429935050513071,139037.28,20,1737.9660000000001,1.4,0.03908356809281462,0.07954579192484289,0.01,0.1,0.02,16.3,7.9267525468231135,67729.375,0.001,4731.8,9,97570.36707195597,4731800.0,10340028.717,0.6,669973049.0000002,83529130.2567881,259669234.88076982,10386.769395230795,326774683.8624424,46666.6926023954,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4769.845920482812,1055.995521163025,1446.9362803247122,2.40354609929078,0.7340425531914894,1971.1885558046804,0.5964539007092199,-0.060738776931045596,1035,3389,841,209.52593074767785,-445.44551200279733,5148.966939817279,12713.008433739988,239486.83441010604,22814900.0,0.9999995950748205,0.7899463458672762,0.0284,0.0145,0.00844,411.3900327256068,2.0,1.4328320094764802,28371.72639486943,0.0103,0.001462,0,1.213404872176965,75910.62393025428,1.3667560902212064,0.0,1.3813280379059207,2.6,0.0672,65254.97070819969,2.3,158540.28437949021,2.4295510772418236,0.3656640189529604,80,0.662,80,0.0215
