time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Affordability of public transport for the poorest group,change to ticket cost,CAR COST KM,daily walk trips,daily chosen bus,daily chosen railway,Public Transport Ticket Cost,daily chosen car,TCI,emissions per year,enviromental impact on economy,business construction,emission per car petrol,emission per car,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,Mobility space usage,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,0.07329867498259597,0.0,0.268,3333,33333,3333,0.9,3333,0,6923.071607879511,0.9988461547320201,1288.3996120902839,0.14281,0.04000000000000001,94,400000.0,2,0,18.489,75,0,40.0,0,0.0,0,9000.0,12000,150,0.0,0,0,0.0,0,0.025,0.5,23963.444607879504,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,9.236338824702633,892425.0,0.27775,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,615.1323780822528,35.25,0.1991,1449.1304347826087,0.05,0.14464128328280976,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.23974145639212735,139037.28,20,1737.9660000000001,0.05432322317790855,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,55429.802,4731800.0,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215
2022,2071,2021,1,1,0.07137546113464274,0.0,0.268,3333,44748,8224,0.9,163725,0,79333.89019712583,0.9867776849671457,1358.08579766741,0.14281000000000002,0.04000000000000001,94,400000.0,2,0,18.489,75,0,40.0,0,0.0,0,9040.0,12000,150,0.0,0,0,0.0,0,0.0262307215,0.5,92747.18906014733,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,409.2216536803684,892425.0,0.6853333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,18508.681161755507,37.909950247875,0.1991,71184.78260869566,0.052461443,0.532571220506686,2.3,0.19798031697341512,0.7745196830265849,0.7789,0.022,0.027499999999999997,20,80,0.3218417391364388,139037.28,20,1737.9660000000001,0.05190932342173987,0.01,0.1,0.02,16.3,7.884722553061536,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,10340028.717,0.6,471188063.0,93285962.06682949,12957671.732499998,518.3068693,364944429.20067054,52117.71393414777,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3473.725,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215
2023,2071,2021,1,1,0.0694095941831581,0.0,0.268,3333,46994,8679,0.9,172451,0,86844.64015199903,0.9855258933080001,1446.166666569378,0.14281000000000002,0.04,94,400000.0,2,0,18.489,75,0,40.0,0,0.0,0,9080.0,12000,150,0.0,0,0,0.0,0,0.06685528889931398,0.5,96443.80666082852,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,410.86795233837256,892425.0,0.72325,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01635886294965699,61.1,0.65,0.00113,0.06543545179862796,3.91210447011552,19431.90707823716,99.15708695771384,0.1991,74978.69565217392,0.068275126,0.527921359419593,2.3,0.19651181229148387,0.7687747392960161,0.7789,0.022,0.0347134484125,20,80,0.33799568000754904,139037.28,20,1737.9660000000001,0.049702786622552876,0.01,0.1,0.02,16.3,7.917881601150471,67729.375,0.001,4731.8,9,62871.00849117053,4731800.0,10340028.717,0.6,498388008.99999994,97939130.87293436,17300766.439830083,692.0306575932034,383148111.6872355,54717.3818300541,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3589.106123401112,777.9904296444199,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.0719046573761612,1035,3389,841,129.51757870320463,-339.7958373693404,3927.747582495062,12830.936815434967,182685.9340695378,22814900.0,0.9999995206356175,1.0451633961542335,0.0284,0.0145,0.00844,265.0856711607946,2.0,1.413135221816658,18281.770424882387,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.3025408872666324,2.6,0.0672,42048.07197722948,2.3,120938.08835403403,2.876186295046448,0.32627044363331625,80,0.662,80,0.0215
2024,2071,2021,1,1,0.06491180650842902,0.0,0.268,3333,49273,9002,0.9,180358,0,92822.77380387533,0.9845295376993541,1540.539629812188,0.14281000000000002,0.04000000000000001,94,400000.0,2,0,18.489,75,0,40.0,0,0.0,0,9120.0,12000,150,0.0,0,0,0.0,0,0.043598212956007305,0.5,98360.20276949467,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,410.44652433327695,892425.0,0.7501666666666666,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01614601297800365,61.1,0.65,0.00113,0.0645840519120146,3.91210447011552,19799.559322062727,68.9861951520078,0.1991,78416.52173913045,0.022612374,0.5143035223872333,2.3,0.19178720263297933,0.7502915727314294,0.7789,0.022,0.0579212246355912,20,80,0.3543869672939517,139037.28,20,1737.9660000000001,0.04768644220024176,0.01,0.1,0.02,16.3,7.904027545215626,67729.375,0.001,4731.8,9,66932.74603438066,4731800.0,10340028.717,0.6,520327428.99999994,99792142.06112015,30138001.899168625,1205.5200759667453,390397285.0397111,55752.63627652115,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3828.7200540348745,831.8979690233689,1161.4880379487834,2.40354609929078,0.7340425531914894,1582.3170372055888,0.5964539007092199,-0.07070719542661652,1035,3389,841,139.7818082644615,-355.72374908510164,4111.86054049983,13024.167853150897,191249.32746510836,22814900.0,0.9999995286186971,1.0134002328402165,0.0284,0.0145,0.00844,282.2113455942191,2.0,1.4154330159321034,19462.851420290972,0.0103,0.001462,0,0.9821330228797113,74895.59145944264,0.973199534319567,0.0,1.3117320637284133,2.6,0.0672,44764.558266669235,2.3,126607.05478190174,2.8282878170646604,0.33086603186420666,80,0.662,80,0.0215
2025,2071,2021,1,1,0.06204393435069355,0.0,0.268,3333,51235,9554,0.9,189310,0,99464.7278652145,0.9834225453557975,1641.1328860251908,0.14281000000000002,0.039999999999999994,94,400000.0,2,0,18.489,75,0,40.0,0,0.0,0,9160.0,12000,150,0.0,0,0,0.0,0,0.0332699798924225,0.5,100674.76586140826,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,412.34914036327024,892425.0,0.7961666666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01615107519621125,61.1,0.65,0.00113,0.064604300784845,3.91210447011552,20245.39507253646,54.938825336829524,0.1991,82308.69565217392,0.001935659,0.5038628003701068,2.3,0.1866463065024134,0.7301798499986429,0.7789,0.022,0.0831738434989436,20,80,0.36849829053042465,139037.28,20,1737.9660000000001,0.04584448954908766,0.01,0.1,0.02,16.3,7.911908509851566,67729.375,0.001,4731.8,9,71260.13700380625,4731800.0,10340028.717,0.6,546698241.0,102039207.45401627,45470993.938081756,1818.8397575232702,399188039.60790193,57008.04393640448,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3995.6537655569123,870.3509950670363,1212.1268407731295,2.40354609929078,0.7340425531914894,1651.3032323575967,0.5964539007092199,-0.06938474828927356,1035,3389,841,151.1050832255313,-371.63899451333435,4295.827087116498,13102.520187038592,199805.91102867434,22814900.0,0.9999995374350114,0.9758373421486786,0.0284,0.0145,0.00844,300.45710571537967,2.0,1.4178842387601367,20721.17970450894,0.0103,0.001462,0,1.0241626578513214,75035.37326770711,1.0422846512398125,0.0,1.3215369550405467,2.6,0.0672,47658.71332037056,2.3,132271.5131009824,2.7753899315709423,0.33576847752027333,80,0.662,80,0.0215
2026,2071,2021,1,1,0.059879730036227256,0.0,0.268,3333,53323,9725,0.9,198438,0,106055.81899274209,0.9823240301678763,1748.5831225939746,0.14281000000000005,0.04,94,400000.0,2,0,18.489,75,0,40040.0,0,0.0,0,9200.0,12000,150,40000.0,0,0,0.1,0,0.03675945540408902,0.5,102655.27298045042,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,414.70462475403417,892425.0,0.8104166666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016163205702044513,61.1,0.65,0.00113,0.06465282280817805,3.91210447011552,20575.387483868846,62.720528828399345,0.1991,86277.39130434784,0.008866088,0.49296387439595424,2.3,0.18101289190868783,0.7081413435845151,0.7789,0.022,0.1108457645067971,20,80,0.38351584553437756,139037.28,20,1737.9660000000001,0.04417958778704403,0.01,0.1,0.02,16.3,7.909729487295781,67729.375,0.001,4731.8,9,75870.72101229169,4731800.0,10340028.717,0.6,572900678.5,103702408.59173442,63503613.69479528,2540.1445477918114,405694656.21347034,57937.253853845716,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4128.609783573306,901.8076729358997,1252.454276392717,2.40354609929078,0.7340425531914894,1706.2420576944262,0.5964539007092199,-0.06791947098447444,1035,3389,841,163.1367413533008,-387.3281951493947,4477.180750382786,13080.639308761496,208240.9651340831,22814900.0,0.9999995472035268,0.9347462382279437,0.0284,0.0145,0.00844,319.8969045298719,2.0,1.420499688950206,22061.855484818752,0.0103,0.001462,0,1.0652537617720563,75186.47835093264,1.1141940831010986,0.0,1.3319987558008242,2.6,0.0672,50742.267615083125,2.3,137855.518918763,2.7167788393789776,0.34099937790041207,80,0.662,80,0.0215
2027,2071,2021,1,1,0.057580785058827355,0.0,0.268,3333,55793,10102,0.9,206554,0,111533.91062321317,0.9814110148961311,1863.742279867741,0.14281000000000002,0.04,94,440000.0,2,0,18.489,75,0,40.0,0,0.0,0,49240.0,12000,150,0.0,0,0,0.0,0,0.036744458389678665,0.5,103220.11270699903,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,415.26560610085346,892425.0,0.8418333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016175186444839333,61.1,0.65,0.00113,0.06470074577935733,3.91210447011552,20441.21009827313,64.99957215338631,0.1991,89806.08695652174,0.008788171,0.47686176546834724,2.3,0.17271781194467406,0.6756901241773312,0.7789,0.022,0.15159206387799473,20,80,0.40128086510322986,139037.28,20,1737.9660000000001,0.22748157036326572,0.01,0.1,0.02,16.3,7.911955227204506,67729.375,0.001,4731.8,9,80783.97291621414,4731800.0,10340028.717,0.6,596499789.9999999,103026138.55425754,90424634.26889043,3616.9853707556176,403049017.1768519,57559.430143026235,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4280.396424279218,937.8128475468153,1298.4938135114357,2.40354609929078,0.7340425531914894,1768.9625865228256,0.5964539007092199,-0.06630540876726529,1035,3389,841,175.12316555771991,-402.6101976250012,4653.827553192216,13020.249147151035,216457.0954973124,22814900.0,0.9999995579639416,0.895114076754574,0.0284,0.0145,0.00844,340.61285469180143,2.0,1.423290536965174,23490.541702882856,0.0103,0.001462,0,1.104885923245426,75349.61509228594,1.1835503656794957,0.0,1.3431621478606965,2.6,0.0672,54028.24591663056,2.3,143294.59721922083,2.6522163506906113,0.34658107393034826,80,0.662,80,0.0215
2028,2071,2021,1,1,0.05535762776569775,0.0,0.268,3333,56731,10629,0.9,215990,0,116596.74737801698,0.9805672087703305,1987.0292949460834,0.14281000000000002,0.04,94,440000.0,2,0,18.489,75,0,40.0,0,0.0,0,49280.0,12000,150,0.0,0,0,0.0,0,0.036734909812170605,0.5,103044.90736862281,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,418.81033702762807,892425.0,0.88575,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016189551906085304,61.1,0.65,0.00113,0.06475820762434122,3.91210447011552,19986.762035890355,67.37043449790436,0.1991,93908.69565217392,0.008711612,0.45915912556870697,2.3,0.161378133977199,0.6313281193111013,0.7789,0.022,0.2072937467116996,20,80,0.4080272571500248,139037.28,20,1737.9660000000001,0.2195873846252388,0.01,0.1,0.02,16.3,7.917937404509463,67729.375,0.001,4731.8,9,86022.01500939419,4731800.0,10340028.717,0.6,624221284.4999996,100735666.0814602,129397168.84119469,5175.886753647788,394088449.5773447,56279.771484140605,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4437.703618294792,975.4753261566061,1346.206265411262,2.40354609929078,0.7340425531914894,1833.9621586762119,0.5964539007092199,-0.06455888774956181,1035,3389,841,187.035060816458,-417.4228868221821,4825.049498213393,12926.289857573847,224420.90689364623,22814900.0,0.999999569607415,0.8571197277645806,0.0284,0.0145,0.00844,362.69823135685255,2.0,1.4262679816889883,25013.671128058795,0.0103,0.001462,0,1.1428802722354194,75524.73825784365,1.2500404764119841,0.0,1.355071926755953,2.6,0.0672,57531.44359453522,2.3,148566.64036359382,2.582355509982472,0.3525359633779765,80,0.662,80,0.0215
2029,2071,2021,1,1,0.05320994832190248,0.0,0.268,3333,58209,10607,0.9,224642,0,119903.99129442016,0.9800160014509299,2119.5819886382683,0.14281000000000002,0.039999999999999994,94,440000.0,2,0,18.489,75,0,40.0,0,0.0,0,49320.0,12000,150,0.0,0,0,0.0,0,0.03673824549465144,0.5,100766.07675734261,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,421.1527147908851,892425.0,0.8839166666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01621002874732572,61.1,0.65,0.00113,0.06484011498930288,3.91210447011552,18814.521909177554,69.85162357501292,0.1991,97670.4347826087,0.008636376,0.43414056750679086,2.3,0.14587578231426268,0.5706813000732256,0.7789,0.022,0.2834429176125118,20,80,0.4186574996288765,139037.28,20,1737.9660000000001,0.21249028917735147,0.01,0.1,0.02,16.3,7.9280610927609265,67729.375,0.001,4731.8,9,91608.08953707755,4731800.0,10340028.717,0.6,650056057.5,94827435.93593782,184253785.54948673,7370.151421979469,370974836.0145755,52978.91633124153,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4600.761193771651,1014.8478189326172,1395.6590311597236,2.40354609929078,0.7340425531914894,1901.3325931741163,0.5964539007092199,-0.06269782742884053,1035,3389,841,198.84988265220417,-431.7147873211033,4990.251573872966,12804.076122734316,232104.7243661845,22814900.0,0.9999995820144838,0.8209092995693192,0.0284,0.0145,0.00844,386.2510317788964,2.0,1.4294437416079984,26638.002191648025,0.0103,0.001462,0,1.1790907004306808,75711.77331866011,1.3134087257536915,0.0,1.367774966431994,2.6,0.0672,61267.40504079045,2.3,153653.32753041416,2.507913097153621,0.35888748321599706,80,0.662,80,0.0215
2030,2071,2021,1,1,0.051136773442262036,0.0,0.268,3333,59506,10993,0.9,233021,0,120928.86942292501,0.9798451884295125,2262.4584348985118,0.14281,0.04,94,440000.0,2,0,18.489,75,0,40.0,0,0.0,0,49360.0,12000,150,0.0,0,0,0.0,0,0.03675007933087669,0.5,95830.02972520808,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,423.3826825185435,892425.0,0.9160833333333334,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016234432915438347,61.1,0.65,0.00113,0.06493773166175339,3.91210447011552,16708.248598532955,72.44117634130252,0.1991,101313.47826086957,0.008562427,0.4001473821066061,2.3,0.12467673096199404,0.487748396515807,0.7789,0.022,0.38757487252219897,20,80,0.42798593298142773,139037.28,20,1737.9660000000001,0.20610736360427642,0.01,0.1,0.02,16.3,7.941424592633281,67729.375,0.001,4731.8,9,97569.01469771694,4731800.0,10340028.717,0.6,675439325.4999999,84211567.06651421,261783310.4771425,10471.332419085702,329444447.9563432,47047.96161264537,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4769.833193081706,1055.991537302814,1446.9330952732969,2.40354609929078,0.7340425531914894,1971.184216749129,0.5964539007092199,-0.06073961874101696,1035,3389,841,209.52551160040153,-445.4455114775682,5148.966933746082,12713.008295308031,239486.83412772475,22814900.0,0.9999995950692084,0.7899463382014168,0.0284,0.0145,0.00844,411.38433065335727,2.0,1.4328313187431365,28371.333148507398,0.0103,0.001462,0,1.213404882398111,75910.62320131231,1.366756102997639,0.0,1.3813252749725466,2.6,0.0672,65254.06624156701,2.3,158540.2841925538,2.429584749640678,0.3656626374862733,80,0.662,80,0.0215
