time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Affordability of public transport for the poorest group,change to ticket cost,CAR COST KM,daily walk trips,daily chosen bus,daily chosen railway,Public Transport Ticket Cost,daily chosen car,TCI,emissions per year,enviromental impact on economy,business construction,emission per car petrol,emission per car,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,Mobility space usage,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,0.07329867498259597,0.0,0.268,3333,33333,3333,0.9,3333,0.0,6923.071607879511,0.9988461547320201,1288.3996120902839,0.14281,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9000,12000,150,0,0,0,0,0,0.025,0.5,23963.444607879504,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,9.236338824702633,892425.0,0.27775,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,615.1323780822528,35.25,0.1991,1449.1304347826087,0.05,0.14464128328280976,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.23974145639212735,139037.28,20,1737.9660000000001,0.05432322317790855,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,55429.802,4731800.0,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215
2022,2071,2021,1,1,0.07137546113464274,0.0,0.268,3333,44926,8222,0.9,163626,0.0,79305.78891330956,0.9867823685144484,1358.0922435560549,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9040,12000,150,0,0,0,0,0,0.0262307215,0.5,92719.08777633106,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,408.97449020312945,892425.0,0.6851666666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,18501.370459931975,37.909950247875,0.1991,71141.73913043478,0.052461443,0.5324098578263559,2.3,0.19798031697341512,0.7745196830265849,0.7789,0.022,0.027499999999999997,20,80,0.32312197131589454,139037.28,20,1737.9660000000001,0.05190932342173987,0.01,0.1,0.02,16.3,7.8863768594233195,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,10340028.717,0.6,471001949.5,93249115.25710645,12952553.611249998,518.10214445,364800280.63164353,52097.12807700502,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3473.725,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215
2023,2071,2021,1,1,0.06940959082845079,0.0,0.268,3333,47011,8548,0.9,171968,0.0,86495.40195843684,0.9855840996735938,1446.2526004365573,0.14281000000000002,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9080,12000,150,0,0,0,0,0,0.06685528889931398,0.5,96094.54629985525,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,409.71843855084654,892425.0,0.7123333333333334,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01635886294965699,61.1,0.65,0.00113,0.06543545179862796,3.91210447011552,19341.224619404114,99.15708695771384,0.1991,74768.69565217392,0.068275126,0.5260095517987592,2.3,0.19651181229148387,0.7687747392960161,0.7789,0.022,0.0347134484125,20,80,0.3381179493730027,139037.28,20,1737.9660000000001,0.049702786622552876,0.01,0.1,0.02,16.3,7.903066268142911,67729.375,0.001,4731.8,9,62871.03065858158,4731800.0,10340028.717,0.6,496062192.50000006,97482080.45746195,17220029.328740396,688.801173149616,381360082.71379775,54462.033412357465,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3589.106123401112,777.9904672462866,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.07190463202362474,1035,3389,841,129.5175831981205,-339.7958373693404,3927.747582495062,12830.936815437137,182685.9340695378,22814900.0,0.9999995206357865,1.0451633961542335,0.0284,0.0145,0.00844,265.08576462618,2.0,1.4131352331178493,18281.77687077103,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.302540932471397,2.6,0.0672,42048.08680277337,2.3,120938.08835403403,2.8761852809449895,0.3262704662356985,80,0.662,80,0.0215
2024,2071,2021,1,1,0.06491176511426346,0.0,0.268,3333,49275,9123,0.9,180580,0.0,92929.54097771148,0.9845117431703814,1540.5192665722911,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9120,12000,150,0,0,0,0,0,0.04359840063450047,0.5,98466.65257077804,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,410.9512149400827,892425.0,0.76025,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016146106817250233,61.1,0.65,0.00113,0.06458442726900093,3.91210447011552,19827.017918723788,68.98649211888504,0.1991,78513.04347826088,0.022612374,0.5148601246126799,2.3,0.19178720263297933,0.7502915727314294,0.7789,0.022,0.0579212246355912,20,80,0.3544013519251815,139037.28,20,1737.9660000000001,0.04768644220024123,0.01,0.1,0.02,16.3,7.905258611141874,67729.375,0.001,4731.8,9,66933.06340693346,4731800.0,10340028.717,0.6,521049033.9999999,99930536.66547611,30179798.14447179,1207.1919257788718,390938699.190052,55829.95563133133,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3828.7202025183133,831.8984995238444,1161.4880379487834,2.40354609929078,0.7340425531914894,1582.3170372055888,0.5964539007092199,-0.07070686015848565,1035,3389,841,139.7818772309556,-355.7237490851057,4111.860540499876,13024.167853748204,191249.32746511052,22814900.0,0.9999995286209323,1.0134002328844158,0.0284,0.0145,0.00844,282.21268374543047,2.0,1.4154331777400189,19462.94370658141,0.0103,0.001462,0,0.9821330228207789,74895.59146393756,0.9731995342311683,0.0,1.3117327109600758,2.6,0.0672,44764.77052513724,2.3,126607.05478190316,2.828274406339426,0.3308663554800379,80,0.662,80,0.0215
2025,2071,2021,1,1,0.06204389537067991,0.0,0.268,3333,51315,9397,0.9,189731,0.0,99537.47913072618,0.983410420144879,1641.118385198836,0.14281000000000005,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9160,12000,150,0,0,0,0,0,0.03327231620716553,0.5,100747.27438545115,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,413.26524678410027,892425.0,0.7830833333333334,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016152243353582764,61.1,0.65,0.00113,0.06460897341433106,3.91210447011552,20263.95924189395,54.942693181692334,0.1991,82491.73913043478,0.001935659,0.5042256951581907,2.3,0.1866462843722486,0.7301797634231262,0.7789,0.022,0.08317395220462523,20,80,0.36907367577961825,139037.28,20,1737.9660000000001,0.04584448954895014,0.01,0.1,0.02,16.3,7.901592254296874,67729.375,0.001,4731.8,9,71260.37974527503,4731800.0,10340028.717,0.6,547199605.0000001,102132773.08321212,45512753.79265981,1820.510151706393,399554078.12412816,57060.31789690676,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3995.656413109216,870.3515418781843,1212.1270587594543,2.40354609929078,0.7340425531914894,1651.3035293244739,0.5964539007092199,-0.06938451193716685,1035,3389,841,151.10513977831607,-371.6389945144492,4295.827087129385,13102.520200520217,199805.91102927373,22814900.0,0.9999995374365871,0.9758373431482856,0.0284,0.0145,0.00844,300.4581291964199,2.0,1.4178843626412156,20721.250289408268,0.0103,0.001462,0,1.0241626568517144,75035.37334116851,1.0422846494905003,0.0,1.3215374505648627,2.6,0.0672,47658.87566563901,2.3,132271.5131013792,2.775380477486674,0.33576872528243135,80,0.662,80,0.0215
2026,2071,2021,1,1,0.05987956467082166,-0.09000000000000001,0.268,3333,53468,9753,0.9,198081,-0.1,105846.17475768893,0.9823589708737185,1748.6498019735238,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9200,12000,150,0,0,0,0,0,0.036758744618487674,0.5,102445.43939202158,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,413.9592507733308,892425.0,0.81275,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01616285030924384,61.1,0.65,0.00113,0.06465140123697535,3.91210447011552,20522.107244879364,62.71946914936346,0.1991,86122.17391304349,0.008866088,0.4919562263800411,2.3,0.18101246682054883,0.7081396805953063,0.7789,0.022,0.11084785258414487,20,80,0.38455873129854096,139037.28,20,1737.9660000000001,0.04417958778405963,0.01,0.1,0.02,16.3,7.903484433135944,67729.375,0.001,4731.8,9,75870.91036566734,4731800.0,10340028.717,0.6,571418486.5000002,103433869.82822953,63340512.1554072,2533.620486216288,404644104.5163635,57787.22456598188,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4128.619254819404,901.8101633980871,1252.4573335417604,2.40354609929078,0.7340425531914894,1706.2462225061663,0.5964539007092199,-0.06791930148033984,1035,3389,841,163.13678858579945,-387.3281951755593,4477.1807506852265,13080.63933443032,208240.9651481501,22814900.0,0.9999995472046568,0.9347462399980453,0.0284,0.0145,0.00844,319.8977029084549,2.0,1.4204997857125956,22061.910545410683,0.0103,0.001462,0,1.0652537600019547,75186.47848094683,1.1141940800034207,0.0,1.331999142850383,2.6,0.0672,50742.39425444457,2.3,137855.51892807538,2.7167720592135933,0.3409995714251915,80,0.662,80,0.0215
2027,2071,2021,1,1,0.051822582218166734,0.0,0.268,3333,55733,10069,0.81,206578,0.0,111583.78315621881,0.9814027028072969,1863.7363683509782,0.14281,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9240,12000,150,0,0,0,0,0,0.03674397359260456,0.5,103269.5693218667,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,415.31381318881404,892425.0,0.8390833333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01617494404630228,61.1,0.65,0.00113,0.06469977618520913,3.91210447011552,20453.581980320465,64.99882866041425,0.1991,89816.52173913045,0.008788171,0.4770902476807378,2.3,0.1727173909942146,0.675688477375157,0.7789,0.022,0.15159413163062838,20,80,0.4008493261663347,139037.28,20,1737.9660000000001,0.04268744333415734,0.01,0.1,0.02,16.3,7.915843410237294,67729.375,0.001,4731.8,9,80784.38883435211,4731800.0,10340028.717,0.6,596862271.4999999,103088494.31636055,90480817.75112684,3619.2327100450743,403292959.4325125,57594.26753655711,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4280.403509040222,937.8150975842915,1298.496092810974,2.40354609929078,0.7340425531914894,1768.9656916555298,0.5964539007092199,-0.06630506740617578,1035,3389,841,175.1232760948165,-402.61019769829863,4653.827554039472,13020.249184430691,216457.09553671963,22814900.0,0.9999995579662173,0.8951140791524725,0.0284,0.0145,0.00844,340.61460834489844,2.0,1.4232907493155935,23490.662644475753,0.0103,0.001462,0,1.1048859208475275,75349.61526953263,1.183550361483173,0.0,1.3431629972623742,2.6,0.0672,54028.52408229423,2.3,143294.5972453084,2.652202696247031,0.34658149863118715,80,0.662,80,0.0215
2028,2071,2021,1,1,0.04982177344957816,0.0,0.268,3333,58700,10565,0.81,214039,0.0,115782.55338029853,0.9807029077699503,1987.3135535865779,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9280,12000,150,0,0,0,0,0,0.03673632209637859,0.5,102230.3238132855,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,415.03056038938223,892425.0,0.8804166666666666,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016190258048189292,61.1,0.65,0.00113,0.06476103219275717,3.91210447011552,19786.839294767768,67.37311133165697,0.1991,93060.4347826087,0.008711612,0.45552941209358444,2.3,0.16137770796565182,0.6313264527094236,0.7789,0.022,0.20729583932492468,20,80,0.4221889265958022,139037.28,20,1737.9660000000001,0.0413508711167664,0.01,0.1,0.02,16.3,7.910208419960849,67729.375,0.001,4731.8,9,86022.40456701303,4731800.0,10340028.717,0.6,617978981.5,99728031.60541795,128104471.6552046,5124.178866208184,390146478.2393775,55716.81855736551,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4437.710627878213,975.4771184366882,1346.2079989553206,2.40354609929078,0.7340425531914894,1833.9645203159441,0.5964539007092199,-0.0645585954125618,1035,3389,841,187.03517041668232,-417.4228869631075,4825.049499842369,12926.289921820626,224420.90696941255,22814900.0,0.9999995696093639,0.8571197317336314,0.0284,0.0145,0.00844,362.6998738649866,2.0,1.4262681807943216,25013.784404481834,0.0103,0.001462,0,1.1428802682663686,75524.73854562745,1.250040469466145,0.0,1.355072723177287,2.6,0.0672,57531.704130308215,2.3,148566.64041375113,2.5823438165024717,0.3525363615886435,80,0.662,80,0.0215
2029,2071,2021,1,1,0.047888742987964986,0.0,0.268,3333,60187,10880,0.81,222707,0.0,119115.90330602428,0.980147349448996,2119.8986042685738,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9320,12000,150,0,0,0,0,0,0.0367379154265541,0.5,99976.6272944487,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,417.52803886994525,892425.0,0.9066666666666666,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01620986371327705,61.1,0.65,0.00113,0.0648394548531082,3.91210447011552,18626.84690344436,69.85118110879424,0.1991,96829.13043478262,0.008636376,0.43073930316546194,2.3,0.14587460380935835,0.5706766896389213,0.7789,0.022,0.28344870655172044,20,80,0.4328838999151882,139037.28,20,1737.9660000000001,0.04015428819856792,0.01,0.1,0.02,16.3,7.917238793571822,67729.375,0.001,4731.8,9,91609.45101157558,4731800.0,10340028.717,0.6,643576942.4999999,93881531.50802568,182421051.91813594,7296.842076725438,367274359.0738383,52450.45121933486,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4600.773071863295,1014.8522798398313,1395.6627296136646,2.40354609929078,0.7340425531914894,1901.337631647601,0.5964539007092199,-0.06269689566829358,1035,3389,841,198.85028628301927,-431.71478757823564,4990.251576845195,12804.076216013023,232104.7245044277,22814900.0,0.9999995820206955,0.82090930505567,0.0284,0.0145,0.00844,386.2567722209497,2.0,1.4294444363994538,26638.398084203425,0.0103,0.001462,0,1.17909069494433,75711.77371604413,1.3134087161525778,0.0,1.3677777455978157,2.6,0.0672,61268.315593667874,2.3,153653.32762193115,2.507875826731743,0.3588888727989079,80,0.662,80,0.0215
2030,2071,2021,1,1,0.04602285880934496,0.0,0.268,3333,62183,11194,0.81,230898,0.0,120084.06117127764,0.979985989804787,2262.8418727949506,0.14281000000000005,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9360,12000,150,0,0,0,0,0,0.036755581501478854,0.5,94982.79089929028,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,419.52842649065764,892425.0,0.9328333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016237184000739428,61.1,0.65,0.00113,0.06494873600295771,3.91210447011552,16517.470852749255,72.45219106207102,0.1991,100390.4347826087,0.008562427,0.3966096556192746,2.3,0.12467530995798314,0.48774283739966384,0.7789,0.022,0.387581852642353,20,80,0.4472397618825685,139037.28,20,1737.9660000000001,0.03908356810164176,0.01,0.1,0.02,16.3,7.923022286897248,67729.375,0.001,4731.8,9,97571.44527198737,4731800.0,10340028.717,0.6,667734650.0000002,83250024.45843542,258801832.72049326,10352.073308819732,325682792.82107157,46510.759642777244,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4769.849737319182,1055.9969818765746,1446.936468938205,2.40354609929078,0.7340425531914894,1971.1888127563952,0.5964539007092199,-0.06073810573170563,1035,3389,841,209.5262642605109,-445.4455119021923,5148.966938654371,12713.008448138944,239486.8343560173,22814900.0,0.9999995950792951,0.789946346936859,0.0284,0.0145,0.00844,411.39457878564025,2.0,1.4328325592811333,28372.03991625105,0.0103,0.001462,0,1.2134048707508547,75910.62400232715,1.3667560884385686,0.0,1.3813302371245333,2.6,0.0672,65255.691807377414,2.3,158540.28434368345,2.429524229268225,0.36566511856226663,80,0.662,80,0.0215
