time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Affordability of public transport for the poorest group,change to ticket cost,CAR COST KM,daily walk trips,daily chosen bus,daily chosen railway,Public Transport Ticket Cost,daily chosen car,TCI,emissions per year,enviromental impact on economy,business construction,emission per car petrol,emission per car,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,Mobility space usage,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,0.07329867498259597,0.0,0.268,3333,33333,3333,0.9,3333,0.0,6923.071607879511,0.9988461547320201,1288.3996120902839,0.14281,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9000,12000,150,0,0,0,0,0,0.025,0.5,23963.444607879504,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,9.236338824702633,892425.0,0.27775,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,615.1323780822528,35.25,0.1991,1449.1304347826087,0.05,0.14464128328280976,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.23974145639212735,139037.28,20,1737.9660000000001,0.05432322317790855,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,55429.802,4731800.0,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215
2022,2071,2021,1,1,0.07137546113464274,0.0,0.268,3333,44825,8200,0.9,163867,0.0,79450.89713117234,0.9867581838114713,1358.0589585495793,0.14281,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9040,12000,150,0,0,0,0,0,0.0262307215,0.5,92864.19599419385,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,409.57617099115555,892425.0,0.6833333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,18539.121152031115,37.909950247875,0.1991,71246.52173913045,0.052461443,0.5332430955931913,2.3,0.19798031697341512,0.7745196830265849,0.7789,0.022,0.027499999999999997,20,80,0.3223955474387876,139037.28,20,1737.9660000000001,0.05190932342173987,0.01,0.1,0.02,16.3,7.890846235056481,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,10340028.717,0.6,471962994.5000001,93439383.2508322,12978982.34875,519.1592939500001,365544628.9004179,52203.42845326869,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3473.725,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215
2023,2071,2021,1,1,0.06940960815137509,0.0,0.268,3333,46935,8757,0.9,172043,0.0,86436.87006333614,0.985593854989444,1446.26422255784,0.14281000000000002,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9080,12000,150,0,0,0,0,0,0.06685528889931398,0.5,96036.12887189184,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,409.89693448058665,892425.0,0.72975,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01635886294965699,61.1,0.65,0.00113,0.06543545179862796,3.91210447011552,19326.057034993268,99.15708695771384,0.1991,74801.3043478261,0.068275126,0.5256897820898271,2.3,0.19651181229148387,0.7687747392960161,0.7789,0.022,0.0347134484125,20,80,0.33757133338626877,139037.28,20,1737.9660000000001,0.049702786622552876,0.01,0.1,0.02,16.3,7.893426062089126,67729.375,0.001,4731.8,9,62870.9161914443,4731800.0,10340028.717,0.6,495673175.4999998,97405634.0217797,17206525.207179304,688.2610082871723,381061016.2710408,54419.32373366734,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3589.106123401112,777.9902730790765,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.07190476293816972,1035,3389,841,129.51755998746472,-339.7958373693404,3927.747582495062,12830.936815425937,182685.9340695378,22814900.0,0.9999995206349137,1.0451633961542335,0.0284,0.0145,0.00844,265.085281993586,2.0,1.4131351747612375,18281.743585764554,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.3025406990449504,2.6,0.0672,42048.01024725847,2.3,120938.08835403403,2.8761905175267883,0.3262703495224752,80,0.662,80,0.0215
2024,2071,2021,1,1,0.06491177461443082,0.0,0.268,3333,49539,9071,0.9,180777,0.0,92788.87040432052,0.9845351882659465,1540.554235445607,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9120,12000,150,0,0,0,0,0,0.04359743150825505,0.5,98326.05483627573,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,411.399071019123,892425.0,0.7559166666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016145622254127523,61.1,0.65,0.00113,0.06458248901651009,3.91210447011552,19790.750904256744,68.98495865391571,0.1991,78598.69565217392,0.022612374,0.5141249704745708,2.3,0.19178720263297933,0.7502915727314294,0.7789,0.022,0.0579212246355912,20,80,0.35630012324752036,139037.28,20,1737.9660000000001,0.04768644220024402,0.01,0.1,0.02,16.3,7.882199616101607,67729.375,0.001,4731.8,9,66932.99056804478,4731800.0,10340028.717,0.6,520095946.00000006,99747746.58409308,30124594.120326314,1204.9837648130526,390223605.2955806,55727.83307226188,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3828.719435785829,831.8983777712807,1161.4880379487834,2.40354609929078,0.7340425531914894,1582.3170372055888,0.5964539007092199,-0.0707069371042309,1035,3389,841,139.78186140741525,-355.7237490850849,4111.860540499635,13024.167850807504,191249.32746509934,22814900.0,0.9999995286204193,1.0134002326561815,0.0284,0.0145,0.00844,282.21237663176777,2.0,1.4154331405652545,19462.92252632881,0.0103,0.001462,0,0.9821330231250913,74895.5914407269,0.973199534687637,0.0,1.3117325622610185,2.6,0.0672,44764.72181055626,2.3,126607.05478189577,2.8282774841692357,0.3308662811305093,80,0.662,80,0.0215
2025,2071,2021,1,1,0.06204394743095461,0.0,0.268,3333,51353,9345,0.9,189505,0.0,99488.87243381944,0.9834185212610301,1641.1330492801528,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9160,12000,150,0,0,0,0,0,0.03327270608420077,0.5,100698.61921331387,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,412.77346519545415,892425.0,0.77875,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016152438292100384,61.1,0.65,0.00113,0.06460975316840153,3.91210447011552,20251.505167926854,54.943285964487416,0.1991,82393.47826086957,0.001935659,0.5039821829898116,2.3,0.18664639864705543,0.7301802104781089,0.7789,0.022,0.08317339087483562,20,80,0.3693469837729852,139037.28,20,1737.9660000000001,0.04584448954962737,0.01,0.1,0.02,16.3,7.906148650431385,67729.375,0.001,4731.8,9,71260.42822050556,4731800.0,10340028.717,0.6,546862965.4999999,102070003.0640239,45484447.184503235,1819.3778873801296,399308515.2514727,57025.24906306283,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3995.653024488935,870.3508115774503,1212.125933130913,2.40354609929078,0.7340425531914894,1651.3019958595046,0.5964539007092199,-0.06938446473701193,1035,3389,841,151.10515110261454,-371.63899450895923,4295.827087065925,13102.520193380313,199805.9110263221,22814900.0,0.9999995374369017,0.9758373426306348,0.0284,0.0145,0.00844,300.4583335845684,2.0,1.4178843872859876,20721.264385142647,0.0103,0.001462,0,1.0241626573693652,75035.37330213432,1.0422846503963892,0.0,1.3215375491439505,2.6,0.0672,47658.90808582809,2.3,132271.51309942524,2.7753785894804768,0.33576877457197524,80,0.662,80,0.0215
2026,2071,2021,1,1,0.05987958772343983,0.09000000000000001,0.268,3333,53438,9752,0.9,198185,0.1,106053.41576384583,0.9823244307060257,1748.5906435088255,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9200,12000,150,0,0,0,0,0,0.0367596860320893,0.5,102652.58219606316,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,414.17639054418845,892425.0,0.8126666666666666,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016163321016044653,61.1,0.65,0.00113,0.06465328406417861,3.91210447011552,20574.69353567822,62.72104085358367,0.1991,86167.39130434784,0.008866088,0.4929509528923527,2.3,0.18101255310195108,0.7081400181371658,0.7789,0.022,0.11084742876088313,20,80,0.38434296183009337,139037.28,20,1737.9660000000001,0.044179587786185984,0.01,0.1,0.02,16.3,7.9195746398567,67729.375,0.001,4731.8,9,75871.00856778267,4731800.0,10340028.717,0.6,572882428.5,103698911.01003094,63502544.18151548,2540.1017672606195,405680973.30845356,57935.29979818026,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4128.617781783586,901.8098162165825,1252.4566430410155,2.40354609929078,0.7340425531914894,1706.245281823992,0.5964539007092199,-0.06791921356708785,1035,3389,841,163.13681311597264,-387.32819515691733,4477.180750469742,13080.639329031952,208240.96513812753,22814900.0,0.9999995472052429,0.9347462396567177,0.0284,0.0145,0.00844,319.89811696215435,2.0,1.4204998357285372,22061.93910083823,0.0103,0.001462,0,1.0652537603432823,75186.47845323694,1.1141940806007442,0.0,1.3319993429141492,2.6,0.0672,50742.45993192792,2.3,137855.51892144044,2.716768542683514,0.34099967145707466,80,0.662,80,0.0215
2027,2071,2021,1,1,0.06333869946519524,0.0,0.268,3333,55481,10146,0.99,206526,0.0,111648.94400345664,0.9813918426660906,1863.7132122933526,0.14281000000000002,0.039999999999999994,94,400000,2,0,18.489,75,0,40,0,0.0,0,9240,12000,150,0,0,0,0,0,0.036744300495974366,0.5,103334.83683687997,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,415.2093643635612,892425.0,0.8455,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016175107497987184,61.1,0.65,0.00113,0.06470042999194874,3.91210447011552,20469.92500618974,64.99943012772358,0.1991,89793.91304347827,0.008788171,0.4773917740506704,2.3,0.17271729655049867,0.6756881079014738,0.7789,0.022,0.15159459554802762,20,80,0.39903686263137483,139037.28,20,1737.9660000000001,0.042687443337152325,0.01,0.1,0.02,16.3,7.9241674171774985,67729.375,0.001,4731.8,9,80784.28216657667,4731800.0,10340028.717,0.6,597339509.0,103170865.11728227,90553441.27171241,3622.137650868496,403615202.61100537,57640.28708487769,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4280.405325078071,937.8152772562125,1298.4965560080077,2.40354609929078,0.7340425531914894,1768.9663226775756,0.5964539007092199,-0.06630515495090653,1035,3389,841,175.1232477157747,-402.61019767005115,4653.827553712955,13020.249183958962,216457.0955215328,22814900.0,0.9999995579656337,0.8951140791833665,0.0284,0.0145,0.00844,340.6141585970811,2.0,1.4232906949296078,23490.6316273849,0.0103,0.001462,0,1.1048859208166335,75349.6152663529,1.1835503614291087,0.0,1.3431627797184318,2.6,0.0672,54028.45274298527,2.3,143294.59723525474,2.652206198036261,0.3465813898592159,80,0.662,80,0.0215
2028,2071,2021,1,1,0.06089325361151549,0.0,0.268,3333,56786,10384,0.99,216215,0.0,116917.80153399605,0.980513699744334,1986.9257404032141,0.14281000000000002,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9280,12000,150,0,0,0,0,0,0.03673493006558108,0.5,103365.75672175789,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,419.2462414313751,892425.0,0.8653333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01618956203279054,61.1,0.65,0.00113,0.06475824813116215,3.91210447011552,20065.476579184044,67.37060367197343,0.1991,94006.52173913045,0.008711612,0.46058880219611126,2.3,0.16137747793248905,0.6313255527956592,0.7789,0.022,0.20729696927185187,20,80,0.4084228345088454,139037.28,20,1737.9660000000001,0.041350871119586206,0.01,0.1,0.02,16.3,7.940881067456007,67729.375,0.001,4731.8,9,86022.21981223815,4731800.0,10340028.717,0.6,626682224.0000002,101132396.77424319,129909325.73174384,5196.373029269755,395640501.49401325,56501.42001836004,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4437.71233370911,975.4775197094558,1346.2089036549537,2.40354609929078,0.7340425531914894,1833.9657528052992,0.5964539007092199,-0.06455873406429714,1035,3389,841,187.03511840995574,-417.4228869346424,4825.049499513338,12926.28991490038,224420.90695410877,22814900.0,0.9999995696084396,0.8571197313340031,0.0284,0.0145,0.00844,362.699094875677,2.0,1.4262680865489654,25013.73068108117,0.0103,0.001462,0,1.142880268665997,75524.73851406868,1.2500404701654948,0.0,1.3550723461958623,2.6,0.0672,57531.58056648669,2.3,148566.64040362,2.5823493625718856,0.3525361730979311,80,0.662,80,0.0215
2029,2071,2021,1,1,0.05853083888742333,0.0,0.268,3333,58170,10710,0.99,225147,0.0,120356.85066863602,0.9799405248885606,2119.4150622279953,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9320,12000,150,0,0,0,0,0,0.03673747492799969,0.5,101219.09042242868,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,422.0986893670961,892425.0,0.8925,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016209643463999845,61.1,0.65,0.00113,0.06483857385599938,3.91210447011552,18922.14943238567,69.85029672577808,0.1991,97890.00000000001,0.008636376,0.43609233137360637,2.3,0.14587487672492697,0.5706777573131373,0.7789,0.022,0.28344736596193576,20,80,0.41837699931989464,139037.28,20,1737.9660000000001,0.04015428820235085,0.01,0.1,0.02,16.3,7.955578355474427,67729.375,0.001,4731.8,9,91607.93524620736,4731800.0,10340028.717,0.6,653778729.0000002,95369891.49825446,185311858.6569923,7412.474346279692,373096978.8447535,53281.979548819254,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4600.76956749433,1014.8496267796262,1395.661793584381,2.40354609929078,0.7340425531914894,1901.3363564772726,0.5964539007092199,-0.06269793305923343,1035,3389,841,198.8498369156158,-431.7147875375639,4990.251576375064,12804.076196152295,232104.72448256117,22814900.0,0.9999995820137796,0.8209093038653517,0.0284,0.0145,0.00844,386.2503812358263,2.0,1.4294436634990069,26637.95732660871,0.0103,0.001462,0,1.1790906961346483,75711.77363247864,1.3134087182356349,0.0,1.3677746539960278,2.6,0.0672,61267.30185120003,2.3,153653.3276074555,2.507917322369337,0.35888732699801396,80,0.662,80,0.0215
2030,2071,2021,1,1,0.056250428727580584,0.0,0.268,3333,59981,11062,0.99,232602,0.0,120859.07548526973,0.9798568207524551,2262.4678725722515,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9360,12000,150,0,0,0,0,0,0.036747914813690934,0.5,95760.9619011303,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,422.6219977286282,892425.0,0.9218333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016233350656845467,61.1,0.65,0.00113,0.06493340262738187,3.91210447011552,16692.66310020443,72.43699921379023,0.1991,101131.3043478261,0.008562427,0.3998589825412046,2.3,0.12467593732169135,0.4877452917120312,0.7789,0.022,0.38757877096627746,20,80,0.4314022828985147,139037.28,20,1737.9660000000001,0.03908356810836816,0.01,0.1,0.02,16.3,7.948359429411613,67729.375,0.001,4731.8,9,97568.28858413943,4731800.0,10340028.717,0.6,674813569.5,84133014.29480882,261543413.89817667,10461.736555927067,329137141.3070145,47004.075150054756,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4769.836955431779,1055.9919514155654,1446.9348837341543,2.40354609929078,0.7340425531914894,1971.1866532030506,0.5964539007092199,-0.06074007081916505,1035,3389,841,209.52528738341837,-445.44551182552965,5148.966937768218,12713.008345482673,239486.83431480083,22814900.0,0.9999995950661945,0.7899463407044223,0.0284,0.0145,0.00844,411.38126911021277,2.0,1.432830949032422,28371.12200760088,0.0103,0.001462,0,1.2134048790607703,75910.62346939425,1.366756098825963,0.0,1.381323796129688,2.6,0.0672,65253.58061748202,2.3,158540.28431639815,2.429602832766602,0.36566189806484406,80,0.662,80,0.0215
