time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Affordability of public transport for the poorest group,change to ticket cost,CAR COST KM,daily walk trips,daily chosen bus,daily chosen railway,Public Transport Ticket Cost,daily chosen car,TCI,emissions per year,enviromental impact on economy,business construction,emission per car petrol,emission per car,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,Mobility space usage,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,0.07329867498259597,0.0,0.268,3333,33333,3333,0.9,3333,0,6923.071607879511,0.9988461547320201,1288.3996120902839,0.14281,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9000,12000,150,0,0,0,0,0,0.025,0.5,23963.444607879504,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,9.236338824702633,892425.0,0.27775,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,615.1323780822528,35.25,0.1991,1449.1304347826087,0.05,0.14464128328280976,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.23974145639212735,139037.28,20,1737.9660000000001,0.05432322317790855,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,55429.802,4731800.0,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215
2022,2071,2021,1,1,0.07137546113464274,0.0,0.268,3333,35179,4546,0.9,156911,0,79744.0124245734,0.9867093312625711,1357.9917235949872,0.14281000000000002,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9040,12000,150,0,0,0,0,0,0.0262307215,0.5,93157.31128759493,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,392.2098159641441,892425.0,0.37883333333333336,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,18615.376689820117,37.909950247875,0.1991,68222.17391304349,0.052461443,0.5349262168946309,2.3,0.19798031697341512,0.7745196830265849,0.7789,0.022,0.027499999999999997,20,80,0.2530184710172696,139037.28,20,1737.9660000000001,0.05190932342173987,0.01,0.1,0.02,16.3,8.274549904085756,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,10340028.717,0.6,473904283.50000006,93823720.2623892,13032367.79625,521.2947118500001,367048195.4413609,52418.152790980756,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3473.725,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215
2023,2071,2021,1,1,0.06940964314350616,0.0,0.268,3333,37182,4765,0.9,164418,0,86626.08714220776,0.9855623188096321,1446.2125068372955,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9080,12000,150,0,0,0,0,0,0.06685528889931398,0.5,96225.57717177231,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,391.7498482903469,892425.0,0.39708333333333334,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01635886294965699,61.1,0.65,0.00113,0.06543545179862796,3.91210447011552,19375.245662088044,99.15708695771384,0.1991,71486.08695652174,0.068275126,0.5267267984361889,2.3,0.19651181229148387,0.7687747392960161,0.7789,0.022,0.0347134484125,20,80,0.2674246791939543,139037.28,20,1737.9660000000001,0.049702786622552876,0.01,0.1,0.02,16.3,8.28051125789147,67729.375,0.001,4731.8,9,62870.68497043547,4731800.0,10340028.717,0.6,496934761.49999994,97653550.5730013,17250319.20770824,690.0127683083297,382030891.71929044,54557.83164643188,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3589.106123401112,777.9898808635805,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.07190502738402128,1035,3389,841,129.51751310246897,-339.7958373693404,3927.747582495062,12830.936815403316,182685.9340695378,22814900.0,0.9999995206331508,1.0451633961542335,0.0284,0.0145,0.00844,265.0843070867445,2.0,1.4131350568822119,18281.676350809965,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.3025402275288476,2.6,0.0672,42047.85560686292,2.3,120938.08835403403,2.8762010953608512,0.3262701137644238,80,0.662,80,0.0215
2024,2071,2021,1,1,0.06491182753158406,0.0,0.268,3333,39375,5130,0.9,172171,0,93105.95646778149,0.9844823405887031,1540.4619790240652,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9120,12000,150,0,0,0,0,0,0.0435954738953236,0.5,98643.54661840388,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,391.83435317137673,892425.0,0.4275,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0161446434476618,61.1,0.65,0.00113,0.0645785737906472,3.91210447011552,19872.647522978008,68.98186108962203,0.1991,74856.95652173914,0.022612374,0.5157850640620778,2.3,0.19178720263297933,0.7502915727314294,0.7789,0.022,0.0579212246355912,20,80,0.28319742733747383,139037.28,20,1737.9660000000001,0.04768644220024966,0.01,0.1,0.02,16.3,8.310440782710213,67729.375,0.001,4731.8,9,66932.58484937761,4731800.0,10340028.717,0.6,522248168.50000006,100160515.31681184,30249253.483214587,1209.9701393285836,391838399.6999736,55958.44186115324,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3828.717887003682,831.8976995945045,1161.4880379487834,2.40354609929078,0.7340425531914894,1582.3170372055888,0.5964539007092199,-0.07070736570150958,1035,3389,841,139.78177325159123,-355.72374908504275,4111.860540499149,13024.167844843643,191249.3274650767,22814900.0,0.999999528617562,1.0134002321951538,0.0284,0.0145,0.00844,282.21066598312746,2.0,1.4154329336431934,19462.804550560515,0.0103,0.001462,0,0.9821330237397948,74895.59139384191,0.9731995356096923,0.0,1.3117317345727741,2.6,0.0672,44764.45046628918,2.3,126607.05478188078,2.828294628060383,0.3308658672863871,80,0.662,80,0.0215
2025,2071,2021,1,1,0.06204414600781166,0.0,0.268,3333,40592,5238,0.9,181116,0,100101.5397986175,0.9833164100335637,1640.9457089677935,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9160,12000,150,0,0,0,0,0,0.03327143714203718,0.5,101312.00368369209,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,394.518793533084,892425.0,0.4365,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01615180382101859,61.1,0.65,0.00113,0.06460721528407436,3.91210447011552,20408.561025801893,54.941087497344355,0.1991,78746.08695652174,0.001935659,0.5070520845270718,2.3,0.1866466294795612,0.7301811135189866,0.7789,0.022,0.0831722570014521,20,80,0.2919504754408314,139037.28,20,1737.9660000000001,0.04584448955100082,0.01,0.1,0.02,16.3,8.33649263455465,67729.375,0.001,4731.8,9,71259.7111149254,4731800.0,10340028.717,0.6,551103353.0,102861583.33233483,45836509.71007798,1833.4603884031194,402405259.9575872,57467.49517454303,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3995.6444816157446,870.3480259556015,1212.12365938691,2.40354609929078,0.7340425531914894,1651.2988982952108,0.5964539007092199,-0.06938516296940628,1035,3389,841,151.1049839761345,-371.63899449782537,4295.827086937227,13102.520168590467,199805.91102033615,22814900.0,0.9999995374322469,0.9758373408181371,0.0284,0.0145,0.00844,300.4553100222211,2.0,1.4178840214608786,20721.055863601454,0.0103,0.001462,0,1.0241626591818629,75035.37316709351,1.0422846535682602,0.0,1.3215360858435141,2.6,0.0672,47658.42848628334,2.3,132271.51309546255,2.775406518776251,0.3357680429217571,80,0.662,80,0.0215
2026,2071,2021,1,1,0.05987991060189306,0.0,0.268,3333,42245,5374,0.9,189315,0,106692.19540887872,0.9822179674318535,1748.3691524571877,0.14281,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9200,12000,150,0,0,0,0,0,0.03675755585984658,0.5,103292.7128119795,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,395.6568753063914,892425.0,0.44783333333333336,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01616225592992329,61.1,0.65,0.00113,0.06464902371969317,3.91210447011552,20737.208618411198,62.71721158807368,0.1991,82310.86956521739,0.008866088,0.49602494282842474,2.3,0.18101307559726748,0.7081420621934287,0.7789,0.022,0.11084486220930385,20,80,0.30383937315229415,139037.28,20,1737.9660000000001,0.04417958779268559,0.01,0.1,0.02,16.3,8.35609328368064,67729.375,0.001,4731.8,9,75869.65759689923,4731800.0,10340028.717,0.6,577405837.0000001,104518006.42318453,64002470.44111277,2560.098817644511,408885360.13570285,58392.91828097973,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4128.6031496339,901.8049535680642,1252.4527555285779,2.40354609929078,0.7340425531914894,1706.2399857925552,0.5964539007092199,-0.06792042295862527,1035,3389,841,163.13647584353603,-387.3281950999344,4477.180749811068,13080.639269285626,208240.96510749156,22814900.0,0.9999995471971803,0.9347462355322824,0.0284,0.0145,0.00844,319.89242080693185,2.0,1.4204991464588785,22061.546262547025,0.0103,0.001462,0,1.0652537644677176,75186.47815106965,1.1141940878185057,0.0,1.331996585835514,2.6,0.0672,50741.55640385815,2.3,137855.51890115943,2.7168169183450104,0.340998292917757,80,0.662,80,0.0215
2027,2071,2021,1,1,0.05758111950424234,0.0,0.268,3333,43888,5596,0.9,197368,0,112534.57937000743,0.9812442367716654,1863.3832218393127,0.14281000000000002,0.039999999999999994,94,400000,2,0,18.489,75,0,40,0,0.0,0,9240,12000,150,0,0,0,0,0,0.03674017847348288,0.5,104222.56529296297,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,396.81431436411367,892425.0,0.4663333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016173046486741442,61.1,0.65,0.00113,0.06469218594696577,3.91210447011552,20692.299089741136,64.9918031437164,0.1991,85812.17391304349,0.008788171,0.48149294937651477,2.3,0.17271849180080426,0.6756927838455371,0.7789,0.022,0.1515887243536587,20,80,0.31565634770760764,139037.28,20,1737.9660000000001,0.04268744335483546,0.01,0.1,0.02,16.3,8.381873961331118,67729.375,0.001,4731.8,9,80782.18907704444,4731800.0,10340028.717,0.6,603824500.5000001,104291657.038734,91532985.76428017,3661.319430571207,407999857.696986,58266.45967770658,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4280.379598562854,937.8074004973367,1298.4898576517382,2.40354609929078,0.7340425531914894,1768.957197380629,0.5964539007092199,-0.06630687290889292,1035,3389,841,175.12269144532678,-402.6101975032712,4653.8275517851225,13020.2490486856,216457.09543186618,22814900.0,0.9999995579541806,0.8951140702646643,0.0284,0.0145,0.00844,340.60533341586057,2.0,1.4232896267283406,23490.02299419728,0.0103,0.001462,0,1.1048859297353357,75349.61462691319,1.1835503770368376,0.0,1.3431585069133625,2.6,0.0672,54027.052886653735,2.3,143294.5971758954,2.6522749163557164,0.3465792534566813,80,0.662,80,0.0215
2028,2071,2021,1,1,0.05535825871048844,0.0,0.268,3333,45807,5758,0.9,205200,0,117219.50213856336,0.9804634163102395,1986.7477184433894,0.14281000000000002,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9280,12000,150,0,0,0,0,0,0.03673061587620802,0.5,103670.65490323065,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,397.90629404808453,892425.0,0.47983333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016187404938104007,61.1,0.65,0.00113,0.06474961975241603,3.91210447011552,20140.41267343717,67.36207627481535,0.1991,89217.39130434784,0.008711612,0.46194740237536264,2.3,0.1613803844352049,0.6313369233379262,0.7789,0.022,0.2072826922268689,20,80,0.32945840137263904,139037.28,20,1737.9660000000001,0.04135087116064678,0.01,0.1,0.02,16.3,8.398238791423003,67729.375,0.001,4731.8,9,86019.0222353327,4731800.0,10340028.717,0.6,629011289.0,101510083.63290377,130383153.4250131,5215.326137000525,397118051.9420832,56712.4289978489,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4437.667841615834,975.4642081935447,1346.1966067678704,2.40354609929078,0.7340425531914894,1833.9490005243454,0.5964539007092199,-0.06456113383585033,1035,3389,841,187.0342187146013,-417.42288652015003,4825.049494722162,12926.28964609408,224420.90673126339,22814900.0,0.9999995695924411,0.8571197143747413,0.0284,0.0145,0.00844,362.6856127980006,2.0,1.426266454292553,25012.80088262073,0.0103,0.001462,0,1.1428802856252587,75524.73731835852,1.2500404998442027,0.0,1.3550658171702124,2.6,0.0672,57529.442030027676,2.3,148566.64025609638,2.582445353434013,0.35253290858510616,80,0.662,80,0.0215
2029,2071,2021,1,1,0.053210817785324674,0.0,0.268,3333,46975,5913,0.9,213060,0,120414.50815302848,0.9799309153078286,2119.3043598124314,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9320,12000,150,0,0,0,0,0,0.03673147871494781,0.5,101280.51133638129,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,399.45711148148587,892425.0,0.49275,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016206645357473903,61.1,0.65,0.00113,0.06482658142989561,3.91210447011552,18936.994164806612,69.83796734794286,0.1991,92634.78260869566,0.008636376,0.43635695815513204,2.3,0.1458806714460137,0.5707004268674036,0.7789,0.022,0.2834189016865826,20,80,0.3378590260108656,139037.28,20,1737.9660000000001,0.04015428828650637,0.01,0.1,0.02,16.3,8.413163428142306,67729.375,0.001,4731.8,9,91604.17181664718,4731800.0,10340028.717,0.6,654265639.0,95444710.7213752,185431248.81665015,7417.249952666007,373389679.4619746,53323.78012396461,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4600.702696514896,1014.8312363448205,1395.6432372249158,2.40354609929078,0.7340425531914894,1901.3110767991607,0.5964539007092199,-0.0627005087849066,1035,3389,841,198.8487215252676,-431.7147866327743,4990.251565916476,12804.07569865611,232104.72399611515,22814900.0,0.9999995819966081,0.820909273703879,0.0284,0.0145,0.00844,386.23451332985877,2.0,1.4294417411872753,26636.86298826612,0.0103,0.001462,0,1.179090726296121,75711.77153707312,1.3134087710182119,0.0,1.3677669647491015,2.6,0.0672,61264.78487301207,2.3,153653.32728542824,2.508020351396264,0.3588834823745508,80,0.662,80,0.0215
2030,2071,2021,1,1,0.05113797207940352,0.0,0.268,3333,48710,6130,0.9,220255,0,121183.97834934715,0.9798026702751088,2262.244713752497,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9360,12000,150,0,0,0,0,0,0.03674583258178008,0.5,96089.9543306464,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,400.20631673433786,892425.0,0.5108333333333334,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01623230954089004,61.1,0.65,0.00113,0.06492923816356017,3.91210447011552,16767.274651487794,72.4315127699653,0.1991,95763.04347826088,0.008562427,0.4012327232760046,2.3,0.12468732057562845,0.48778982419064293,0.7789,0.022,0.3875228552337286,20,80,0.35033769360275174,139037.28,20,1737.9660000000001,0.03908356826709025,0.01,0.1,0.02,16.3,8.430675353567453,67729.375,0.001,4731.8,9,97564.19901870075,4731800.0,10340028.717,0.6,677767915.9999998,84509065.41816759,262650557.99413383,10506.022319765354,330608292.58769834,47214.17026444921,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4769.743897616345,1055.9667856236558,1446.9072770867037,2.40354609929078,0.7340425531914894,1971.1490441471035,0.5964539007092199,-0.06074261659343037,1035,3389,841,209.52401900550007,-445.44551001653304,5148.966916857773,12713.007733635935,239486.833342222,22814900.0,0.9999995950492228,0.7899463059076449,0.0284,0.0145,0.00844,411.3640261038561,2.0,1.432828858497468,28369.93283474869,0.0103,0.001462,0,1.2134049254564734,75910.62025859838,1.366756156820592,0.0,1.3813154339898719,2.6,0.0672,65250.84551992198,2.3,158540.28367255098,2.4297046637372146,0.365657716994936,80,0.662,80,0.0215
