time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Affordability of public transport for the poorest group,change to ticket cost,CAR COST KM,daily walk trips,daily chosen bus,daily chosen railway,Public Transport Ticket Cost,daily chosen car,TCI,emissions per year,enviromental impact on economy,business construction,emission per car petrol,emission per car,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,Mobility space usage,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,0.07329867498259597,0.0,0.268,3333,33333,3333,0.9,3333,0,6923.071607879511,0.9988461547320201,1288.3996120902839,0.14281,0.04000000000000001,94,400000,2.0,0,18.489,75,0.0,40,0,0.0,0,9000,12000.0,150.0,0,0.0,0,0,0,0.025,0.5,23963.444607879504,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,9.236338824702633,892425.0,0.27775,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,615.1323780822528,35.25,0.1991,1449.1304347826087,0.05,0.14464128328280976,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.23974145639212735,139037.28,20,1737.9660000000001,0.05432322317790855,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,55429.802,4731800.0,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215
2022,2071,2021,1,1,0.07137546113464274,0.0,0.268,3333,35183,4621,0.9,156475,0,79554.61671568347,0.9867408972140528,1358.0351672916274,0.14281000000000002,0.04000000000000001,94,400000,2.0,0,18.489,75,0.0,40,0,0.0,0,9040,12000.0,150.0,0,0.0,0,0,0,0.0262307215,0.5,92967.91557870498,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,391.1212980239806,892425.0,0.38508333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,18566.104366057156,37.909950247875,0.1991,68032.60869565218,0.052461443,0.533838672303098,2.3,0.19798031697341512,0.7745196830265849,0.7789,0.022,0.027499999999999997,20,80,0.2530472402797293,139037.28,20,1737.9660000000001,0.05190932342173987,0.01,0.1,0.02,16.3,8.275643393513343,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,10340028.717,0.6,472649924.5000002,93575381.86997075,12997872.923750004,519.9149169500002,366076669.70627946,52279.40920075378,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3473.725,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215
2023,2071,2021,1,1,0.0694096205333953,0.0,0.268,3333,37096,4811,0.9,164505,0,86792.8396732823,0.9855345267211196,1446.1752393338832,0.14281000000000002,0.04,94,400000,2.0,0,18.489,75,0.0,40,0,0.0,0,9080,12000.0,150.0,0,0.0,0,0,0,0.06685528889931398,0.5,96392.1802999741,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,391.95690356884546,892425.0,0.40091666666666664,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01635886294965699,61.1,0.65,0.00113,0.06543545179862796,3.91210447011552,19418.50273618748,99.15708695771384,0.1991,71523.91304347827,0.068275126,0.5276387631643455,2.3,0.19651181229148387,0.7687747392960161,0.7789,0.022,0.0347134484125,20,80,0.2668061400510712,139037.28,20,1737.9660000000001,0.049702786622552876,0.01,0.1,0.02,16.3,8.294609282392635,67729.375,0.001,4731.8,9,62870.83437330821,4731800.0,10340028.717,0.6,498044215.5000002,97871571.38919538,17288832.181903288,691.5532872761315,382883811.9289015,54679.63718156643,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3589.106123401112,777.9901342929656,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.07190485651277768,1035,3389,841,129.51754339709092,-339.7958373693404,3927.747582495062,12830.936815417932,182685.9340695378,22814900.0,0.9999995206342899,1.0451633961542335,0.0284,0.0145,0.00844,265.08493702034576,2.0,1.4131351330494475,18281.719794506604,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.3025405321977903,2.6,0.0672,42047.955527365186,2.3,120938.08835403403,2.8761942605111073,0.32627026609889515,80,0.662,80,0.0215
2024,2071,2021,1,1,0.06491182504383487,0.0,0.268,3333,38871,4989,0.9,172530,0,93391.33854432307,0.9844347769092795,1540.3880036834369,0.14281000000000002,0.04000000000000001,94,400000,2.0,0,18.489,75,0.0,40,0,0.0,0,9120,12000.0,150.0,0,0.0,0,0,0,0.04359673880199082,0.5,98928.9096213586,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,392.6504969904681,892425.0,0.41575,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016145275900995407,61.1,0.65,0.00113,0.06458110360398163,3.91210447011552,19946.256562221435,68.98386257299204,0.1991,75013.04347826088,0.022612374,0.5172771634421359,2.3,0.19178720263297933,0.7502915727314294,0.7789,0.022,0.0579212246355912,20,80,0.27957250026755415,139037.28,20,1737.9660000000001,0.04768644220024602,0.01,0.1,0.02,16.3,8.323866573929168,67729.375,0.001,4731.8,9,66932.60392296447,4731800.0,10340028.717,0.6,524182595.4999997,100531513.65983948,30361297.864022717,1214.451914560909,393289783.97613746,56165.7140496322,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3828.7188877453664,831.8977314770286,1161.4880379487834,2.40354609929078,0.7340425531914894,1582.3170372055888,0.5964539007092199,-0.07070734555224538,1035,3389,841,139.78177739003232,-355.7237490850699,4111.860540499463,13024.167848674877,191249.3274650913,22814900.0,0.9999995286176964,1.0134002324930456,0.0284,0.0145,0.00844,282.210746403892,2.0,1.4154329434202326,19462.81009682014,0.0103,0.001462,0,0.9821330233426058,74895.59142413652,0.9731995350139087,0.0,1.3117317736809306,2.6,0.0672,44764.46322268632,2.3,126607.05478189045,2.828293822089815,0.33086588684046536,80,0.662,80,0.0215
2025,2071,2021,1,1,0.0620440978112076,0.0,0.268,3333,40437,5116,0.9,181213,0,100221.1069587044,0.9832964821735493,1640.9068893686938,0.14281000000000002,0.04,94,400000,2.0,0,18.489,75,0.0,40,0,0.0,0,9160,12000.0,150.0,0,0.0,0,0,0,0.03327032389301758,0.5,101431.8064479556,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,394.7298679267803,892425.0,0.42633333333333334,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01615124719650879,61.1,0.65,0.00113,0.06460498878603516,3.91210447011552,20439.230412309033,54.939315780464746,0.1991,78788.26086956523,0.001935659,0.5076516802132033,2.3,0.18664648032771874,0.7301805300213969,0.7789,0.022,0.08317298965088425,20,80,0.29083566652051884,139037.28,20,1737.9660000000001,0.04584448955011849,0.01,0.1,0.02,16.3,8.344558061507726,67729.375,0.001,4731.8,9,71259.47551074882,4731800.0,10340028.717,0.6,551931975.9999999,103016160.70072292,45905832.527840085,1836.2333011136036,403009982.77143687,57553.85563958891,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3995.6484054463044,870.3487020524534,1212.125128560873,2.40354609929078,0.7340425531914894,1651.3008997785807,0.5964539007092199,-0.06938539237790571,1035,3389,841,151.10492902348903,-371.638994504978,4295.827087019905,13102.52017486832,199805.91102418164,22814900.0,0.9999995374307175,0.9758373412684047,0.0284,0.0145,0.00844,300.45431663444543,2.0,1.4178839014076348,20720.987354099685,0.0103,0.001462,0,1.0241626587315953,75035.37320152656,1.0422846527802918,0.0,1.3215356056305396,2.6,0.0672,47658.270914429275,2.3,132271.51309800826,2.7754156951162283,0.3357678028152698,80,0.662,80,0.0215
2026,2071,2021,1,1,0.05987993962849131,0.0,0.268,3333,41793,5271,0.9,190025,0,107025.30375999642,0.982162449373334,1748.2616730346665,0.14281000000000002,0.04,94,400000,2.0,0,18.489,75,0.1,40,0,0.0,0,9200,12000.0,150.0,0,0.2,0,0,0,0.03675564415436075,0.5,103626.1868516145,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,397.13927166404306,892425.0,0.43925,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016161300077180377,61.1,0.65,0.00113,0.0646452003087215,3.91210447011552,20821.86126026835,62.71395820494806,0.1991,82619.56521739131,0.008866088,0.4976263281969085,2.3,0.1810130653185904,0.7081420219821701,0.7789,0.022,0.11084491269923943,20,80,0.3005884464943503,139037.28,20,1737.9660000000001,0.04417958779055692,0.01,0.1,0.02,16.3,8.358855940007892,67729.375,0.001,4731.8,9,75869.2919083819,4731800.0,10340028.717,0.6,579762933.9999999,104944665.84143959,64263771.8054849,2570.5508722193963,410554496.3530754,58631.28762418271,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4128.6020746874065,901.8045164211624,1252.4529241869589,2.40354609929078,0.7340425531914894,1706.2402155590455,0.5964539007092199,-0.06792075033702079,1035,3389,841,163.13638453586364,-387.32819511859674,4477.180750026789,13080.639265100739,208240.96511752508,22814900.0,0.9999995471949977,0.9347462351902311,0.0284,0.0145,0.00844,319.89087893909203,2.0,1.420498959990855,22061.439926833933,0.0103,0.001462,0,1.0652537648097689,75186.47813055005,1.1141940884170956,0.0,1.3319958399634204,2.6,0.0672,50741.31183171804,2.3,137855.5189078016,2.7168300134808314,0.3409979199817102,80,0.662,80,0.0215
2027,2071,2021,1,1,0.057581283007757826,0.0,0.268,3333,44056,5498,0.9,197609,0,112540.18939255994,0.9812433017679066,1863.3641198753314,0.14281000000000002,0.04,94,400000,2.2,0,18.489,75,0.0,40,0,0.0,0,9240,13200.000000000002,165.0,0,0.0,0,0,0,0.03673937266772362,0.5,104228.90532328337,73.6250625,22.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,397.30763432783215,981667.5,0.41651515151515145,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01617264358386181,61.1,0.65,0.00113,0.06469057433544724,3.91210447011552,20692.22525729161,64.99026662204048,0.1991,85916.95652173914,0.008788171,0.48152223937324307,2.3,0.1727189091330266,0.6756944164927897,0.7789,0.022,0.15158667437418372,20,80,0.3168646567309142,139037.28,20,1737.9660000000001,0.042687443353728274,0.01,0.1,0.02,16.3,8.371601495883281,67729.375,0.001,4731.8,9,80781.45906927658,4731800.0,10340028.717,0.6,603820886.9999998,104291284.91437648,91531200.17799975,3661.2480071199902,407998401.9076235,58266.25177642772,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4280.371569543061,937.8047375694056,1298.4876381884633,2.40354609929078,0.7340425531914894,1768.9541737639936,0.5964539007092199,-0.06630747211410379,1035,3389,841,175.1224974212982,-402.61019751371373,4653.827551905829,13020.249024702436,216457.09543748043,22814900.0,0.9999995579501859,0.8951140685962324,0.0284,0.0145,0.00844,340.6022554534779,2.0,1.4232892543662525,23489.81072092951,0.0103,0.001462,0,1.1048859314037676,75349.61451508591,1.1835503799565934,0.0,1.3431570174650105,2.6,0.0672,54026.56465813787,2.3,143294.59717961206,2.6522988845641513,0.34657850873250523,80,0.662,80,0.0215
2028,2071,2021,1,1,0.05535845768937686,0.0,0.268,3333,45147,6510,0.9,205217,0,117289.3892448755,0.9804517684591875,1986.705424442131,0.14281000000000002,0.04,94,400000,2.2,0,18.489,75,0.0,40,0,0.0,0,9280,13200.000000000002,165.0,0,0.0,0,0,0,0.03672837095570375,0.5,103741.32712385216,73.6250625,22.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,397.9481409145226,981667.5,0.4931818181818181,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016186282477851876,61.1,0.65,0.00113,0.0647451299114075,3.91210447011552,20156.145190660853,67.35779171864878,0.1991,89224.78260869566,0.008711612,0.4622623116688092,2.3,0.1613812037662614,0.6313401286466148,0.7789,0.022,0.20727866758712377,20,80,0.3247114730667919,139037.28,20,1737.9660000000001,0.041350871164055523,0.01,0.1,0.02,16.3,8.404060092487466,67729.375,0.001,4731.8,9,86018.23712102334,4731800.0,10340028.717,0.6,629499440.0000001,101589377.39738746,130481805.1700406,5219.272206801624,397428257.43257207,56756.729443945624,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4437.654748766639,975.4607020123404,1346.1932594323016,2.40354609929078,0.7340425531914894,1833.944440386034,0.5964539007092199,-0.06456172309940536,1035,3389,841,187.03399786331286,-417.4228864857399,4825.049494324411,12926.289576598741,224420.90671276333,22814900.0,0.9999995695885127,0.8571197098406502,0.0284,0.0145,0.00844,362.68230248759477,2.0,1.4262660534963705,25012.57258535136,0.0103,0.001462,0,1.1428802901593498,75524.7370125072,1.2500405077788623,0.0,1.3550642139854818,2.6,0.0672,57528.91694630813,2.3,148566.64024384934,2.582468923976214,0.35253210699274096,80,0.662,80,0.0215
2029,2071,2021,1,1,0.05321112803744539,0.0,0.268,3333,46770,6427,0.9,212907,0,120546.81460295142,0.9799088642328414,2119.234708516212,0.14281000000000002,0.04,94,400000,2.2,0,18.489,75,0.0,40,0,0.0,0,9320,13200.000000000002,165.0,0,0.0,0,0,0,0.036731430544033494,0.5,101413.73696552645,73.6250625,22.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,399.1791261692261,981667.5,0.4868939393939393,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016206621272016747,61.1,0.65,0.00113,0.06482648508806699,3.91210447011552,18967.155295117907,69.837550881769,0.1991,92568.26086956523,0.008636376,0.436930947624672,2.3,0.1458827390233793,0.570708515446058,0.7789,0.022,0.28340874553056267,20,80,0.33638460130980696,139037.28,20,1737.9660000000001,0.04015428830165487,0.01,0.1,0.02,16.3,8.432499166302659,67729.375,0.001,4731.8,9,91603.25263742497,4731800.0,10340028.717,0.6,655298406.5,95596726.41787583,185717299.3343417,7428.691973373669,373984380.74778247,53408.70941459083,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4600.681248747424,1014.8253192828288,1395.636744842799,2.40354609929078,0.7340425531914894,1901.3022321046828,0.5964539007092199,-0.0627011379201874,1035,3389,841,198.84844915178633,-431.7147864699067,4990.251564033866,12804.075572771211,232104.7239085519,22814900.0,0.9999995819924139,0.8209092659461423,0.0284,0.0145,0.00844,386.2306377559355,2.0,1.4294412716561131,26636.595707305896,0.0103,0.001462,0,1.1790907340538577,75711.77101037052,1.313408784594251,0.0,1.3677650866244526,2.6,0.0672,61264.170126803554,2.3,153653.32722746138,2.508045516807496,0.35888254331222635,80,0.662,80,0.0215
2030,2071,2021,1,1,0.05113828041265386,0.0,0.268,3333,48484,6989,0.9,219961,0,121077.39573071925,0.9798204340448802,2262.258245235379,0.14281000000000002,0.04000000000000001,94,400000,2.2,0,18.489,75,0.0,40,0,0.0,0,9360,13200.000000000002,165.0,0,0.0,0,0,0,0.03674534961420453,0.5,95984.51709394969,73.6250625,22.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,399.68091832012476,981667.5,0.5294696969696969,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016232068057102266,61.1,0.65,0.00113,0.06492827222840906,3.91210447011552,16742.173387105842,72.43022046430443,0.1991,95635.21739130435,0.008562427,0.4007924604419412,2.3,0.12469017539742143,0.48780099255174064,0.7789,0.022,0.3875088320508379,20,80,0.3487122302737798,139037.28,20,1737.9660000000001,0.039083568301590564,0.01,0.1,0.02,16.3,8.429112888193817,67729.375,0.001,4731.8,9,97563.05363676956,4731800.0,10340028.717,0.6,676737776.5,84382552.04984598,262241865.376196,10489.674615047843,330113359.07395804,47143.488809351955,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4769.721011661459,1055.960418775404,1446.9004790006934,2.40354609929078,0.7340425531914894,1971.1397829864518,0.5964539007092199,-0.06074332965295001,1035,3389,841,209.52366390096014,-445.4455096233241,5148.966912312616,12713.007581110542,239486.83313081934,22814900.0,0.999999595044469,0.7899462971312629,0.0284,0.0145,0.00844,411.3591967819595,2.0,1.4328282731681286,28369.59977806617,0.0103,0.001462,0,1.2134049371583162,75910.6194595223,1.3667561714478955,0.0,1.3813130926725148,2.6,0.0672,65250.07948955219,2.3,158540.28353260242,2.4297331861180003,0.3656565463362574,80,0.662,80,0.0215
