time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Affordability of public transport for the poorest group,change to ticket cost,CAR COST KM,daily walk trips,daily chosen bus,daily chosen railway,Public Transport Ticket Cost,daily chosen car,TCI,emissions per year,enviromental impact on economy,business construction,emission per car petrol,emission per car,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,Mobility space usage,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,0.07329867498259597,0.0,0.268,3333,33333,3333,0.9,3333,0,6923.071607879511,0.9988461547320201,1288.3996120902839,0.14281,0.04000000000000001,94,400000,2,0,18.489,75.0,0,40,0.0,0.0,0.0,9000,12000.0,150.0,0,0,0,0,0,0.025,0.5,23963.444607879504,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,9.236338824702633,892425.0,0.27775,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,615.1323780822528,35.25,0.1991,1449.1304347826087,0.05,0.14464128328280976,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.23974145639212735,139037.28,20,1737.9660000000001,0.05432322317790855,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,55429.802,4731800.0,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215
2022,2071,2021,1,1,0.07137546113464274,0.0,0.268,3333,35154,4664,0.9,156403,0,79671.99289585974,0.9867213345173567,1358.0082434759072,0.14281000000000002,0.04,94,400000,2,0,18.489,75.0,0,40,0.0,0.0,0.0,9040,12000.0,150.0,0,0,0,0,0,0.0262307215,0.5,93085.29175888124,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,390.9415427678069,892425.0,0.38866666666666666,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,18596.64041772169,37.909950247875,0.1991,68001.3043478261,0.052461443,0.534512667668007,2.3,0.19798031697341512,0.7745196830265849,0.7789,0.022,0.027499999999999997,20,80,0.2528386631268966,139037.28,20,1737.9660000000001,0.05190932342173987,0.01,0.1,0.02,16.3,8.293070465400278,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,10340028.717,0.6,473427301.49999994,93729287.21483855,13019250.791249996,520.7700316499999,366678763.4939114,52365.394214565495,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3473.725,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215
2023,2071,2021,1,1,0.06940963454578099,0.0,0.268,3333,36979,4810,0.9,164415,0,86833.57570124218,0.9855277373831263,1446.163098545754,0.14281,0.04,94,400000,2,0,18.489,75.0,0,40,0.0,0.0,0.0,9080,12000.0,150.0,0,0,0,0,0,0.06685528889931398,0.5,96433.00891893625,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,391.7427084531574,892425.0,0.4008333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01635886294965699,61.1,0.65,0.00113,0.06543545179862796,3.91210447011552,19429.103537114122,99.15708695771384,0.1991,71484.78260869566,0.068275126,0.5278622539282629,2.3,0.19651181229148387,0.7687747392960161,0.7789,0.022,0.0347134484125,20,80,0.26596463912412555,139037.28,20,1737.9660000000001,0.049702786622552876,0.01,0.1,0.02,16.3,8.30368032113858,67729.375,0.001,4731.8,9,62870.74178230595,4731800.0,10340028.717,0.6,498316103.9999999,97925000.69107153,17298270.36932198,691.9308147728792,383092832.93960637,54709.48747210519,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3589.106123401112,777.9899772326686,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.07190496240850189,1035,3389,841,129.51752462228853,-339.7958373693404,3927.747582495062,12830.936815408875,182685.9340695378,22814900.0,0.999999520633584,1.0451633961542335,0.0284,0.0145,0.00844,265.0845466250178,2.0,1.4131350858455312,18281.692870690884,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.3025403433821252,2.6,0.0672,42047.89360258903,2.3,120938.08835403403,2.8761984963400753,0.32627017169106265,80,0.662,80,0.0215
2024,2071,2021,1,1,0.06491184239101051,0.0,0.268,3333,39056,5015,0.9,172259,0,93280.29745030402,0.9844532837582827,1540.4138273930887,0.14281,0.04,94,400000,2,0,18.489,75.0,0,40,0.0,0.0,0.0,9120,12000.0,150.0,0,0,0,0,0,0.04359595488817487,0.5,98818.00152794266,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,392.0344107092001,892425.0,0.41791666666666666,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016144883944087435,61.1,0.65,0.00113,0.06457953577634974,3.91210447011552,19917.647954531803,68.98262217280538,0.1991,74895.21739130435,0.022612374,0.5166972498033205,2.3,0.19178720263297933,0.7502915727314294,0.7789,0.022,0.0579212246355912,20,80,0.28090307865631436,139037.28,20,1737.9660000000001,0.04768644220024827,0.01,0.1,0.02,16.3,8.325004208778646,67729.375,0.001,4731.8,9,66932.47092236136,4731800.0,10340028.717,0.6,523430768.5000003,100387322.86264566,30317751.123468652,1212.7100449387463,392725694.513886,56085.15643352806,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3828.7182675452736,831.8975091589502,1161.4880379487834,2.40354609929078,0.7340425531914894,1582.3170372055888,0.5964539007092199,-0.0707074860538472,1035,3389,841,139.78174849196282,-355.7237490850531,4111.860540499269,13024.167846289394,191249.32746508226,22814900.0,0.9999995286167597,1.0134002323084301,0.0284,0.0145,0.00844,282.2101856278685,2.0,1.4154328755821386,19462.77142261162,0.0103,0.001462,0,0.9821330235887598,74895.59140536173,0.9731995353831396,0.0,1.3117315023285543,2.6,0.0672,44764.37427200672,2.3,126607.05478188446,2.828299442153888,0.3308657511642772,80,0.662,80,0.0215
2025,2071,2021,1,1,0.062044149260857454,0.0,0.268,3333,40494,5154,0.9,181155,0,100289.24804630487,0.9832851253256158,1640.8869390205991,0.14281000000000005,0.04,94,400000,2,0,18.489,75.0,0,40,0.0,0.0,0.0,9160,12000.0,150.0,0,0,0,0,0,0.03327005009506956,0.5,101499.98979991293,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,394.6036584956865,892425.0,0.4295,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016151110297534778,61.1,0.65,0.00113,0.06460444119013911,3.91210447011552,20456.690650200617,54.938822389490475,0.1991,78763.04347826088,0.001935659,0.5079929281413758,2.3,0.1866465727631474,0.7301808916384506,0.7789,0.022,0.08317253559840196,20,80,0.29124562851056923,139037.28,20,1737.9660000000001,0.045844489550667854,0.01,0.1,0.02,16.3,8.354356214291633,67729.375,0.001,4731.8,9,71259.43324639194,4731800.0,10340028.717,0.6,552403191.0000002,103104162.38357635,45944774.068118356,1837.7909627247345,403354254.5483055,57603.02109204353,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3995.6451779920353,870.3479803222581,1212.1242180543532,2.40354609929078,0.7340425531914894,1651.2996593783942,0.5964539007092199,-0.0693854335299273,1035,3389,841,151.10491919653248,-371.6389945005245,4295.8270869684275,13102.520166135719,199805.91102178732,22814900.0,0.9999995374304431,0.9758373406299874,0.0284,0.0145,0.00844,300.45413843346415,2.0,1.4178838797772166,20720.97506437684,0.0103,0.001462,0,1.0241626593700126,75035.3731538537,1.0422846538975221,0.0,1.3215355191088667,2.6,0.0672,47658.24264806673,2.3,132271.5130964232,2.775417341197092,0.3357677595544334,80,0.662,80,0.0215
2026,2071,2021,1,1,0.059880011658217554,0.0,0.268,3333,42097,5453,0.9,189459,0,106751.19259301624,0.9822081345678306,1748.340383088065,0.14281000000000002,0.04000000000000001,94,400000,2,0,18.489,75.0,0,40,7.5,0.0,0.1,9200,12000.0,150.0,0,0,0,0,0,0.03675638620149792,0.5,103352.18594540513,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,395.9575303481631,892425.0,0.4544166666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01616167110074896,61.1,0.65,0.00113,0.06464668440299584,3.91210447011552,20752.3111412856,62.71516058771783,0.1991,82373.47826086957,0.008866088,0.4963105404960587,2.3,0.1810132348674904,0.7081426852751798,0.7789,0.022,0.11084407985732986,20,80,0.30277491044128596,139037.28,20,1737.9660000000001,0.04417958779290569,0.01,0.1,0.02,16.3,8.355815770166634,67729.375,0.001,4731.8,9,75869.18164761111,4731800.0,10340028.717,0.6,577825842.5000001,104594124.94095804,64048573.82969892,2561.9429531879573,409183143.7293432,58435.44475598751,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4128.598512474796,901.8034316396025,1252.4516515104685,2.40354609929078,0.7340425531914894,1706.2384817678847,0.5964539007092199,-0.06792084904271606,1035,3389,841,163.13635701757585,-387.32819509800476,4477.180749788763,13080.639253788955,208240.9651064541,22814900.0,0.9999995471943397,0.934746234432198,0.0284,0.0145,0.00844,319.89041404197764,2.0,1.4204989036778846,22061.407864963974,0.0103,0.001462,0,1.065253765567802,75186.47807305022,1.1141940897436537,0.0,1.3319956147115382,2.6,0.0672,50741.23808941714,2.3,137855.5189004726,2.7168339617086423,0.34099780735576907,80,0.662,80,0.0215
2027,2071,2021,1,1,0.05758128586019897,0.0,0.268,3333,43715,5545,0.9,197883,0,112822.89185321917,0.9811961846911301,1863.278490434312,0.14281000000000002,0.039999999999999994,94,400000,2,0,18.489,82.5,0,40,0.0,0.0,0.0,9240,13200.0,165.0,0,0,0,0,0,0.03673891474723909,0.5,104511.44576205857,73.6250625,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,397.848759779728,981667.5,0.4200757575757576,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016172414623619544,61.1,0.65,0.00113,0.06468965849447818,3.91210447011552,20762.99016779499,64.98943705832053,0.1991,86036.08695652174,0.008788171,0.48282753476624607,2.3,0.1727189735540907,0.6756946685147225,0.7789,0.022,0.15158635793118677,20,80,0.3144120771062265,139037.28,20,1737.9660000000001,0.04268744335809137,0.01,0.1,0.02,16.3,8.388596797097277,67729.375,0.001,4731.8,9,80781.6210911606,4731800.0,10340028.717,0.6,605885655.5000001,104647948.50910743,91843999.83999474,3673.7599935997896,409393707.1508979,58465.51531821975,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4280.369878664163,937.8046911127699,1298.487248112091,2.40354609929078,0.7340425531914894,1768.9536423556024,0.5964539007092199,-0.06630733911591817,1035,3389,841,175.12254051778348,-402.6101974725628,4653.8275514301595,13020.24900689206,216457.09541535628,22814900.0,0.9999995579510725,0.8951140674625038,0.0284,0.0145,0.00844,340.6029385931459,2.0,1.4232893368177424,23489.85783401006,0.0103,0.001462,0,1.1048859325374962,75349.6144300678,1.1835503819406186,0.0,1.3431573472709701,2.6,0.0672,54026.67301822313,2.3,143294.59716496587,2.6522935646367265,0.3465786736354851,80,0.662,80,0.0215
2028,2071,2021,1,1,0.055358509300533654,0.0,0.268,3333,45657,6029,0.9,205162,0,117160.8740179286,0.9804731876636785,1986.7456170734486,0.14281000000000002,0.04,94,400000,2,0,18.489,82.5,0,40,0.0,0.0,0.0,9280,13200.0,165.0,0,0,0,0,0,0.03673021242477374,0.5,103612.94670398624,73.6250625,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,397.8326747212156,981667.5,0.4567424242424242,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01618720321238687,61.1,0.65,0.00113,0.06474881284954748,3.91210447011552,20124.647973570925,67.36111888181709,0.1991,89200.86956521739,0.008711612,0.46169025978849365,2.3,0.1613814331683762,0.6313410260916537,0.7789,0.022,0.20727754073997018,20,80,0.32837955403040103,139037.28,20,1737.9660000000001,0.04135087117131847,0.01,0.1,0.02,16.3,8.393164913580485,67729.375,0.001,4731.8,9,86018.10231394238,4731800.0,10340028.717,0.6,628514852.4999998,101430627.66406053,130277012.94474505,5211.080517789803,396807211.8911942,56668.037930181454,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4437.65314415308,975.4597925829524,1346.1922604208585,2.40354609929078,0.7340425531914894,1833.943079413923,0.5964539007092199,-0.06456182426883103,1035,3389,841,187.033959888504,-417.422886412423,4825.04949347693,12926.28956777983,224420.90667334563,22814900.0,0.9999995695878382,0.8571197094070078,0.0284,0.0145,0.00844,362.6817340948428,2.0,1.426265984696732,25012.533385851228,0.0103,0.001462,0,1.1428802905929922,75524.73697058558,1.2500405085377366,0.0,1.3550639387869283,2.6,0.0672,57528.826787457816,2.3,148566.64021775482,2.582472970753241,0.35253196939346415,80,0.662,80,0.0215
2029,2071,2021,1,1,0.053211072642633875,0.0,0.268,3333,47242,6571,0.9,212154,0,120135.29670461411,0.979977450549231,2119.3831672458987,0.14281000000000002,0.04,94,400000,2,0,18.489,82.5,0,40,0.0,0.0,0.0,9320,13200.0,165.0,0,0,0,0,0,0.036729528302718716,0.5,101002.2136971083,73.6250625,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,397.7599767439982,981667.5,0.4978030303030303,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016205670151359357,61.1,0.65,0.00113,0.06482268060543743,3.91210447011552,18869.328840622275,69.83400636338129,0.1991,92240.86956521739,0.008636376,0.435157940850409,2.3,0.1458822756309455,0.5707067026064463,0.7789,0.022,0.2834110217626082,20,80,0.33977937428004923,139037.28,20,1737.9660000000001,0.040154288309840545,0.01,0.1,0.02,16.3,8.41880897838363,67729.375,0.001,4731.8,9,91603.2580075058,4731800.0,10340028.717,0.6,651920660.0000002,95103669.41162793,184761500.35875395,7390.460014350158,372055490.2296183,53133.244559691804,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4600.684198073885,1014.8263757557486,1395.6381881107027,2.40354609929078,0.7340425531914894,1901.30419829574,0.5964539007092199,-0.06270113423166085,1035,3389,841,198.84845071853317,-431.7147863818993,4990.251563016575,12804.075554503146,232104.7238612361,22814900.0,0.9999995819924384,0.8209092649422463,0.0284,0.0145,0.00844,386.2306603980326,2.0,1.429441274253762,26636.597268829835,0.0103,0.001462,0,1.1790907350577537,75711.77093047409,1.3134087863510693,0.0,1.3677650970150483,2.6,0.0672,61264.173718308615,2.3,153653.3271961383,2.508045369266434,0.3588825485075242,80,0.662,80,0.0215
2030,2071,2021,1,1,0.05113829070050091,0.0,0.268,3333,48620,6737,0.9,219262,0,120939.4956626683,0.9798434173895553,2262.323686778692,0.14281000000000002,0.04,94,400000,2,0,18.489,82.5,0,40,0.0,0.0,0.0,9360,13200.0,165.0,0,0,0,0,0,0.036746215303801434,0.5,95846.10118411269,73.6250625,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,398.40354948196966,981667.5,0.5103787878787879,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016232500901900718,61.1,0.65,0.00113,0.06493000360760287,3.91210447011552,16711.038064340963,72.4318688619527,0.1991,95331.3043478261,0.008562427,0.4002144917819434,2.3,0.12469063932014988,0.4878028074659204,0.7789,0.022,0.3875065532139297,20,80,0.3496903851974089,139037.28,20,1737.9660000000001,0.039083568312113286,0.01,0.1,0.02,16.3,8.440227672829767,67729.375,0.001,4731.8,9,97563.56947855561,4731800.0,10340028.717,0.6,675476738.0000001,84225626.3071094,261751662.5185687,10470.066500742749,329499449.174322,47055.81633658493,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4769.718045656363,1055.9602063404725,1446.89932044127,2.40354609929078,0.7340425531914894,1971.1382046591214,0.5964539007092199,-0.06074300847217112,1035,3389,841,209.52382333974657,-445.44550950339396,5148.966910926326,12713.0075665455,239486.83306634077,22814900.0,0.9999995950466102,0.7899462964372278,0.0284,0.0145,0.00844,411.3613717473267,2.0,1.4328285360126414,28369.7497756777,0.0103,0.001462,0,1.2134049380836962,75910.61938119262,1.3667561726046205,0.0,1.3813141440505656,2.6,0.0672,65250.424484058705,2.3,158540.2834899176,2.429720338886845,0.36565707202528286,80,0.662,80,0.0215
