time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,Affordability of public transport for the poorest group,change to ticket cost,CAR COST KM,daily walk trips,daily chosen bus,daily chosen railway,Public Transport Ticket Cost,daily chosen car,TCI,emissions per year,enviromental impact on economy,business construction,emission per car petrol,emission per car,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,Mobility space usage,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,0.07329867498259597,0.0,0.268,3333,33333,3333,0.9,3333,0.0,6923.071607879511,0.9988461547320201,1288.3996120902839,0.14281,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9000,12000,150,0,0,0,0,0,0.025,0.5,23963.444607879504,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,9.236338824702633,892425.0,0.27775,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,615.1323780822528,35.25,0.1991,1449.1304347826087,0.05,0.14464128328280976,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.23974145639212735,139037.28,20,1737.9660000000001,0.05432322317790855,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,55429.802,4731800.0,10340028.717,0.6,15571776.0,3100340.6016,342579.072,13.703162880000002,12128856.326399999,1732.121971973184,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3389.0,736.7118165890687,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,-0.07396325064605061,1035,3389,841,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215
2022,2071,2021,1,1,0.07137546113464274,0.0,0.268,3333,35404,4658,0.9,156194,0.0,79599.6482101064,0.9867333919649822,1358.024837941536,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9040,12000,150,0,0,0,0,0,0.0262307215,0.5,93012.94707312791,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,390.4197532047468,892425.0,0.38816666666666666,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.0,61.1,0.65,0.00113,0.0,3.91210447011552,18577.819554250917,37.909950247875,0.1991,67910.4347826087,0.052461443,0.5340972513305497,2.3,0.19798031697341512,0.7745196830265849,0.7789,0.022,0.027499999999999997,20,80,0.2546367420306266,139037.28,20,1737.9660000000001,0.05190932342173987,0.01,0.1,0.02,16.3,8.29576296144538,67729.375,0.001,4731.8,9,59056.87613697849,4731800.0,10340028.717,0.6,472948165.9999999,93634427.81667532,13006074.564999996,520.2429825999999,366307663.6183246,52312.39744133294,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3473.725,756.5625376224798,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,-0.0729717781543125,1035,3389,841,119.4577735723291,-323.91868919944454,3744.221407412933,12604.241263223044,174149.83290292713,22814900.0,0.999999513521479,1.0770220226744491,0.0284,0.0145,0.00844,249.00398487530916,2.0,1.4109812968178819,17172.688612090285,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.2939251872715278,2.6,0.0672,39497.183807807654,2.3,115287.18938173776,2.9188711261724998,0.32196259363576396,80,0.662,80,0.0215
2023,2071,2021,1,1,0.0694096259092562,0.0,0.268,3333,37581,4751,0.9,164013,0.0,86496.68841169808,0.985583885264717,1446.2468324764382,0.14281000000000002,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9080,12000,150,0,0,0,0,0,0.06685528889931398,0.5,96096.06456102483,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,390.7859702697505,892425.0,0.39591666666666664,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01635886294965699,61.1,0.65,0.00113,0.06543545179862796,3.91210447011552,19341.618822902114,99.15708695771384,0.1991,71310.0,0.068275126,0.5260178625708902,2.3,0.19651181229148387,0.7687747392960161,0.7789,0.022,0.0347134484125,20,80,0.2702944131243074,139037.28,20,1737.9660000000001,0.049702786622552876,0.01,0.1,0.02,16.3,8.286551675781794,67729.375,0.001,4731.8,9,62870.79885067325,4731800.0,10340028.717,0.6,496072302.9999998,97484067.29014008,17220380.299060564,688.8152119624227,381367855.4107992,54463.143431216246,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3589.106123401112,777.9900740366729,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,-0.07190489713974627,1035,3389,841,129.51753619411835,-339.7958373693404,3927.747582495062,12830.93681541446,182685.9340695378,22814900.0,0.9999995206340191,1.0451633961542335,0.0284,0.0145,0.00844,265.0847872447695,2.0,1.4131351149396156,18281.709465156513,0.0103,0.001462,0,0.9397821384610221,74766.07388073944,0.9096732076915331,0.0,1.3025404597584629,2.6,0.0672,42047.93176985998,2.3,120938.08835403403,2.8761958855898504,0.32627022987923143,80,0.662,80,0.0215
2024,2071,2021,1,1,0.06491179749716208,0.0,0.268,3333,38948,5054,0.9,172078,0.0,93102.37457979073,0.9844829375700349,1540.4683407659122,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9120,12000,150,0,0,0,0,0,0.04359643805263456,0.5,98639.73445556578,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,391.62292872796036,892425.0,0.4211666666666667,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016145125526317278,61.1,0.65,0.00113,0.06458050210526911,3.91210447011552,19871.66418021441,68.9833866921617,0.1991,74816.52173913045,0.022612374,0.5157651311143683,2.3,0.19178720263297933,0.7502915727314294,0.7789,0.022,0.0579212246355912,20,80,0.280126308569903,139037.28,20,1737.9660000000001,0.047686442200246884,0.01,0.1,0.02,16.3,8.314520740594379,67729.375,0.001,4731.8,9,66932.81512422496,4731800.0,10340028.717,0.6,522222326.49999976,100155559.15192135,30247756.682927538,1209.9102673171017,391819010.6651509,55955.67291309021,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3828.7186498049514,831.8980845101518,1161.4880379487834,2.40354609929078,0.7340425531914894,1582.3170372055888,0.5964539007092199,-0.07070712244074821,1035,3389,841,139.7818232871746,-355.7237490850635,4111.860540499389,13024.167847783738,191249.32746508784,22814900.0,0.9999995286191837,1.0134002324222178,0.0284,0.0145,0.00844,282.2116369006286,2.0,1.4154330510803408,19462.87151038818,0.0103,0.001462,0,0.9821330234370429,74895.59141693356,0.9731995351555643,0.0,1.3117322043213635,2.6,0.0672,44764.60447389281,2.3,126607.05478188816,2.828284897629928,0.3308661021606818,80,0.662,80,0.0215
2025,2071,2021,1,1,0.06204406016799309,0.0,0.268,3333,40471,5074,0.9,181279,0.0,100371.0940342662,0.9832714843276223,1640.876613821209,0.14281000000000005,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9160,12000,150,0,0,0,0,0,0.03327230429440773,0.5,101581.30910544854,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,394.87348556241494,892425.0,0.42283333333333334,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016152237397203863,61.1,0.65,0.00113,0.06460894958881545,3.91210447011552,20477.509645871934,54.94257018541043,0.1991,78816.95652173914,0.001935659,0.5083999196280503,2.3,0.18664651579066774,0.7301806687561583,0.7789,0.022,0.08317281545317402,20,80,0.2910802052514261,139037.28,20,1737.9660000000001,0.04584448955032373,0.01,0.1,0.02,16.3,8.357140650599353,67729.375,0.001,4731.8,9,71259.95992881767,4731800.0,10340028.717,0.6,552965546.5,103209092.60650747,45991701.35100802,1839.668054040321,403764752.5424845,57661.64431059223,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3995.64888907755,870.349230108206,1212.1247792440936,2.40354609929078,0.7340425531914894,1651.3004238977505,0.5964539007092199,-0.06938492070264866,1035,3389,841,151.10504194808883,-371.63899450331417,4295.827087000673,13102.520182003727,199805.91102328713,22814900.0,0.9999995374338619,0.975837341801129,0.0284,0.0145,0.00844,300.4563591066753,2.0,1.4178841484371603,20721.128214253466,0.0103,0.001462,0,1.024162658198871,75035.37324022074,1.0422846518480242,0.0,1.321536593748641,2.6,0.0672,47658.59489278297,2.3,132271.5130974161,2.7753968281059462,0.3357682968743205,80,0.662,80,0.0215
2026,2071,2021,1,1,0.059879804258155964,0.09000000000000001,0.268,3333,42254,5432,0.9,189064,0.1,106708.57423111434,0.9822152376281477,1748.3644732494388,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9200,12000,150,0,0,0,0,0,0.03675758314094071,0.5,103309.08404633342,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,395.13281683804405,892425.0,0.45266666666666666,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016162269570470355,61.1,0.65,0.00113,0.06464907828188142,3.91210447011552,20741.35481998867,62.71736871365939,0.1991,82201.73913043478,0.008866088,0.4961035595706268,2.3,0.1810127772543301,0.7081408950446897,0.7789,0.022,0.11084632770098025,20,80,0.3039041039928284,139037.28,20,1737.9660000000001,0.04417958778922844,0.01,0.1,0.02,16.3,8.368873503152372,67729.375,0.001,4731.8,9,75869.66518478094,4731800.0,10340028.717,0.6,577522235.5,104538903.77398427,64016218.97083569,2560.648758833428,408967112.75518006,58404.59337256727,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4128.610452093902,901.8065551315643,1252.4549637418947,2.40354609929078,0.7340425531914894,1706.242994083161,0.5964539007092199,-0.06792041617107857,1035,3389,841,163.13647768114745,-387.3281951302437,4477.180750161418,13080.639295135836,208240.96512378688,22814900.0,0.9999995471972255,0.9347462373063575,0.0284,0.0145,0.00844,319.892452800036,2.0,1.4204991505571127,22061.548468967998,0.0103,0.001462,0,1.0652537626936425,75186.47828216883,1.1141940847138745,0.0,1.3319966022284513,2.6,0.0672,50741.56147862639,2.3,137855.5189119469,2.7168166468431423,0.34099830111422563,80,0.662,80,0.0215
2027,2071,2021,1,1,0.06333911896032998,0.0,0.268,3333,43926,5621,0.99,197271,0.0,112640.19798517255,0.9812266336691379,1863.3495894039565,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9240,12000,150,0,0,0,0,0,0.0367383729551709,0.5,104328.1925220661,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,396.6194770014293,892425.0,0.46841666666666665,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01617214372758545,61.1,0.65,0.00113,0.0646885749103418,3.91210447011552,20718.739033915153,64.988725551344,0.1991,85770.0,0.008788171,0.48198093157346017,2.3,0.17271807763805558,0.6756911635975967,0.7789,0.022,0.15159075876434766,20,80,0.3159296557009746,139037.28,20,1737.9660000000001,0.04268744334659902,0.01,0.1,0.02,16.3,8.396730893035468,67729.375,0.001,4731.8,9,80782.18046310644,4731800.0,10340028.717,0.6,604597497.4999999,104424917.51297909,91651393.39305077,3666.0557357220314,408521186.59397,58340.91065748487,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4280.3856610358525,937.8090661034123,1298.4921812019213,2.40354609929078,0.7340425531914894,1768.9603627968204,0.5964539007092199,-0.0663068799920986,1035,3389,841,175.1226891360272,-402.61019758095387,4653.827552683068,13020.249076450777,216457.09547363105,22814900.0,0.9999995579541334,0.8951140720007924,0.0284,0.0145,0.00844,340.60529709655236,2.0,1.4232896225699299,23490.020489417402,0.0103,0.001462,0,1.1048859279992076,75349.61475984998,1.1835503739986133,0.0,1.3431584902797198,2.6,0.0672,54027.04712566002,2.3,143294.59720354376,2.6522751996839435,0.34657924513985994,80,0.662,80,0.0215
2028,2071,2021,1,1,0.06089409233559978,0.0,0.268,3333,42849,5473,0.99,206472,0.0,117667.11361063881,0.9803888143982269,1986.5935948602512,0.14281000000000002,0.04000000000000001,94,400000,2,0,18.489,75,0,40,0,0.0,0,9280,12000,150,0,0,0,0,0,0.03673050586430707,0.5,104118.3905262872,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,400.3706074619677,892425.0,0.45608333333333334,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016187349932153535,61.1,0.65,0.00113,0.06474939972861414,3.91210447011552,20250.291468420368,67.36187774441285,0.1991,89770.4347826087,0.008711612,0.4639424731456068,2.3,0.16138037530309085,0.6313368876121419,0.7789,0.022,0.20728273708476713,20,80,0.3081835317837058,139037.28,20,1737.9660000000001,0.04135087114801522,0.01,0.1,0.02,16.3,8.392036208299432,67729.375,0.001,4731.8,9,86018.89808435162,4731800.0,10340028.717,0.6,632442982.5000001,102063885.87365614,131094512.4626535,5243.780498506141,399284584.1636904,57021.83146441664,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4437.667953247958,975.4640839809955,1346.196671234291,2.40354609929078,0.7340425531914894,1833.9490883481644,0.5964539007092199,-0.06456122703658553,1035,3389,841,187.03418379376774,-417.42288664766124,4825.049496196082,12926.289674580723,224420.9067998178,22814900.0,0.9999995695918198,0.8571197160023469,0.0284,0.0145,0.00844,362.6850893350097,2.0,1.4262663912280322,25012.764781724807,0.0103,0.001462,0,1.142880283997653,75524.73744898601,1.250040496995893,0.0,1.3550655649121288,2.6,0.0672,57529.35899796705,2.3,148566.6403014794,2.582449081463421,0.35253278245606445,80,0.662,80,0.0215
2029,2071,2021,1,1,0.058531951942871446,0.0,0.268,3333,44227,5716,0.99,213966,0.0,120844.34536053012,0.9798592757732449,2119.133839560563,0.14281,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9320,12000,150,0,0,0,0,0,0.0367307670565705,0.5,101711.00092567719,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,401.15424628516536,892425.0,0.47633333333333333,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.01620628952828525,61.1,0.65,0.00113,0.064825158113141,3.91210447011552,19039.309638023165,69.83661019764948,0.1991,93028.69565217392,0.008636376,0.43821167933469896,2.3,0.1458807053828324,0.5707005596317839,0.7789,0.022,0.2834187349853837,20,80,0.3180945427010655,139037.28,20,1737.9660000000001,0.04015428826999524,0.01,0.1,0.02,16.3,8.422800818821681,67729.375,0.001,4731.8,9,91603.51943485292,4731800.0,10340028.717,0.6,657800444.9999999,95960392.91774103,186432969.99472246,7457.318799788899,375407082.0875364,53611.885392921075,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4600.701752090398,1014.8303281936641,1395.6431559615726,2.40354609929078,0.7340425531914894,1901.3109660925772,0.5964539007092199,-0.06270095535106923,1035,3389,841,198.84852819650112,-431.714786810292,4990.2515679684275,12804.075719568433,232104.7240915548,22814900.0,0.999999581993631,0.8209092747095257,0.0284,0.0145,0.00844,386.2317626651257,2.0,1.4294414087636234,26636.673287250047,0.0103,0.001462,0,1.1790907252904743,75711.77163277978,1.3134087692583303,0.0,1.367765635054494,2.6,0.0672,61264.348560675106,2.3,153653.32734860928,2.508038214042769,0.358882817527247,80,0.662,80,0.0215
2030,2071,2021,1,1,0.05625189154822874,0.0,0.268,3333,46054,5729,0.99,221246,0.0,121525.79314606726,0.9797457011423222,2262.083685876578,0.14281000000000002,0.04,94,400000,2,0,18.489,75,0,40,0,0.0,0,9360,12000,150,0,0,0,0,0,0.03674280900326327,0.5,96432.99846877094,66.931875,20,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,402.0054533019997,892425.0,0.47741666666666666,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.016230797751631637,61.1,0.65,0.00113,0.06492319100652655,3.91210447011552,16844.517029373656,72.42549891287712,0.1991,96193.91304347827,0.008562427,0.4026651364378639,2.3,0.12468777759078323,0.4877916120816729,0.7789,0.022,0.3875206103275439,20,80,0.33123490332952427,139037.28,20,1737.9660000000001,0.03908356824846579,0.01,0.1,0.02,16.3,8.431545881055477,67729.375,0.001,4731.8,9,97562.96967729632,4731800.0,10340028.717,0.6,680887717.0,84898376.22159216,263858023.65636802,10554.320946254722,332131317.12203985,47431.673398198516,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,4769.737365768235,1055.9644905286814,1446.906199617294,2.40354609929078,0.7340425531914894,1971.1475762902267,0.5964539007092199,-0.060743382009221795,1035,3389,841,209.52363878022925,-445.4455102288009,5148.966919311406,12713.007713815055,239486.8334563445,22814900.0,0.99999959504412,0.7899463043036362,0.0284,0.0145,0.00844,411.3588427801095,2.0,1.4328282315944785,28369.575364145483,0.0103,0.001462,0,1.2134049275951517,75910.62016097628,1.36675615949394,0.0,1.3813129263779145,2.6,0.0672,65250.02333753461,2.3,158540.28374810008,2.4297352803688717,0.3656564631889573,80,0.662,80,0.0215
