time,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,emissions per year,daily walk trips,trips per day,daily chosen car,economic harm,BUS SHARE,business construction,daily chosen bus,emission per car petrol,daily chosen railway,TD,WALKING SHARE,emission per car,CAR SHARE,RAILWAY SHARE,Number of Bus Routes,Road available,Number of Railway Lines,ITBR,Number of Trips per Bus Route,Number of Trips per Railway line,ILRR,construction,increasing railway trips,increaing bus trips,ITRR,Land Use for mobility,daily railway capacity,Daily railway trips,road construiction,increasing railway lines,increasing bus routes,RCR,IRBR,gdp growth rate,WELL TO TANK CO2 EMISSION RAILWAY ELECTRICITY,"""emissions of greenhouse gases (GHG) mobility""",railway electricity co2 emission,number of trains,bus electricity activity,bus natural gas activity,AVERAGE DISTANCE RAILWAY TRIP,ENERGY INTENSITY PER KM RAILWAY ELECTRICITY,TANK TO WHEEL CO2 EMISSION RAILWAY ELECTRICITY,PERCENTAGE BUS DIESEL,PERCENTAGE BUS ELECTRICITY,PERCENTAGE BUS NATURAL GAS,GHC CORRECTION BUS ELECTRICITY,"""Motorization rate number of motorized vehicles per 1000 inhabitants.""",railway activity per year,Railway Daily Occupancy rate 0,bus electricity co2 emission,bus diesel co2 emission,bus diesel activity,MAX CAPACITY RAILWAY,ENERGY INTENSITY PER KM BUS NATURAL GAS,bus natural gas co2 emission,GHC CORRECTION RAILWAY ELECTRICITY,WELL TO TANK CO2 EMISSION NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS NATURAL GAS,ENERGY INTENSITY PER KM BUS ELECTRICITY,VEHICLES PER LINE,WELL TO TANK CO2 EMISSION BUS ELECTRICITY,GHC CORRECTION BUS NATURAL GAS,TANK TO WHEEL CO2 EMISSION BUS ELECTRICITY,business income multiplier,number of bus,VEHICLES PER ROUTE,CO2 CAPTURE PER GREEN AREA,business growth,DIESEL PETROL RATIO,car diesel co2 emissions,increase amount,INITIAL RATIO CAR PETROL,number of mototized private vehicles,GDPGN,Emissions of greenhouse gases,TPC,percentage car diesel,percentage car petrol,INITIAL RATIO CAR DIESEL,INITIAL RATIO CAR ELECTRICITY,percentage car eletricity,PRIVATE PARKING CONSTRUCTION,MAX CAPACITY BUS,BUS Daily Occupancy rate,daily bus capacity,PEDESTRIAN SIDEWALK CONSTRUCTION,Daily bus trips,ticket fare pt 10 km,Mobility space usage,Affordability of public transport for the poorest group,GHC CORRECTION CAR DIESEL,GHC CORRECTION CAR ELECTRICITY,GHC CORRECTION CAR PETROL,AVERAGE DISTANCE BUS ROUTES,AVERAGE DISTANCE CAR,co2 capture green spaces,CO2 CAPTURE PER M2 BODY OF WATER,"""co2 capture sea/river""",CO2 TECHNOLOGIES CAPTURE,"""emissions of greenhouse gases (GHG) business""",BODY OF WATER M2,bus activity per year,WELL TO TANK CO2 EMISSION CAR DIESEL,car activity per year,car diesel activity,car electricity activity,car electricity co2 emission,car petrol activity,car petrol co2 emission,ENERGY INTENSITY PER KM CAR PETROL,GREEN AREA,WELL TO TANK CO2 EMISSION BUS DIESEL,GHC CORRECTION BUS DIESEL,ENERGY INTENSITY PER KM BUS DIESEL,ENERGY INTENSITY PER KM CAR DIESEL,ENERGY INTENSITY PER KM CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR ELECTRICITY,EpB,TANK TO WHEEL CO2 EMISSION BUS DIESEL,WELL TO TANK CO2 EMISSION CAR ELECTRICITY,TANK TO WHEEL CO2 EMISSION CAR DIESEL,TANK TO WHEEL CO2 EMISSION CAR PETROL,WELL TO TANK CO2 EMISSION CAR PETROL,average monthly income 95,average monthly income 25,average monthly income 50,income 95 multiplier,income 50 multiplier,average monthly income,income 25 multiplier,labor force income multiplier,IMI50,IMI95,IMI25,housing construction,net births,outmigration,inmigration,Population,AREA,attractiveness from jobs multiplier,attractiveness from housing multiplier,BCN,BDN,BN,business demolition,business labor force multiplier,business land multiplier,Business structures,DN,HCN,HDN,households to housing ratio,Housing,housing availability multiplier,housing demolition,housing land multiplier,HS,IMN,jobs,JPBS,labor force,labor to job ratio,land fraction occupied,LPBS,LPF,LPH,OMN
2021,2071,2021,1,1,134511.0325970499,39576.801360975,266239.725,183450.88507289998,0.9775814945671584,0.146875,1260.9705833276012,39103.959609375,0.14281,3815.4548750024996,1.607,0.148651,0.04000000000000001,0.689044,0.0143309,94,400000,2.0,0,18.489,75,0.0,40,0,0.0,0,9000,12000.0,150.0,0,0.0,0,0,0,0.025,0.5,151551.4055970499,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,481.92155955649156,892425.0,0.31795457291687496,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.2,61.1,0.65,0.00113,0.0,3.91210447011552,33857.35949480559,35.25,0.1991,79761.25437952174,0.05,0.9147512032415868,2.3,0.1991,0.7788999999999999,0.7789,0.022,0.022,20,80,0.28124801930370763,139037.28,20,1737.9660000000001,1.4,0.05432322317790855,0.09984568766356959,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,55429.802,4731800.0,10340028.717,0.6,857082535.0605887,170645132.73056322,18855815.77133295,754.2326308533181,667581586.5586925,95337.32637644687,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,2261.0,841.2982269503547,1035.0,2.40354609929078,0.7340425531914894,1410.0,0.5964539007092199,1.5,1035,3389,841,109.61610716710783,-308.1555000000001,3562.0125,12345.000902927126,165675.0,22814900.0,0.9999995069116624,1.1088303073022072,0.0284,0.0145,0.00844,233.711,2.0,1.408939990970813,16118.0,0.0103,0.001462,0,0.854892923597057,74537.0,0.7823393853955855,0.0,1.2857599638832518,2.6,0.0672,37071.399999999994,2.3,109676.85,2.958530025842024,0.31787998194162587,80,0.662,80,0.0215
2022,2071,2021,1,1,144125.58493268245,41601.2877250408,279858.78147500387,192835.01422266258,0.9759790691778862,0.146875,1341.0326737313485,41104.258529141196,0.14281000000000002,4010.628211440133,1.607,0.148651,0.04,0.689044,0.0143309,94,400000,2.0,0,18.489,75,0.0,40,0,0.0,0,9040,12000.0,150.0,0,0.0,0,0,0,0.0262307215,0.5,157633.21222561883,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,481.8977379000509,892425.0,0.33421901762001105,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.2,61.1,0.65,0.00113,0.0,3.91210447011552,35389.13299373278,37.909950247875,0.1991,83841.31053159243,0.052461443,0.9051585614410849,2.3,0.19798031697341512,0.7745196830265849,0.7789,0.022,0.027499999999999997,20,80,0.29563480045884954,139037.28,20,1737.9660000000001,1.4,0.05190932342173987,0.09741126920246578,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,58962.547707063626,4731800.0,10340028.717,0.6,900925186.4482795,178365453.9823635,24775442.627327684,991.0177050931075,697784289.8385884,99650.57443184883,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,2317.5249999999996,862.3232269503548,1060.875,2.40354609929078,0.7340425531914894,1445.25,0.5964539007092199,1.5,1035,3389,841,119.44001463018526,-323.91868919944454,3744.221407412933,12604.241253413542,174149.83290292713,22814900.0,0.9999995127432094,1.0770220226744491,0.0284,0.0145,0.00844,248.60626395825025,2.0,1.4109332071418146,17145.259583327603,0.0103,0.001462,0,0.8973039697674012,74646.61610716711,0.8459559546511017,0.0,1.293732828567259,2.6,0.0672,39434.097041653484,2.3,115287.18938173776,2.923540743432317,0.32186641428362944,80,0.662,80,0.0215
2023,2071,2021,1,1,153772.04921479392,43640.40998174766,293576.29603398335,202286.98532444003,0.9743713251308677,0.146875,1426.2725429309967,43119.018479991304,0.14281,4207.212540833412,1.607,0.148651,0.04,0.689044,0.0143309,94,400000,2.0,0,18.489,75,0.0,40,0,0.0,0,9080,12000.0,150.0,0,0.0,0,0,0,0.06600440700445473,0.5,163522.8220845206,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,481.8759782335378,892425.0,0.350601045069451,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.2637336880089095,61.1,0.65,0.00113,0.06373368800890947,3.91210447011552,36848.39842517746,97.89509300886758,0.1991,87950.86318453915,0.068275126,0.8951035170067204,2.3,0.19651181229148387,0.7687747392960161,0.7789,0.022,0.0347134484125,20,80,0.3101255899136642,139037.28,20,1737.9660000000001,1.4,0.04970278662522172,0.09492225117078616,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,62719.402130273316,4731800.0,10340028.717,0.6,945084795.4357839,185720325.92021218,32807152.2917982,1312.286091671928,726557317.2237735,103759.6504727271,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,2472.842606380695,884.9347646513922,1088.7025166713124,2.40354609929078,0.7340425531914894,1483.159950247875,0.5964539007092199,1.5,1035,3389,841,129.48684178763915,-339.7958373510947,3927.747582284158,12830.934745042956,182685.9340597283,22814900.0,0.9999995194768901,1.0451632287744965,0.0284,0.0145,0.00844,264.44644689996016,2.0,1.4130579000826617,18237.685993100702,0.0103,0.001462,0,0.9397823616340045,74766.0561217973,0.9096735424510067,0.0,1.302231600330647,2.6,0.0672,41946.677784131614,2.3,120938.08834754014,2.8831386592740103,0.32611580016532354,80,0.662,80,0.0215
2024,2071,2021,1,1,161832.8718287564,45686.051372796144,307337.66589391354,211769.17465820577,0.9730278546952073,0.146875,1517.4683338977204,45140.219678168556,0.14281000000000005,4404.425356159086,1.607,0.148651,0.04000000000000001,0.689044,0.0143309,94,400000,2.0,0,18.489,75,0.0,40,0,0.0,0,9120,12000.0,150.0,0,0.0,0,0,0,0.04316415930026768,0.5,167588.12475423235,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,481.85610073991,892425.0,0.36703544634659047,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.2637159446005354,61.1,0.65,0.00113,0.06371594460053535,3.91210447011552,37660.018182833854,68.24491174962564,0.1991,92073.5541992199,0.022612374,0.8762808674840816,2.3,0.19184733377420815,0.7505268120378239,0.7789,0.022,0.05762585418796793,20,80,0.3246627068522094,139037.28,20,1737.9660000000001,1.4,0.047686442718865726,0.08904675373135451,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,66714.92207452405,4731800.0,10340028.717,0.6,989385584.0031374,189810986.36563975,57014189.399442285,2280.567575977692,742560408.2380553,106045.05190047671,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,2636.0330629249092,943.3246747368232,1160.56168068846,2.40354609929078,0.7340425531914894,1581.0550432567427,0.5964539007092199,1.5,1035,3389,841,139.73448142308544,-355.723745216353,4111.860495780423,13024.161664575282,191249.32538513598,22814900.0,0.9999995270796442,1.0133997638931462,0.0284,0.0145,0.00844,281.29292529241025,2.0,1.4153218818451392,19399.51208913174,0.0103,0.001462,0,0.9821336481424718,74895.54296358494,0.9732004722137078,0.0,1.3112875273805569,2.6,0.0672,44618.877805002994,2.3,126607.05340496002,2.837522134874578,0.3306437636902785,80,0.662,80,0.0215
2025,2071,2021,1,1,169681.2090941358,47730.065044278075,321088.0858136042,221243.81900134907,0.9717197984843107,0.146875,1614.7419945671188,47159.81260387311,0.14281,4601.481248986181,1.607,0.148651,0.04,0.689044,0.0143309,94,400000,2.0,0,18.489,75,0.0,40,0,0.0,0,9160,12000.0,150.0,0,0.0,0,0,0,0.03282017349996123,0.5,171185.25478941805,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,481.8379408708655,892425.0,0.3834567707488484,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.26370468799992247,61.1,0.65,0.00113,0.06370468799992246,3.91210447011552,38306.444315765824,54.13031067678726,0.1991,96192.96478319526,0.001935659,0.8567577453069712,2.3,0.18678357430997805,0.7307168560022196,0.7789,0.022,0.08249956968780238,20,80,0.3391882565875362,139037.28,20,1737.9660000000001,1.4,0.045844491435117346,0.08536328421037039,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,70966.12930471772,4731800.0,10340028.717,0.6,1033651122.3743029,193069051.2265928,85275772.80319394,3411.030912127758,755306298.3445162,107865.29246658036,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,2749.796648462888,984.0296185534438,1210.656349951483,2.40354609929078,0.7340425531914894,1649.2999550063682,0.5964539007092199,1.5,1035,3389,841,151.03658129883132,-371.63897922420904,4295.826910387361,13102.502627624726,199805.90280871448,22814900.0,0.9999995355186562,0.9758360763906195,0.0284,0.0145,0.00844,299.2174687171872,2.0,1.4177341823856253,20635.68749773705,0.0103,0.001462,0,1.0241639236093805,75035.27744500803,1.0422868663164158,0.0,1.3209367295425012,2.6,0.0672,47462.08124479521,2.3,132271.507659369,2.7868880628548958,0.33546836477125064,80,0.662,80,0.0215
2026,2071,2021,1,1,177191.0693741701,49745.0448146289,334643.1898515913,230583.88210809988,0.970468155104305,0.146875,1718.5804715050692,49150.718509452476,0.14281000000000002,4795.73808944417,1.607,0.148651,0.04,0.689044,0.0143309,94,400000,2.0,0,18.489,75,0.05,40,0,0.0,0,9200,12000.0,150.0,0,0.1,0,0,0,0.03629403624881688,0.5,174171.02622505446,66.931875,20.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,481.82149967497634,892425.0,0.3996448407870142,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.2637219844976338,61.1,0.65,0.00113,0.06372198449763376,3.91210447011552,38745.40346564473,61.82435981003621,0.1991,100253.8617861304,0.008866088,0.836391857452083,2.3,0.18127137438161997,0.7091525540223195,0.7789,0.022,0.10957607159606055,20,80,0.353507480220071,139037.28,20,1737.9660000000001,1.4,0.044179593215557846,0.08265147071203709,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,75490.21814911562,4731800.0,10340028.717,0.6,1077287897.2090428,195281457.73176852,118044975.75414759,4721.799030165904,763961463.7231266,109101.33663429973,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,2840.074914932743,1016.3158535032155,1250.3903014057205,2.40354609929078,0.7340425531914894,1703.4302656831555,0.5964539007092199,1.5,1035,3389,841,163.04177340485037,-387.3281475569135,4477.180200254644,13080.606923237592,208240.93954672763,22814900.0,0.9999995449212955,0.9347440409379537,0.0284,0.0145,0.00844,318.2925743420112,2.0,1.4203054162847855,21951.21202358698,0.0103,0.001462,0,1.0652559590620463,75186.31402630686,1.114197928358581,0.0,1.3312216651391422,2.6,0.0672,50487.78765425005,2.3,137855.5019799337,2.730472226749057,0.3406108325695711,80,0.662,80,0.0215
2027,2071,2021,1,1,182947.0000556832,51707.7241644513,347846.4602623009,239681.51636497688,0.9695088333240528,0.146875,1829.9276557717997,51089.948851025445,0.14281000000000002,4984.952837373008,1.607,0.148651,0.04,0.689044,0.0143309,94,400000,2.1,0,18.489,75,0.0,40,0,0.0,0,9240,12600.0,157.5,0,0.0,0,0,0,0.036269072121943025,0.5,175111.3668282238,70.27846875,21.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,481.81133700276956,937046.25,0.39563117756928634,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.26374997324388605,61.1,0.65,0.00113,0.06374997324388605,3.91210447011552,38475.306585511826,64.0241473256061,0.1991,104209.35494129431,0.008788171,0.8089890185478877,2.3,0.17317513388285702,0.6774792153759788,0.7789,0.022,0.1493456507411643,20,80,0.3674550368866929,139037.28,20,1737.9660000000001,1.4,0.04268745465687085,0.0797575950906141,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,80305.80822745938,4731800.0,10340028.717,0.6,1119792044.457172,193920137.21982893,167236071.5742351,6689.442862969405,758635835.663108,108340.78369104848,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,2943.2021041084517,1053.1912340707618,1295.7720123301087,2.40354609929078,0.7340425531914894,1765.2546254931917,0.5964539007092199,1.5,1035,3389,841,174.99610024156166,-402.6100909072059,4653.826319626303,13020.194616138187,216457.03812215367,22814900.0,0.9999995553320451,0.8951105674830784,0.0284,0.0145,0.00844,338.59674885087554,2.0,1.4230463087201113,23351.499920750037,0.0103,0.001462,0,1.1048894325169216,75349.35579971172,1.183556506904613,0.0,1.3421852348804457,2.6,0.0672,53708.44981772508,2.3,143294.55923686572,2.6680077291967397,0.34609261744022285,80,0.662,80,0.0215
2028,2071,2021,1,1,186546.21865609082,53610.1239024326,360644.2196987077,248499.73571807635,0.9689089635573183,0.146875,1949.5846826737875,52969.61976824769,0.14281000000000005,5168.35624808021,1.607,0.148651,0.04,0.689044,0.0143309,94,400000,2.1,0,18.489,75,0.0,40,0,0.0,0,9280,12600.0,157.5,0,0.0,0,0,0,0.036251263427553915,0.5,173581.89843973037,70.27846875,21.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,481.7978775807038,937046.25,0.4101870038158897,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.26379091485510786,61.1,0.65,0.00113,0.06379091485510782,3.91210447011552,37350.77553261451,66.3136666758868,0.1991,108043.36335568537,0.008711612,0.7734661906565039,2.3,0.1621480309155164,0.6343400365650212,0.7789,0.022,0.2035119325194623,20,80,0.3809742233755414,139037.28,20,1737.9660000000001,1.4,0.04135089150315152,0.07696686864090727,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,85434.49521636043,4731800.0,10340028.717,0.6,1160990765.2748528,188252366.5004159,236275474.27833474,9451.01897113339,736462924.4961021,105174.27024728837,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3050.0242071121484,1091.3786864827014,1342.7684608989048,2.40354609929078,0.7340425531914894,1829.2787728187977,0.5964539007092199,1.5,1035,3389,841,186.8697447277391,-417.42268116963066,4825.047121046804,12926.203769548621,224420.79632775835,22814900.0,0.9999995666478854,0.8571144442307348,0.0284,0.0145,0.00844,360.22104700122895,2.0,1.4259677802271746,24842.83082767096,0.0103,0.001462,0,1.1428855557692652,75524.35189995328,1.2500497225962142,0.0,1.353871120908699,2.6,0.0672,57138.510903643204,2.3,148566.56716897603,2.6001126879122656,0.35193556045434954,80,0.662,80,0.0215
2029,2071,2021,1,1,187105.27794395963,55445.63084636308,372991.9801842105,257007.88599404914,0.9688157870093401,0.146875,2078.642945272199,54783.19708955592,0.14281000000000002,5345.3107688219025,1.607,0.148651,0.04,0.689044,0.0143309,94,400000,2.1,0,18.489,75,0.0,40,0,0.0,0,9320,12600.0,157.5,0,0.0,0,0,0,0.03625041744954672,0.5,168675.13618452125,70.27846875,21.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,481.7857668942396,937046.25,0.42423101339856367,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.26386445889909343,61.1,0.65,0.00113,0.06386445889909344,3.91210447011552,35051.482143290945,68.71601724588695,0.1991,111742.55912784746,0.008636376,0.7267205684011117,2.3,0.14712887828694843,0.5755835424294532,0.7789,0.022,0.2772875792835984,20,80,0.39401804386245126,139037.28,20,1737.9660000000001,1.4,0.04015432179695433,0.07427504034929712,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,90900.31675943837,4731800.0,10340028.717,0.6,1200740843.3641975,176663653.39749882,332950521.8034047,13318.020872136189,691126668.163294,98699.79948040002,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3160.7308476383364,1130.931731641865,1391.4455140971622,2.40354609929078,0.7340425531914894,1895.5924394946846,0.5964539007092199,1.5,1035,3389,841,198.64005276674638,-431.7144263488685,4990.247401344446,12803.946747055828,232104.53029509055,22814900.0,0.9999995787602954,0.820901693947359,0.0284,0.0145,0.00844,383.26681971848103,2.0,1.4290819440068105,26432.19446334352,0.0103,0.001462,0,1.179098306052641,75711.22164468102,1.3134220355921218,0.0,1.366327776027242,2.6,0.0672,60794.04726569009,2.3,153653.19905534995,2.5274382273618774,0.35816388801362103,80,0.662,80,0.0215
2030,2071,2021,1,1,183400.19236866652,57209.055326841866,384854.82994962606,265181.9114478101,0.9694333012718889,0.146875,2218.5212689802356,56525.55314885133,0.14281000000000002,5515.316082525096,1.607,0.148651,0.04,0.689044,0.0143309,94,400000,2.1,0,18.489,75,0.0,40,0,0.0,0,9360,12600.0,157.5,0,0.0,0,0,0,0.03626958967777158,0.5,159139.65211344892,70.27846875,21.0,517001.43585,7961822.11209,16.3,0.15,0,0.18,0.05,0.77,0.1,481.7748637532273,937046.25,0.4377234986131029,124.08034460400002,6154.633253047608,1861205.16906,80,0.5,15256.841622292462,0.1,1,2.75,1.2,10,0.2,0.03,0,0.2639767523555432,61.1,0.65,0.00113,0.06397675235554316,3.91210447011552,31136.12012378569,71.24466172655725,0.1991,115296.48323817832,0.008562427,0.66450360251367,2.3,0.12666557062776027,0.4955289450625941,0.7789,0.022,0.3778054843096456,20,80,0.4065496185544721,139037.28,20,1737.9660000000001,1.4,0.03908362018470392,0.07167739021395104,0.01,0.1,0.02,16.3,12.8,67729.375,0.001,4731.8,9,96730.7152552176,4731800.0,10340028.717,0.6,1238929890.284169,156929761.52063268,468074507.22450656,18722.980288980263,613925621.5390297,87674.71801198885,0.05,59937500.0,0.6,0.01,1,0.06,0.2,0,3.439,2.68,0.2,2.68,2.31,0.5,3275.529239297026,1171.9176681693764,1441.8859948414834,2.40354609929078,0.7340425531914894,1964.3084567405715,0.5964539007092199,1.5,1035,3389,841,209.26531859555797,-445.44491829888284,5148.960077110741,12712.863901452021,239486.51521445307,22814900.0,0.999999591560492,0.7899384207167319,0.0284,0.0145,0.00844,407.84977353900996,2.0,1.4324026093234596,28127.570588897237,0.0103,0.001462,0,1.2134154390443574,75909.86169744776,1.366769298805447,0.0,1.3796104372938387,2.6,0.0672,64693.41235446364,2.3,158540.07307196796,2.4506370479161963,0.36480521864691934,80,0.662,80,0.0215
